PT	AU	AF	CA	TI	SO	SE	ED	LA	DT	CE	DP	SC	DE	ID	AB	C1	RP	EM	RI	OI	U1	U2	PU	PI	PA	WP	SN	BN	J9	JI	PY	PD	VL	IS	PN	SU	SI	BP	EP	PG	DI	GA	UT	PM	OA	HC	HP	DA
J	Roach, MCThompson, FRJones-Farrand, T	Roach, Melissa C.; Thompson, Frank R., III; Jones-Farrand, Todd		Effects of pine-oak woodland restoration on breeding bird densities in the Ozark-Ouachita Interior Highlands	FOREST ECOLOGY AND MANAGEMENT			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	PLANT SCIENCES	Plant Sciences	Woodland, Distance sampling, Canopy cover, Prescribed fire, Tree thinning, Early successional, Restoration, Hierarchical models	SAVANNA RESTORATION, FOREST MANAGEMENT, FIRE FREQUENCY, PONDEROSA PINE, HABITAT USE, MISSOURI, CONSERVATION, DISTURBANCE, VEGETATION, SELECTION	Restoration is underway to restore lost or degraded remnants of savanna and woodland in the Midwestern United States in the hopes of restoring floristic and wildlife diversity. Information is needed on the effects of pine savanna-woodland restoration on bird abundance to inform management decisions. We conducted point-count surveys for 19 bird species across the gradient of savanna, woodland, and forest in restored and non-restored areas throughout the Ozark-Ouachita Highlands in parts of Missouri, Arkansas, and Oklahoma during the 2013-2015 breeding seasons. We estimated densities of 16 species using distance sampling to account for detection probability, and we determined relationships of bird abundance with management and vegetation variables by evaluating support for a priori models. Densities of early-successional and generalist species were positively related, and interior-forest species negatively related, to restoration. Densities of Brown-headed Nuthatch (Sitta pusilla), Eastern Towhee (Pipilo erythrophthalmus), Eastern Wood-Pewee (Contopus virens), Pine Warbler (Setophaga pinus), Prairie Warbler (Setophaga discolor), Red-headed Woodpecker (Melanerpes erythrocephalus), White-eyed Vireo (Vireo griseus), and Yellow-breasted Chat (Icteria virens) were positively related to prescribed fire activity. Blue-winged Warbler (Vermivora cyanoptera), Kentucky Warbler (Geothlypis formosa), and Yellow-breasted Chat densities were positively related to tree thinning. Many species had higher densities in areas with less canopy cover, tree density, and forest cover. Acadian Flycatcher (Empidonax virescens), Black-and white Warbler (Mniotilta varia), Ovenbird (Seiurus aurocapilla), Wood Thrush (Hylocichla mustelina), and Worm eating Warbler (Helmitheros vermivorum) were negatively related to one or more aspects of restoration treatment and generally preferred areas with greater tree density and canopy cover. Summer Tanagers (Piranga rubra) were abundant but density was not strongly related to management or vegetation variables. Restoration provided breeding habitat for disturbance-dependent species and woodland generalists, many of which are species of conservation concern, but canopy cover generally remained too great for species that require more open savanna.	[Roach, MC] Univ Missouri, Dept Fisheries & Wildlife, Columbia, MO 65211 USA; [Thompson, FR] US Forest Serv, USDA, Northern Res Stn, Columbia, MO 65211 USA; [Jones-Farrand, T] Southeast Reg USFWS, Columbia, MO 65211 USA	Roach, MC (reprint author), Univ Missouri, Dept Fisheries & Wildlife, Columbia, MO 65211 USA.	roach.mc1@gmail.com			1	1	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	http://www.elsevier.com	0378-1127		FOREST ECOL MANAG	For. Ecol. Manage.	2019	APR	437					443	459	17		HO9GU	CCC:000461270600041					2019-04-10
J	Keele, ECDonovan, VMRoberts, CPNodskov, SMWonkka, CLAllen, CRPowell, LAWedin, DAAngeler, DGTwidwell, D	Keele, Emma C.; Donovan, Victoria M.; Roberts, Caleb P.; Nodskov, Sarah M.; Wonkka, Carissa L.; Allen, Craig R.; Powell, Larkin A.; Wedin, David A.; Angeler, David G.; Twidwell, Dirac		Relationships Between Wildfire Burn Severity, Cavity-Nesting Bird Assemblages, and Habitat in an Eastern Ponderosa Pine Forest	AMERICAN MIDLAND NATURALIST			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology		AVIAN COMMUNITIES, FIRE, CONIFER, REGIMES, WOODPECKERS, ECOLOGY, DENSITY, SNAGS	Historically, eastern ponderosa pine (Pinus ponderosa) forests were described as sparse patches of old-growth trees maintained by frequent, low-severity fires; however. in recent decades, there have been a number of large mixed-severity wildfires throughout the range of these forests. Wildlife responses to severe fire disturbance in eastern ponderosa pine forests are not well understood. Our study investigates how cavity-nesting bird species in an eastern ponderosa pine forest are impacted by burn severity. The objectives of our study were to: (1) identify the community composition of cavity-nesting birds in a 27 y old burn of mixed severity, (2) assess how habitat variables important to cavity-nesting birds differ in the mixed-severity fire, and (3) determine what habitat variables best predict bird occurrence 27 y after mixed-severity fire. We surveyed 56 sites across four burn severity classes, ranging from unburned to severely burned forest, in the Pine Ridge region of Nebraska. We measured multiple habitat characteristics (tree and snag diameter at breast height (DBH), coarse woody debris (CIND), tree and snag density, shrub height, and shrub cover) in May-August 2016 and conducted bird count surveys between 25 May and 8 June 2016. Cavity-nesting bird species' occurrence varied among the burn severity variables. Burn severity class (unburned, low severity, moderate severity, high severity) was a significant predictor of habitat characteristics for cavity-nesting birds, including tree density, snag density, mean snag DBH, variance in DBH, and CWD, which also was the best indicator of cavity-nesting bird community composition. We report evidence that mixed-severity wildfires in eastern ponderosa pine forests create variation in habitat characteristics and cavity-nesting bird occurrence.	[Keele, EC] Univ Nebraska Kearney, Dept Biol, Kearney, NE 68849 USA; [Donovan, VM; Roberts, CP; Wonkka, CL; Twidwell, D] Univ Nebraska, Dept Agron & Hort, Lincoln, NE 66583 USA; [Nodskov, SM; Powell, LA; Wedin, DA] Univ Nebraska, Sch Nat Resources, Lincoln, NE 68583 USA; [Allen, CR] Univ Nebraska Lincoln, US Geol Survey, Nebraska Cooperat Fish & Wildlife Res Unit, Sch Nat Resources, Lincoln, NE 66583 USA; [Angeler, DG] Swedish Univ Agr Sci, Dept Aquat Sci & Assessment, POB 7050, Uppsala, Sweden	Keele, EC (reprint author), Univ Nebraska Kearney, Dept Biol, Kearney, NE 68849 USA.	ekeele9@gmail.com			7	7	AMER MIDLAND NATURALIST	NOTRE DAME	UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA	http://www.allenpress.com	0003-0031		AM MIDL NAT	Am. Midl. Nat.	2019	JAN	181	1				1	17	17		HJ5TS	CCC:000457245700001					2019-04-10
J	Tingley, MWStillman, ANWilkerson, RLHowell, CASawyer, SCSiegel, RB	Tingley, Morgan W.; Stillman, Andrew N.; Wilkerson, Robert L.; Howell, Christine A.; Sawyer, Sarah C.; Siegel, Rodney B.		Cross-scale occupancy dynamics of a postfire specialist in response to variation across a fire regime	JOURNAL OF ANIMAL ECOLOGY			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	black-backed woodpecker, colonization, dynamic occupancy model, multiscale analysis, persistence, Picoides arcticus, wildfire	BLACK-BACKED WOODPECKER, CAVITY-NESTING BIRDS, BURNED FORESTS, METAPOPULATION PERSISTENCE, LANDSCAPE CONTEXT, BOREAL FOREST, SIERRA-NEVADA, WILDFIRE, SEVERITY, HABITAT	Fire creates challenges and opportunities for wildlife through rapid destruction, modification and creation of habitat. Fire has spatially variable effects on landscapes; however, for species that benefit from the ephemeral resource patches created by fire, it is critical to understand characteristics of fires that promote postfire colonization and persistence and the spatial scales on which they operate. Using a model postfire specialist, the black-backed woodpecker (Picoides arcticus), we examined how colonization and persistence varied across two spatial scales as a function of four characteristics of fire regimesfire severity, fire size, fire ignition date and number of years since fire. We modelled black-backed woodpecker colonization and persistence using data from 108 recently burned forests in the Sierra Nevada and southern Cascades ecoregions of California, USA, that we monitored for up to 10years following fire. We employed a novel, spatially hierarchical, dynamic occupancy framework which differentiates colonization and persistence at two spatial scales: across fires and within fires. We found strong effects of fire characteristics on dynamic rates, with colonization and persistence declining across both spatial scales with increasing years since fire. Additionally, at sites within fires, colonization decreased with fire size and increased with fire severity and for fires with later ignition dates. Our results support the notion that different aspects of a species' environment are important for population processes at different spatial scales. As habitat quality is ephemeral for any given postfire area, our results illustrate the importance of time since fire in structuring occupancy at the fire level, with other characteristics of fires playing larger roles in determining abundance within individual fires. Our results contribute to the broader understanding of how variation in fire characteristics influences the colonization and persistence of species using ephemeral habitats, which is necessary for conserving and promoting postfire biodiversity in the context of rapidly shifting fire regimes.	[Tingley, MW; Stillman, AN] Univ Connecticut, Ecol & Evolutionary Biol, 75 N Eagleville Rd,Unit 3043, Storrs, CT 06269 USA; [Wilkerson, RL; Siegel, RB] Inst Bird Populat, Point Reyes Stn, CA USA; [Howell, CA] US Forest Serv, USDA, Pacific Southwest Res Stn, Albany, CA USA; [Sawyer, SC] US Forest Serv, USDA, Vallejo, CA USA	Tingley, MW (reprint author), Univ Connecticut, Ecol & Evolutionary Biol, 75 N Eagleville Rd,Unit 3043, Storrs, CT 06269 USA.	morgan.tingley@uconn.edu		Stillman, Andrew/0000-0001-6692-380X; Tingley, Morgan/0000-0002-1477-2218	15	15	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	http://www.wiley.com/WileyCDA/	0021-8790		J ANIM ECOL	J. Anim. Ecol.	2018	SEP	87	5				1484	1496	13		GP9OK	CCC:000441246100026	29782655				2019-04-10
J	Matseur, EAThompson, FRDickerson, BERumble, MAMillspaugh, JJ	Matseur, Elizabeth A.; Thompson, Frank R., III; Dickerson, Brian E.; Rumble, Mark A.; Millspaugh, Joshua J.		Black-backed woodpecker abundance in the black hills	JOURNAL OF WILDLIFE MANAGEMENT			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	abundance, black-backed woodpecker, Black Hills, Picoides arcticus, point count, population estimate	PONDEROSA PINE, HABITAT ASSOCIATIONS, CONIFEROUS FORESTS, BOREAL FOREST, SOUTH-DAKOTA, DENSITY, WILDFIRE, BIRDS, FIRE, HOT	The Black Hills population of black-backed woodpeckers (Picoides arcticus) was petitioned, but deemed not warranted, to be listed as a threatened or endangered species under the Endangered Species Act and more information on their population size in the region is needed. Our objective was to map abundance and provide a population estimate of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains of South Dakota and Wyoming, USA. We conducted 3,666 and 3,384 5-minute point count surveys from late-March to late-June in 2015 and 2016, respectively. We characterized vegetation around each point using geographic information system-derived landscape variables and fit 3-level hierarchical time-removal models in R package unmarked using gmultmix. The global abundance model received the most support and included year, latitude, and percent area of green trees, beetle-killed trees, dead trees, 1- to 2-year-old wildfire, 3-year-old wildfire, and 4- to 5-year-old wildfire. Points with high percent cover of beetle-killed trees had the greatest density of black-backed woodpeckers, followed by 1- to 2-year-old wildfires. After 4 years, areas burned by wildfire supported lower densities of black-backed woodpeckers than undisturbed forests. Mean density was 0.528birds/km(2) in 2015 and 0.626birds/km(2) in 2016. There were an estimated 2,920 and 3,439 black-backed woodpeckers in the Black Hills and Bear Lodge Mountains in 2015 and 2016, respectively. We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers and are important to sustaining populations when the availability of recent (<4 years old) wildfire is declining or scarce. Published 2018. This article is a U.S. Government work and is in the public domain in the USA.We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains, South Dakota and Wyoming, 2015-2016, USA. Beetle-killed trees are important to sustaining black-backed woodpecker populations when the availability of recent (<4 years old) wildfire is declining or scarce.	[Matseur, EA] Univ Missouri, Sch Nat Resources, 302 Nat Resources Bldg, Columbia, MO 65211 USA; [Thompson, FR] US Forest Serv, Northern Res Stn, 202 Nat Resources Bldg, Columbia, MO 65211 USA; [Dickerson, BE; Rumble, MA] US Forest Serv, Rocky Mt Res Stn, 8221 Mt Rushmore Rd, Rapid City, SD 57702 USA; [Millspaugh, JJ] Univ Montana, WA Franke Coll Forestry & Conservat, 32 Campus Dr, Missoula, MT 59812 USA	Matseur, EA (reprint author), Univ Missouri, Sch Nat Resources, 302 Nat Resources Bldg, Columbia, MO 65211 USA.	eamatseur@mail.missouri.edu			3	3	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	http://www.wiley.com/WileyCDA/	0022-541X		J WILDLIFE MANAGE	J. Wildl. Manage.	2018	JUL	82	5				1039	1048	10		GK0QJ	CCC:000435816100017					2019-04-10
J	Taillie, PJBurnet, RDRoberts, LJCampos, BRPeterson, MNMoorman, CE	Taillie, Paul J.; Burnet, Ryan D.; Roberts, Lance Jay; Campos, Brent R.; Peterson, M. Nils; Moorman, Christopher E.		Interacting and non-linear avian responses to mixed-severity wildfire and time since fire	ECOSPHERE			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology	distance sampling, disturbance, pyrodiversity, Sierra Nevada, succession	BREEDING BIRD POPULATIONS, BLACK-BACKED WOODPECKER, WESTERN UNITED-STATES, SIERRA-NEVADA, BIODIVERSITY CONSERVATION, MODERATE-SEVERITY, CONIFER FORESTS, BURNED FORESTS, CLIMATE-CHANGE, PRONE FORESTS	Non-linear and interacting effects of fire severity and time since fire may help explain how pyrodiversity promotes biodiversity in fire-adapted systems. We built on previous research on avian responses to fire by investigating how complex effects of bum severity and time since fire influenced avian community composition across the northern Sierra Nevada, California. We conducted avian point counts from 2009 to 2015 in 10 fires that burned between 2000 and 2014, resulting in a chronosequence of 1-15 yr post-fire. We estimated the effects of burn severity, time since fire, non-linear and interacting effects of fire severity and time since fire, pre-fire forest conditions, and several physiographic parameters on the density of 44 breeding bird species using hierarchical distance sampling models. In addition, we fit separate models to observations of each species in unburned forest to compare species' densities between burned and unburned forests. At least one of the non-linear or interaction fire effects was significant for 27 (61%) of the 44 bird species. The quadratic effect of time since fire was an important predictor of post-fire densities of 20 species, illustrating the dynamic nature of this post-wildfire avian community. Greater maximum densities were estimated at some combination of burn severity and time since fire than in unburned forest for 13 of the 44 (30%) species, only one of which reached maximum density following low-severity fire. In contrast, all of the 12 species that were more abundant in unburned forest reached maximum post-fire densities in fires that burned at low severity. Results from the study suggest that consideration of the non-linear and interacting effects of fire severity and time since fire is important to fully understanding post-wildfire responses for a majority of birds. Moreover, the study supports a growing body of literature that indicates mixed-severity fire is essential for conserving avian diversity in many fire-maintained systems.	[Taillie, PJ; Peterson, MN; Moorman, CE] North Carolina State Univ, Dept Forestry & Environm Resources, Fisheries Wildlife & Conservat Biol Program, Raleigh, NC 27695 USA; [Burnet, RD; Roberts, LJ; Campos, BR] Poini Blue Conservat Sci, 3820 Cypress Dr 11, Petaluma, CA 94954 USA	Taillie, PJ (reprint author), North Carolina State Univ, Dept Forestry & Environm Resources, Fisheries Wildlife & Conservat Biol Program, Raleigh, NC 27695 USA.	pjtailli@ncsu.edu			7	7	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	http://www.wiley.com/WileyCDA/	2150-8925		ECOSPHERE	Ecosphere	2018	JUN	9	6				2291	2291	18		GO4QP	CCC:000439997600014		DOAJ Gold			2019-04-10
J	Tarbill, GLWhite, AMManley, PN	Tarbill, Gina L.; White, Angela M.; Manley, Patricia N.		The persistence of Black-backed Woodpeckers following delayed salvage logging in the Sierra Nevada	AVIAN CONSERVATION AND ECOLOGY			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	Black-backed Woodpecker, postfire, salvage logging, snag island, snag retention	MIXED-CONIFER FOREST, LAKE TAHOE BASIN, CAVITY-NESTING BIRDS, FIRE SEVERITY, BURNED FORESTS, SITE SELECTION, CALIFORNIA, WILDFIRE, MANAGEMENT, LANDSCAPE	The Black-backed Woodpecker (Picoides arcticus) is a snag-associated species that colonizes and utilizes patches of burned forests typically within 10 years of fire. Previous research has indicated that salvage logging, the removal of dead and dying trees from burned forests, has a negative effect on nesting densities of Black-backed Woodpeckers. One strategy proposed to ameliorate the impacts of dead tree removal on Black-backed Woodpeckers is to retain patches, or islands, of dense snags within the salvage matrix, but this approach remains largely untested. Following the Angora fire of South Lake Tahoe, CA several snag islands were retained within the larger salvage prescription to conserve habitat for Black-backed Woodpeckers and other snag-associated species. In this observational study, we evaluate whether these snag islands were effective at maintaining Black-backed Woodpecker populations following logging operations that covered 45% of the burned area. We systematically searched the postfire landscape for Black-backed Woodpecker nests for two years before and after salvage operations and compared nesting densities between logged and unlogged areas. Similar to other studies, we found that nest densities at the stand scale declined significantly in areas that were salvage logged, but Black-backed Woodpeckers did nest in both snag islands and in other peripheral unlogged areas, indicating that this approach may help balance habitat for wildlife with management needs at the scale of the fire. In this study, the removal of dead trees, which is usually implemented in the first two years following fire, did not occur until the fourth year, which may have also contributed to the persistence of Black-backed Woodpeckers postlogging.	[Tarbill, GL; White, AM; Manley, PN] US Forest Serv, USDA, Pacific Southwest Res Stn, Washington, DC 20250 USA; [Tarbill, GL] Oak Ridge Inst Sci & Educ, Oak Ridge, TN USA; [Tarbill, GL] Univ Calif Davis, Davis, CA 95616 USA	Tarbill, GL (reprint author), 1731 Res Pk Dr, Davis, CA 95618 USA.	ginatarbill@fs.fed.us			3	3	RESILIENCE ALLIANCE	WOLFVILLE	ACADIA UNIV, BIOLOGY DEPT, WOLFVILLE, NS B0P 1X0, CANADA	http://www.resalliance.org	1712-6568		AVIAN CONSERV ECOL	Avian Conserv. Ecol.	2018	JUN	13	1				16	16	13		GN3IT	CCC:000438899000017		DOAJ Gold			2019-04-10
J	Perry, RWRudolph, DCThill, RE	Perry, Roger W.; Rudolph, D. Craig; Thill, Ronald E.		Capture-site Characteristics for Eastern Spotted Skunks in Mature Forests during Summer	SOUTHEASTERN NATURALIST			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology		RED-COCKADED WOODPECKERS, SPILOGALE-PUTORIUS, APPALACHIAN MOUNTAINS, OUACHITA MOUNTAINS, RESTORATION, SELECTION, ARKANSAS	Spilogale putorius (Eastern Spotted Skunk) is an increasingly rare species undergoing population declines throughout many portions of its range. We incidentally captured Eastern Spotted Skunks in snake traps during a study examining effects of woodland restoration on herpetofauna in the Ouachita Mountains of Arkansas. We used extensive habitat data collected at each trap site to determine potential characteristics of sites where Eastern Spotted Skunks were more likely to occur during summer. We recorded 18 Eastern Spotted Skunk captures in 10 of our 36 drift-fence traps. Capture rates of Eastern Spotted Skunks were 6 times greater and occupancy rates were 9 times greater in unmanaged, mature forests with a well-developed midstory than in frequently burned woodlands that lacked a midstory. Higher-occupancy rates were associated with greater total cover, greater cover of woody-understory vegetation, and sparse forb cover. Our data support those of previous studies that suggest Eastern Spotted Skunks occur in areas with dense cover, which may include mature forests with well-developed midstories.	[Perry, RW] US Forest Serv, Southern Res Stn, Hot Springs, AR 71902 USA; [Rudolph, DC; Thill, RE] US Forest Serv, Southern Res Stn, Nacogdoches, TX 75965 USA	Perry, RW (reprint author), US Forest Serv, Southern Res Stn, Hot Springs, AR 71902 USA.	rperry03@fs.fed.us			3	3	HUMBOLDT FIELD RESEARCH INST	STEUBEN	PO BOX 9, STEUBEN, ME 04680-0009 USA		1528-7092		SOUTHEAST NAT	Southeast. Nat.	2018	JUN	17	2				298	308	11		GL6HN	CCC:000437285000014					2019-04-10
J	Paudyal, RStein, TVOber, HKSwisher, MEJokela, EJAdams, DC	Paudyal, Ramesh; Stein, Taylor V.; Ober, Holly K.; Swisher, Marilyn E.; Jokela, Eric J.; Adams, Damian C.		Recreationists' Perceptions of Scenic Beauty and Satisfaction at a Public Forest Managed for Endangered Wildlife	FORESTS			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	PLANT SCIENCES	Plant Sciences	forest beauty, outdoor recreation, graphic elicitation technique, controlled burning, red-cockaded woodpecker, Ocala National Forest	RED-COCKADED WOODPECKERS, OUTDOOR RECREATION, LONGLEAF PINE, PREFERENCES, QUALITY, ATTRIBUTES, AESTHETICS, VALIDITY, FIRE, RELIABILITY	Prescribed burning and other active forest management treatments have been proven essential for maintaining suitable habitat conditions for many wildlife species, including the federally endangered red-cockaded woodpecker (RCW). This study examines the perception of forest management treatments of recreation users participating in various activities (hunting, hiking/backpacking, camping, off-highway vehicle riding, and canoeing/kayaking) in terms of scenic beauty and recreation satisfaction. We used photographic images to capture various forest management treatments of different intensity levels and times after treatments, and assessed users' perception of scenic beauty and recreation satisfaction. Results indicated variation among users participating in different recreation activities, but that good quality RCW habitats offered both higher scenic beauty and higher recreation satisfaction than poor quality habitats for most activity user groups. Finally, recreation satisfaction was statistically equal to perceived scenic beauty from both good and poor-quality RCW habitats for most of the activity user groups, thus suggesting the importance of scenic beauty of forest sites in determining recreation users' attainment of visit satisfaction. Findings conclude that forest sites developed as good quality RCW habitats in the present state also offer quality experience to recreation users, thus supporting multi-objective forestry practices in public forests.	[Paudyal, R; Stein, TV; Jokela, EJ; Adams, DC] Univ Florida, Sch Forest Resources & Conservat, POB 110410, Gainesville, FL 32611 USA; [Ober, HK] Univ Florida, North Florida Res & Educ Ctr, 155 Res Rd, Quincy, FL 32351 USA; [Swisher, ME] Univ Florida, Dept Family Youth & Community Sci, POB 110310, Gainesville, FL 32611 USA	Stein, TV (reprint author), Univ Florida, Sch Forest Resources & Conservat, POB 110410, Gainesville, FL 32611 USA.	rpaudyal@ufl.edu; tstein@ufl.edu; holly.ober@ufl.edu; mesw@ufl.edu; ejokela@ufl.edu; dcadams@ufl.edu		Paudyal, Ramesh/0000-0002-9082-7583; Ober, Holly/0000-0003-3780-6297	10	15	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND	http://www.mdpi.com	1999-4907		FORESTS	Forests	2018	MAY	9	5				241	241	13		GJ3KO	CCC:000435193700016		DOAJ Gold			2019-04-10
J	Weiss, SACorace, RGToman, ELHerms, DAGoebel, PC	Weiss, Shelby A.; Corace, R. Gregory, III; Toman, Eric L.; Herms, Daniel A.; Goebel, P. Charles		Wildlife implications across snag treatment types in jack pine stands of Upper Michigan	FOREST ECOLOGY AND MANAGEMENT			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	PLANT SCIENCES	Plant Sciences	Ecological forestry, Jack pine, Snags, Fire, Woodpeckers, Subcortical insects	WOODPECKERS PICOIDES-ARCTICUS, FOREST ECOSYSTEMS, FIRE HISTORY, DOUGLAS-FIR, BLACK SPRUCE, CLEAR-CUT, SELECTION, NORTHERN, WOOD, ECOLOGY	Standing dead trees, or snags, represent post-disturbance biological legacies in forest ecosystems, and intentional creation of new snags is increasingly common during forest treatments. The abundance, volume, size, and distribution of snags can affect wildlife communities and stand-level biological diversity. Characteristics such as the wood properties of different tree species, environmental conditions, and cause of tree death (e.g., insects, disease, senescence, wind, fire) can influence decomposition and subsequent use of snags by wildlife. The objectives of this study were to characterize decay patterns in jack pine (Pinus banksiana) snags that had been killed by prescribed fire, topping, and girdling and determine the effects of these treatments on subsequent snag use by subcortical insects and primary cavity-nesting birds. The prescribed fire, topping, and girdling treatments were implemented in 2003, 2004, and 2007, respectively; bird excavations were quantified in 2014 and insect activity was measured in 2016. One-way analysis of variance tests were used to examine any differences among treatments in snag characteristics, decay characteristics, past insect activity, and past use by birds. An information theoretic approach to model selection was then used to rank potential predictors of bird foraging activity and cavities. The topping treatment had unique decay characteristics relative to the other two treatments; topped snags had the highest levels of past insect colonization, were softer, and had higher proportions of loose bark remaining on the boles. Trees killed by prescribed fire had the greatest number of foraging excavations and cavities. Girdled snags had the lowest evidence of past insect colonization and showed different levels of decay and insect use at different vertical positions on the snag bole. Comparison of candidate models showed that a model containing treatment type alone was the highest ranked when predicting foraging by birds, while snag diameter was the highest ranked when predicting the presence of cavities. A model containing treatment and snag density was also a highly ranked for predicting cavity presence. Our findings suggest that different jack pine snag treatments result in unique decay trajectories that may influence snag use by an array of wildlife taxa. Our characterization of three snag creation treatments can also inform options for generating snags, depending on the desired outcome, when management for biological legacies and wildlife habitat is of interest within mixed pine forests of the Great Lakes region.	[Weiss, SA; Toman, EL; Goebel, PC] Ohio State Univ, Sch Environm & Nat Resources, 2021 Coffey Rd, Columbus, OH 43210 USA; [Corace, RG] US Fish & Wildlife Serv, Seney Natl Wildlife Refuge, 1674 Refuge Entrance Rd, Seney, MI 49883 USA; [Herms, DA] Ohio State Univ, Dept Entomol, 1680 Madison Ave, Wooster, OH 44691 USA; [Herms, DA] 107 N Walnut St, Wooster, OH 44691 USA; [Goebel, PC] Univ Idaho, Dept Forest Rangeland & Fire Sci, 875 Perimeter Dr, Moscow, ID 83844 USA	Weiss, SA (reprint author), Ohio State Univ, Sch Environm & Nat Resources, 2021 Coffey Rd, Columbus, OH 43210 USA.	shlbweiss@gmail.com			1	11	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	http://www.elsevier.com	0378-1127		FOREST ECOL MANAG	For. Ecol. Manage.	2018	FEB	409					407	416	10		FW8JL	CCC:000425578000041					2019-04-10
J	Vergara, PMMeneses, LOSaavedra, MDiaz, FENorambuena, KFierro, ARodewald, ADSoto, GE	Vergara, Pablo M.; Meneses, Luis O.; Saavedra, Marcelo; Diaz, Felipe E.; Norambuena, Katherine; Fierro, Andres; Rodewald, Amanda D.; Soto, Gerardo E.		Magellanic Woodpeckers in three national parks of central-southern Chile: habitat effects and population variation over the last two decades	AVIAN CONSERVATION AND ECOLOGY			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	Campephilus magellanicus, national parks, population changes	WHITE-BACKED WOODPECKER, TIERRA-DEL-FUEGO, CAMPEPHILUS-MAGELLANICUS, PROTECTED AREAS, FOREST MANAGEMENT, SPECIES RICHNESS, BLACK WOODPECKER, TREE SELECTION, CONSERVATION, BIODIVERSITY	A major challenge for protected areas is providing wildlife with enough suitable habitat to cope with stochastic environment and increased pressure from the surrounding landscapes. In this study, we addressed changes in local populations of Magellanic Woodpeckers (Campephilus magellanicus) occupying three national parks of central-southern Chile. We compared the breeding and postbreeding abundance of woodpeckers during the 1990s with the present (2016) abundance (n = 4 years), and assessed the extent to which abundance was explained by forest type and quality of foraging habitat (as quantified through the plant senescence reflectance index; PSRI). Results show a distinctive temporal variation in woodpecker abundance at each park, with local populations of Magellanic Woodpeckers declining by 42.2% in Conguillio National Park, but increasing by 34.3% in Nahuelbuta National Park. Woodpeckers responded to forest conditions within each park such that their abundance increased with high quality of foraging habitat, i. e., large PSRI values, and the presence of old-growth Monkey puzzle (Araucaria araucana) -Nothofagus pumilio mixed forest. Anecdotal evidence suggests that populations of woodpeckers in Conguillio National Park might have responded negatively to large-scale disturbances from recent forest fires affecting part of the forest area within park. Because stochastic events seemed to strongly mediate population changes, our findings suggest that regional conservation of Magellanic Woodpeckers requires expanding the current conservation area network in central-southern Chile.	[Vergara, PM; Meneses, LO; Diaz, FE; Norambuena, K; Fierro, A] Univ Santiago Chile, Santiago, Chile; [Saavedra, M] Corp Nacl Forestal, Ithaca, NY USA; [Rodewald, AD; Soto, GE] Cornell Univ, Cornell Lab Ornithol, Ithaca, NY USA; [Rodewald, AD; Soto, GE] Cornell Univ, Dept Nat Resources, Ithaca, NY 14853 USA	Vergara, PM (reprint author), Ave Libertador Bernardo OHiggins 3363, Santiago, Chile.	pablo.vergara@usach.cl		Soto, Gerardo/0000-0002-9706-6588	0	6	RESILIENCE ALLIANCE	WOLFVILLE	ACADIA UNIV, BIOLOGY DEPT, WOLFVILLE, NS B0P 1X0, CANADA	http://www.resalliance.org	1712-6568		AVIAN CONSERV ECOL	Avian Conserv. Ecol.	2017	DEC	12	2				15	15	11		FR8TJ	CCC:000419347000018		DOAJ Gold			2019-04-10
