PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	29782655	Journal Article	Cross-scale occupancy dynamics of a postfire specialist in response to variation across a fire regime.		Tingley, Morgan W; Stillman, Andrew N; Wilkerson, Robert L; Howell, Christine A; Sawyer, Sarah C; Siegel, Rodney B		The Journal of animal ecology	87	5	1484-1496	2018	2018 Sep (Epub 2018 Jun 11)	English	15	15	© 2018 The Authors. Journal of Animal Ecology © 2018 British Ecological Society.Fire creates challenges and opportunities for wildlife through rapid destruction, modification and creation of habitat. Fire has spatially variable effects on landscapes; however, for species that benefit from the ephemeral resource patches created by fire, it is critical to understand characteristics of fires that promote postfire colonization and persistence and the spatial scales on which they operate. Using a model postfire specialist, the black-backed woodpecker (Picoides arcticus), we examined how colonization and persistence varied across two spatial scales as a function of four characteristics of fire regimes-fire severity, fire size, fire ignition date and number of years since fire. We modelled black-backed woodpecker colonization and persistence using data from 108 recently burned forests in the Sierra Nevada and southern Cascades ecoregions of California, USA, that we monitored for up to 10years following fire. We employed a novel, spatially hierarchical, dynamic occupancy framework which differentiates colonization and persistence at two spatial scales: across fires and within fires. We found strong effects of fire characteristics on dynamic rates, with colonization and persistence declining across both spatial scales with increasing years since fire. Additionally, at sites within fires, colonization decreased with fire size and increased with fire severity and for fires with later ignition dates. Our results support the notion that different aspects of a species' environment are important for population processes at different spatial scales. As habitat quality is ephemeral for any given postfire area, our results illustrate the importance of time since fire in structuring occupancy at the fire level, with other characteristics of fires playing larger roles in determining abundance within individual fires. Our results contribute to the broader understanding of how variation in fire characteristics influences the colonization and persistence of species using ephemeral habitats, which is necessary for conserving and promoting postfire biodiversity in the context of rapidly shifting fire regimes.		Ecology & Evolutionary Biology, University of Connecticut, Storrs, Connecticut.; The Institute for Bird Populations, Point Reyes Station, California.; USDA Forest Service, Pacific Southwest Research Station, Albany, California.; USDA Forest Service, Pacific Southwest Region, Vallejo, California.		Stillman, Andrew/0000-0001-6692-380X; Tingley, Morgan/0000-0002-1477-2218			Picoides arcticus; black-backed woodpecker; colonization; dynamic occupancy model; multiscale analysis; persistence; wildfire							1365-2656	0376574	England			In-Data-Review			 / 22 Aug 2018		11 Jun 2018		10.1111/1365-2656.12851	MEDLINE:29782655				2019-04-10
J	29414989	Journal Article; Research Support, Non-U.S. Gov't	Harvesting interacts with climate change to affect future habitat quality of a focal species in eastern Canada's boreal forest.		Tremblay, Junior A; Boulanger, Yan; Cyr, Dominic; Taylor, Anthony R; Price, David T; St-Laurent, Martin-Hugues		PloS one	13	2	e0191645	2018	2018 	English	7	26	Many studies project future bird ranges by relying on correlative species distribution models. Such models do not usually represent important processes explicitly related to climate change and harvesting, which limits their potential for predicting and understanding the future of boreal bird assemblages at the landscape scale. In this study, we attempted to assess the cumulative and specific impacts of both harvesting and climate-induced changes on wildfires and stand-level processes (e.g., reproduction, growth) in the boreal forest of eastern Canada. The projected changes in these landscape- and stand-scale processes (referred to as "drivers of change") were then assessed for their impacts on future habitats and potential productivity of black-backed woodpecker (BBWO; Picoides arcticus), a focal species representative of deadwood and old-growth biodiversity in eastern Canada. Forest attributes were simulated using a forest landscape model, LANDIS-II, and were used to infer future landscape suitability to BBWO under three anthropogenic climate forcing scenarios (RCP 2.6, RCP 4.5 and RCP 8.5), compared to the historical baseline. We found climate change is likely to be detrimental for BBWO, with up to 92% decline in potential productivity under the worst-case climate forcing scenario (RCP 8.5). However, large declines were also projected under baseline climate, underlining the importance of harvest in determining future BBWO productivity. Present-day harvesting practices were the single most important cause of declining areas of old-growth coniferous forest, and hence appeared as the single most important driver of future BBWO productivity, regardless of the climate scenario. Climate-induced increases in fire activity would further promote young, deciduous stands at the expense of old-growth coniferous stands. This suggests that the biodiversity associated with deadwood and old-growth boreal forests may be greatly altered by the cumulative impacts of natural and anthropogenic disturbances under a changing climate. Management adaptations, including reduced harvesting levels and strategies to promote coniferous species content, may help mitigate these cumulative impacts.		Sciences and Technology Branch, Environment and Climate Change Canada, Quebec, Quebec, Canada.; Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, Stn. Sainte-Foy, Quebec, Quebec, Canada.; Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, Fredericton, New Brunswick, Canada.; Natural Resources Canada, Canadian Forest Service, Northern Forestry Centre, Edmonton, Alberta, Canada.; Universite du Quebec a Rimouski, Centre for Northern Studies & Centre for Forest Research, Departement de biologie, chimie et geographie, Allee des Ursulines, Rimouski, Quebec, Canada.		Tremblay, Junior A./0000-0003-4930-0939	Animals. Birds. Canada. *Climate Change. *Ecosystem. *Forests. Species Specificity	Index Medicus							Zoology; Meteorology & Atmospheric Sciences; Environmental Sciences & Ecology; Immunology (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 13 Mar 2018 / 13 Mar 2018		07 Feb 2018		10.1371/journal.pone.0191645	MEDLINE:29414989	DOAJ Gold, Green Published			2019-04-10
J	24736502	Journal Article; Research Support, Non-U.S. Gov't	The role of wildfire, prescribed fire, and mountain pine beetle infestations on the population dynamics of black-backed woodpeckers in the black hills, South Dakota.		Rota, Christopher T; Millspaugh, Joshua J; Rumble, Mark A; Lehman, Chad P; Kesler, Dylan C		PloS one	9	4	e94700	2014	2014 	English	0	45	Wildfire and mountain pine beetle infestations are naturally occurring disturbances in western North American forests. Black-backed woodpeckers (Picoides arcticus) are emblematic of the role these disturbances play in creating wildlife habitat, since they are strongly associated with recently-killed forests. However, management practices aimed at reducing the economic impact of natural disturbances can result in habitat loss for this species. Although black-backed woodpeckers occupy habitats created by wildfire, prescribed fire, and mountain pine beetle infestations, the relative value of these habitats remains unknown. We studied habitat-specific adult and juvenile survival probabilities and reproductive rates between April 2008 and August 2012 in the Black Hills, South Dakota. We estimated habitat-specific adult and juvenile survival probability with Bayesian multi-state models and habitat-specific reproductive success with Bayesian nest survival models. We calculated asymptotic population growth rates from estimated demographic rates with matrix projection models. Adult and juvenile survival and nest success were highest in habitat created by summer wildfire, intermediate in MPB infestations, and lowest in habitat created by fall prescribed fire. Mean posterior distributions of population growth rates indicated growing populations in habitat created by summer wildfire and declining populations in fall prescribed fire and mountain pine beetle infestations. Our finding that population growth rates were positive only in habitat created by summer wildfire underscores the need to maintain early post-wildfire habitat across the landscape. The lower growth rates in fall prescribed fire and MPB infestations may be attributed to differences in predator communities and food resources relative to summer wildfire.		Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, Missouri, United States of America.; Forest and Grassland Research Laboratory, United States Forest Service Rocky Mountain Research Station, Rapid City, South Dakota, United States of America.; Custer State Park, South Dakota Department of Game, Fish, and Parks, Custer, South Dakota, United States of America.		Rota, Christopher/0000-0001-9272-4687	Animals. Bayes Theorem. *Birds / growth & development; physiology. *Coleoptera. Ecosystem. *Fires. *Pinus. Population Dynamics. Reproduction. South Dakota	Index Medicus							Mathematics; Zoology; Environmental Sciences & Ecology; Plant Sciences; Reproductive Biology (provided by Clarivate Analytics)	1932-6203	101285081	United States		NLM	MEDLINE			 / 15 Jan 2015 / 16 Nov 2017	Erratum in: PLoS One. 2014;9(8):e106390	15 Apr 2014		10.1371/journal.pone.0094700	MEDLINE:24736502	DOAJ Gold, Green Published			2019-04-10
J	24340177	Journal Article	Ensemble modeling to predict habitat suitability for a large-scale disturbance specialist.		Latif, Quresh S; Saab, Victoria A; Dudley, Jonathan G; Hollenbeck, Jeff P		Ecology and evolution	3	13	4348-64	2013	2013 Nov (Epub 2013 Oct 06)	English	0	43	To conserve habitat for disturbance specialist species, ecologists must identify where individuals will likely settle in newly disturbed areas. Habitat suitability models can predict which sites at new disturbances will most likely attract specialists. Without validation data from newly disturbed areas, however, the best approach for maximizing predictive accuracy can be unclear (Northwestern U.S.A.). We predicted habitat suitability for nesting Black-backed Woodpeckers (Picoides arcticus; a burned-forest specialist) at 20 recently (≤6 years postwildfire) burned locations in Montana using models calibrated with data from three locations in Washington, Oregon, and Idaho. We developed 8 models using three techniques (weighted logistic regression, Maxent, and Mahalanobis D (2) models) and various combinations of four environmental variables describing burn severity, the north-south orientation of topographic slope, and prefire canopy cover. After translating model predictions into binary classifications (0 = low suitability to unsuitable, 1 = high to moderate suitability), we compiled "ensemble predictions," consisting of the number of models (0-8) predicting any given site as highly suitable. The suitability status for 40% of the area burned by eastside Montana wildfires was consistent across models and therefore robust to uncertainty in the relative accuracy of particular models and in alternative ecological hypotheses they described. Ensemble predictions exhibited two desirable properties: (1) a positive relationship with apparent rates of nest occurrence at calibration locations and (2) declining model agreement outside surveyed environments consistent with our reduced confidence in novel (i.e., "no-analogue") environments. Areas of disagreement among models suggested where future surveys could help validate and refine models for an improved understanding of Black-backed Woodpecker nesting habitat relationships. Ensemble predictions presented here can help guide managers attempting to balance salvage logging with habitat conservation in burned-forest landscapes where black-backed woodpecker nest location data are not immediately available. Ensemble modeling represents a promising tool for guiding conservation of large-scale disturbance specialists.		Rocky Mountain Research Station, U.S. Forest Service 1648 S. 7th Ave., Bozeman, Montana, 59717.					Black-backed Woodpeckers; Mahalanobis D2 models; Maxent models; Picoides arcticus; forested habitat management; habitat suitability models; model prediction in no-analogue environments; resource selection models; species distribution models; wildfire							2045-7758	101566408	England		NLM	PubMed-not-MEDLINE			 / 16 Dec 2013 / 20 Feb 2017		06 Oct 2013		10.1002/ece3.790	MEDLINE:24340177	DOAJ Gold, Green Published			2019-04-10
J	25567923	Journal Article	Do male and female black-backed woodpeckers respond differently to gaps in habitat?		Pierson, Jennifer C; Allendorf, Fred W; Saab, Victoria; Drapeau, Pierre; Schwartz, Michael K		Evolutionary applications	3	3	263-78	2010	2010 May (Epub 2010 Jan 28)	English	0	17	We used population- and individual-based genetic approaches to assess barriers to movement in black-backed woodpeckers (Picoides arcticus), a fire-specialist that mainly occupies the boreal forest in North America. We tested if male and female woodpeckers exhibited the same movement patterns using both spatially implicit and explicit genetic analyses to define population structure and movement patterns of both sexes among populations. Three genetic groups were identified, a large, genetically continuous population that spans from the Rocky Mountains to Quebec, a small isolated population in South Dakota and a separate population in the western portion of their distribution (Oregon). Patterns of genetic diversity suggest extensive gene flow mediated by both males and females within the continuous boreal forest. However, male-mediated gene flow is the main form of connectivity between the continuously distributed group and the smaller populations of South Dakota and Oregon that are separated by large areas of unforested habitat, which apparently serves as a barrier to movement of female woodpeckers.		Wildlife Biology Program, University of Montana Missoula, MT, USA.; Division of Biological Sciences, University of Montana Missoula, MT, USA.; USDA Forest Service, Rocky Mountain Research Station Bozeman, MT, USA.; Departement des Sciences Biologiques, Universite du Quebec a Montreal Montreal, QC, Canada.; USDA Forest Service, Rocky Mountain Research Station Missoula, MT, USA.	Pierson, Jennifer/I-1939-2012; Schwartz, Michael/C-3184-2014	Schwartz, Michael/0000-0003-3521-3367			Picoides arcticus; microsatellite; movement barriers; mtDNA; population genetic structure; sex-biased movement							1752-4571	101461828	England			PubMed-not-MEDLINE			 / 08 Jan 2015 / 08 Jan 2019		28 Jan 2010		10.1111/j.1752-4571.2009.00111.x	MEDLINE:25567923	DOAJ Gold, Green Published			2019-04-10
J	19688932	Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	Modeling the effects of environmental disturbance on wildlife communities: avian responses to prescribed fire.		Russell, Robin E; Royle, J Andrew; Saab, Victoria A; Lehmkuhl, John F; Block, William M; Sauer, John R		Ecological applications : a publication of the Ecological Society of America	19	5	1253-63	2009	2009 Jul	English	4	117	Prescribed fire is a management tool used to reduce fuel loads on public lands in forested areas in the western United States. Identifying the impacts of prescribed fire on bird communities in ponderosa pine (Pinus ponderosa) forests is necessary for providing land management agencies with information regarding the effects of fuel reduction on sensitive, threatened, and migratory bird species. Recent developments in occupancy modeling have established a framework for quantifying the impacts of management practices on wildlife community dynamics. We describe a Bayesian hierarchical model of multi-species occupancy accounting for detection probability, and we demonstrate the model's usefulness for identifying effects of habitat disturbances on wildlife communities. Advantages to using the model include the ability to estimate the effects of environmental impacts on rare or elusive species, the intuitive nature of the modeling, the incorporation of detection probability, the estimation of parameter uncertainty, the flexibility of the model to suit a variety of experimental designs, and the composite estimate of the response that applies to the collection of observed species as opposed to merely a small subset of common species. Our modeling of the impacts of prescribed fire on avian communities in a ponderosa pine forest in Washington indicate that prescribed fire treatments result in increased occupancy rates for several bark-insectivore, cavity-nesting species including a management species of interest, Black-backed Woodpeckers (Picoides arcticus). Three aerial insectivore species, and the ground insectivore, American Robin (Turdus migratorius), also responded positively to prescribed fire, whereas three foliage insectivores and two seed specialists, Clark's Nutcracker (Nucifraga columbiana) and the Pine Siskin (Carduelis pinus), declined following treatments. Land management agencies interested in determining the effects of habitat manipulations on wildlife communities can use these methods to provide guidance for future management activities.		U.S. Forest Service, Rocky Mountain Research Station, 1648 S. 7th Avenue, Montana State University Campus, Bozeman, Montana 59717, USA. RRussell@mt.gov		Russell, Robin/0000-0001-8726-7303; Royle, Jeffrey/0000-0003-3135-2167	Animals. Birds / *physiology. *Ecosystem. *Fires. *Models, Biological. *Pinus ponderosa. Population Density. Population Dynamics. Trees	Index Medicus							Zoology; Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics; Plant Sciences (provided by Clarivate Analytics)	1051-0761	9889808	United States			MEDLINE			 / 25 Sep 2009 / 19 Aug 2009				10.1890/08-0910.1	MEDLINE:19688932				2019-04-10
J	19425425	Journal Article; Research Support, U.S. Gov't, Non-P.H.S.	Quantifying the multi-scale response of avifauna to prescribed fire experiments in the southwest United States.		Dickson, Brett G; Noon, Barry R; Flather, Curtis H; Jentsch, Stephanie; Block, William M		Ecological applications : a publication of the Ecological Society of America	19	3	608-21	2009	2009 Apr	English	1	20	Landscape-scale disturbance events, including ecological restoration and fuel reduction activities, can modify habitat and affect relationships between species and their environment. To reduce the risk of uncharacteristic stand-replacing fires in the southwestern United States, land managers are implementing restoration and fuels treatments (e.g., mechanical thinning, prescribed fire) in progressively larger stands of dry, lower elevation ponderosa pine (Pinus ponderosa) forest. We used a Before-After/Control-Impact experimental design to quantify the multi-scale response of avifauna to large (approximately 250-400 ha) prescribed fire treatments on four sites in Arizona and New Mexico dominated by ponderosa pine. Using distance sampling and an information-theoretic approach, we estimated changes in density for 14 bird species detected before (May-June 2002-2003) and after (May-June 2004-2005) prescribed fire treatments. We observed few site-level differences in pre- and posttreatment density, and no species responded strongly to treatment on all four sites. Point-level spatial models of individual species response to treatment, habitat variables, and fire severity revealed ecological relationships that were more easily interpreted. At this scale, pretreatment forest structure and patch characteristics were important predictors of posttreatment differences in bird species density. Five species (Pygmy Nuthatch [Sitta pygmaea], Western Bluebird [Sialia mexicana], Steller's Jay [Cyanocitta stelleri], American Robin [Turdus migratorius], and Hairy Woodpecker [Picoides villosus]) exhibited a strong treatment response, and two of these species (American Robin and Hairy Woodpecker) could be associated with meaningful fire severity response functions. The avifaunal response patterns that we observed were not always consistent with those reported by more common studies of wildland fire events. Our results suggest that, in the short-term, the distribution and abundance of common members of the breeding bird community in Southwestern ponderosa pine forests appear to be tolerant of low- to moderate-intensity prescribed fire treatments at multiple spatial scales and across multiple geographic locations.		Department of Fish, Wildlife, and Conservation Biology, Colorado State University, Fort Collins, Colorado 80523, USA. brett.dickson@nau.edu	Flather, Curtis/G-3577-2012	Flather, Curtis/0000-0002-0623-3126	Animals. Behavior, Animal. Birds / *physiology. *Ecosystem. *Fires. Pinus ponderosa / *physiology. Population Density. Population Dynamics. Southwestern United States. Species Specificity. Trees / physiology	Index Medicus							Behavioral Sciences; Zoology; Environmental Sciences & Ecology; Plant Sciences; Immunology (provided by Clarivate Analytics)	1051-0761	9889808	United States			MEDLINE			 / 01 Jul 2009 / 11 May 2009				10.1890/08-0905.1	MEDLINE:19425425				2019-04-10
J	19263880	Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	The ecological importance of severe wildfires: some like it hot.		Hutto, Richard L		Ecological applications : a publication of the Ecological Society of America	18	8	1827-34	2008	2008 Dec	English	10	77	Many scientists and forest land managers concur that past fire suppression, grazing, and timber harvesting practices have created unnatural and unhealthy conditions in the dry, ponderosa pine forests of the western United States. Specifically, such forests are said to carry higher fuel loads and experience fires that are more severe than those that occurred historically. It remains unclear, however, how far these generalizations can be extrapolated in time and space, and how well they apply to the more mesic ponderosa pine systems and to other forest systems within the western United States. I use data on the pattern of distribution of one bird species (Black-backed Woodpecker, Picoides arcticus) as derived from 16465 sample locations to show that, in western Montana, this bird species is extremely specialized on severely burned forests. Such specialization has profound implications because it suggests that the severe fires we see burning in many forests in the Intermountain West are not entirely "unnatural" or "unhealthy." Instead, severely burned forest conditions have probably occurred naturally across a broad range of forest types for millennia. These findings highlight the fact that severe fire provides an important ecological backdrop for fire specialists like the Black-backed Woodpecker, and that the presence and importance of severe fire may be much broader than commonly appreciated.		Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, Montana 59812, USA. hutto@mso.umt.edu			Animals. Birds / *physiology. *Ecosystem. *Fires. Montana. Population Density. Population Dynamics. Species Specificity	Index Medicus							Zoology; Environmental Sciences & Ecology; Immunology (provided by Clarivate Analytics)	1051-0761	9889808	United States			MEDLINE			 / 31 Mar 2009 / 06 Mar 2009				10.1890/08-0895.1	MEDLINE:19263880				2019-04-10
J	16922215	Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	Toward meaningful snag-management guidelines for postfire salvage logging in North American conifer forests.		Hutto, Richard L		Conservation biology : the journal of the Society for Conservation Biology	20	4	984-93	2006	2006 Aug	English	0	40	The bird species in western North America that are most restricted to, and therefore most dependent on, severely burned conifer forests during the first years following afire event depend heavily on the abundant standing snags for perch sites, nest sites, and food resources. Thus, it is critical to develop and apply appropriate snag-management guidelines to implement postfire timber harvest operations in the same locations. Unfortunately, existing guidelines designed for green-tree forests cannot be applied to postfire salvage sales because the snag needs of snag-dependent species in burned forests are not at all similar to the snag needs of snag-dependent species in green-tree forests. Birds in burned forests have very different snag-retention needs from those cavity-nesting bird species that have served as the focus for the development of existing snag-management guidelines. Specifically, many postfire specialists use standing dead trees not only for nesting purposes but for feeding purposes as well. Woodpeckers, in particular specialize on wood-boring beetle larvae that are superabundant in fire-killed trees for several years following severe fire. Species such as the Black-backed Woodpecker (Picoides arcticus) are nearly restricted in their habitat distribution to severely burned forests. Moreover existing postfire salvage-logging studies reveal that most postfire specialist species are completely absent from burned forests that have been (even partially) salvage logged. I call for the long-overdue development and use of more meaningful snag-retention guidelines for postfire specialists, and I note that the biology of the most fire-dependent bird species suggests that even a cursory attempt to meet their snag needs would preclude postfire salvage logging in those severely burned conifer forests wherein the maintenance of biological diversity is deemed important.		Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, MT 59812, USA. hutto@mso.umt.edu	Lindenmayer, David/P-7183-2017	Lindenmayer, David/0000-0002-4766-4088	Animals. Birds / physiology. *Coniferophyta. Conservation of Natural Resources / legislation & jurisprudence; methods. Disasters. Ecosystem. *Fires. *Forestry / legislation & jurisprudence; methods. *Guidelines as Topic. North America. Trees	Index Medicus							Zoology; Plant Sciences; Environmental Sciences & Ecology; Forestry (provided by Clarivate Analytics)	0888-8892	9882301	United States			MEDLINE			 / 16 Oct 2006 / 21 Nov 2008				10.1111/j.1523-1739.2006.00494.x	MEDLINE:16922215				2019-04-10
J	16903107	Journal Article; Research Support, Non-U.S. Gov't	Effects of restoring oak savannas on bird communities and populations.		Brawn, Jeffrey D		Conservation biology : the journal of the Society for Conservation Biology	20	2	460-9	2006	2006 Apr	English	2	68	Efforts to restore and maintain oak savannas in North America, with emphasis on the use of prescribed fire, have become common. Little is known, however about how restoration affects animal populations, especially those of birds. I compared the breeding densities, community structure, and reproductive success of birds in oak savannas maintained by prescribed fire (12 sites) with those in closed-canopy forests (13 sites). All sampling was conducted in Illinois (U.S.A.). Of the 31 bird species analyzed, 12 were more common in savannas, 14 were not affected by habitat structure, and 5 were more common in forest habitat. The species favored by disturbance and restoration included Northern Bobwhites (Colinus virginianus), Mourning Doves (Zenaida macroura), Red-headed Woodpeckers (Melanerpes erythrocephalus), Indigo Buntings (Passerina cyanea), and Baltimore Orioles (Icterus galbula). Those more common in closed-canopy forest included Ovenbirds (Seiurus aurocapilla) and Wood Thrushes (Hylocichla mustelina). Few species were unique to one type of habitat, but overall avian community structure in oak savannas and closed-canopy forests was generally distinctive. Estimates of nesting success (derived from 785 nests) revealed that 6 of the 13 species considered experienced greater productivity in the savanna habitat. Rates of brood parasitism were unaffected by restoration and habitat structure. Within savannas, tract size had little effect on breeding abundances and reproductive success. My results illustrate that restoration techniques can significantly affect the ecology of constituent animal populations and communities and have key implications regarding avian conservation and the management of forest habitat in fragmented landscapes. Small patches of forest habitat that regularly function as population sinks may offer far better prospects for birds if they are subjected to disturbance and ecosystem restoration.		Department of Natural Resources and Environmental Sciences and Program in Ecology and Evolutionary Biology, University of Illinois at Urbana-Champaign, 606 East Healey Street, Champaign, IL 61820-5502, USA. jbrawn@uiuc.edu			Animals. Birds / *physiology. Conservation of Natural Resources / *methods. *Ecosystem. Illinois. Population Density. Population Dynamics. *Quercus. Reproduction	Index Medicus							Zoology; Environmental Sciences & Ecology; Plant Sciences; Reproductive Biology (provided by Clarivate Analytics)	0888-8892	9882301	United States			MEDLINE			 / 12 Sep 2006 / 15 Nov 2006				10.1111/j.1523-1739.2006.00310.x	MEDLINE:16903107				2019-04-10
