PT	UT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA
J	BIOSIS:PREV201900288213	PREV201900288213		Article		Reduced competition may allow generalist species to benefit from habitat homogenization		Nordberg, Eric J. (ericjnordberg@gmail.com) ; Schwarzkopf, Lin									Journal of Applied Ecology		2019	FEB 2019	56	2	305-318	305	318	English						7	7	Complex environments support high biodiversity and diverse microhabitat availability, which may reduce the intensity of competition among species. Both natural and anthropogenic disturbances reduce the structural complexity of habitats, leading to homogenization. High abundances of common, generalist species in disturbed habitats may be driven by reduced competition from specialists in similar habitats. We quantified habitat availability for and utilization of three co-occurring arboreal geckos (Australian native house geckos [Gehyra dubia], northern velvet geckos [Oedura castelnaui] and eastern spiny-tailed geckos [Strophurus williamsi]) in four replicated grazing regimes in an experimental grazing trial in north-east Queensland, Australia. Native house geckos were most abundant in heavily grazed habitats, whereas the two other species rarely co-occurred (either with each other or with native house geckos). Geckos displayed resource partitioning of habitat features, such as tree species and structural characteristics. We found evidence of interspecific competition among gecko species, in which native house geckos shifted their habitat selection in the presence of velvet geckos. In the absence of other geckos, native house geckos preferred rough, peeling bark and dead trees, yet in the presence of velvet geckos, native house geckos shifted away from dead trees, and used more structurally complex trees, probably due to high niche overlap with velvet geckos. Native house geckos were more resistant to the negative effects of livestock grazing than either velvet or spiny-tailed geckos. In the absence of other species, native house geckos used a wider range of microhabitats. Synthesis and applications. Species assemblages are often the results of multiple or complex factors, including predation pressure, habitat availability or competitive interactions. The homogenizing effects on habitat structure caused by livestock grazing reduce diversity and suitability for microhabitat specialists. Reduced competition can therefore promote the abundance of microhabitat generalist species, such as Australian native house geckos, suggesting that livestock grazing leads to homogenization and simplification of habitat structure, which ultimately leads to changes in species composition through reduced competition. Understanding species' responses to disturbance, and more broadly, habitat complexity, is crucial for maintaining or increasing biological diversity in anthropogenically modified landscapes.	Nordberg, Eric J.; James Cook Univ, Coll Sci and Engn, Townsville, Qld, Australia		; Schwarzkopf, Lin/C-1242-2012	Nordberg, Eric/0000-0002-1333-622X; Schwarzkopf, Lin/0000-0002-1009-670X			Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation	0021-8901	1365-2664	10.1111/1365-2664.13299		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 50528, Botany: general and systematic - Floristics and distribution	Plantae; Plants, Spermatophytes, Vascular Plants; Spermatophyta [25000]; [tree]					Queensland; Australia; Australasian region				species composition; species habitat; species abundance; structural complexity; anthropogenic disturbance; species biodiversity				2019-04-10	
J	BIOSIS:PREV201900231357	PREV201900231357		Article		Biodiversity response to forest structure and management: Comparing species richness, conservation relevant species and functional diversity as metrics in forest conservation		Lelli, Chiara (chiara.lelli7@unibo.it) ; Bruun, Hans Henrik; Chiarucci, Alessandro; Donati, Davide; Frascaroli, Fabrizio; Fritz, Orjan; Goldberg, Irina; Nascimbene, Juni; Tottrup, Anders P.; Rahbek, Carsten; Heilmann-Clausen, Jacob									Forest Ecology and Management		2019	JAN 15 2019	432		707-717	707	717	English						20	20	Aim: We investigated the consistency between richness and trait-based diversity metrics in capturing the effects of management-related habitat factors on biodiversity. The choice of biodiversity metrics can substantially affect the evaluation of conservation tools. However, the relative sensitivity of different metrics is not well investigated, especially in a multi-taxon framework.Location: European beech forests in Denmark.Methods: We studied 20 beech stands comprising four management types (from intensively managed to long unmanaged stands). We analyzed how management-related environmental variables were reflected in the measure of: (i) species richness, (ii) number of conservation-relevant species (red-listed species and old-growth forest indicators) and (iii) functional diversity targeting five organism groups with different habitat requirements, i.e. vascular plants, epiphytic lichens and bryophytes, saproxylic fungi and breeding birds.Results: Plain species richness at stand level was generally misleading, as it did not capture changes in the number of conservation relevant species with changes in management-related environmental variables. The interpretation of functional responses was most informative for the better known vascular plants, while responses were more fragmented for the other organism groups. Overall, however, functional responses were consistent with a loss of specialization and progressive simplification of species assemblages from long-unmanaged to intensively managed stands.Conclusions: Our findings suggest that the occurrence of conservation-relevant species is a sound and relevant metric for planning and evaluating conservation actions, especially for less studied organism groups (e.g., saproxylic fungi and epiphytes). The functional approach is promising, but presupposes the availability of databases of relevant traits.	Lelli, Chiara; Alma Mater Studiorum Univ Bologna, Dept Biol Geol and Environm Sci, Via Imerio 42, I-40126 Bologna, Italy		Bruun, Hans Henrik/C-4476-2008; Lelli, Chiara/B-4036-2019; Chiarucci, Alessandro/D-2622-2009	Bruun, Hans Henrik/0000-0003-0674-2577; Lelli, Chiara/0000-0002-0497-828X; Chiarucci, Alessandro/0000-0003-1160-235X			Environmental Sciences & Ecology; Mathematical & Computational Biology; Biodiversity & Conservation; Forestry	0378-1127	1872-7042	10.1016/j.foreco.2018.09.057		Terrestrial Ecology (Ecology, Environmental Sciences); Models and Simulations (Computational Biology); Conservation; Forestry	00512, General biology - Conservation and resource management; 04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 10515, Biophysics - Biocybernetics; 53500, Forestry and forest products	Plantae; Plants, Spermatophytes, Vascular Plants; Spermatophyta [25000]; [tree]					Sierra Nevada Mountains; USA, North America; Nearctic region/Northern Rocky Mountains; USA, North America; Nearctic region		statistical modeling; mathematical and computer techniques		forest fire; extreme value theory; burning risk; fire management decision				2019-04-10	
J	BIOSIS:PREV201900231365	PREV201900231365		Article		Characterising the richness and diversity of forest bird species using National Forest Inventory data in Germany		Reise, Judith (judith.reise@hnee.de) ; Kukulka, Florian; Flade, Martin; Winter, Susanne									Forest Ecology and Management		2019	JAN 15 2019	432		799-811	799	811	English						10	10	Data collected by forest inventories like the third National Forest Inventory (NFI-3, 2011-2012) in Germany was proposed to monitor forest biodiversity and evaluate existing forest management practices on a national scale. A data set was created from the NFI-3 data for analysis purposes which contained variables relevant to the habitat requirements of native forest bird species. Information on the distribution and abundance of 20 native forest bird species was taken from the Atlas of German Breeding Birds (2005-2009, 3003 grid cells). They form two important ecological groups: cavity-nesting and deciduous forest birds. For the first time, this data was combined with NFI-3 data and analysed using Random Forest models and partial dependence plots to determine which forest variables recorded by the NFI-3 were most closely related to forest bird species richness and diversity in temperate forests.It was shown that changes in forest bird species diversity and richness correlate with the NFI data but the different sampling methods of the NFI and bird species data also created methodological challenges which are discussed. The most important drivers of the richness and diversity of deciduous forest and cavity-nesting bird species are forest stand age and forest ownership. Deciduous forest and cavity-nesting birds show a preference for the way state, federal and municipal forests are managed over private forests. Private forests have significantly lower deadwood volumes and high proportions of coniferous trees, both of which are forest characteristics that lower the richness and diversity of bird species. Our findings show that efforts to protect forest birds should target managed forests older than 100 and 200 years and forests with total deadwood volumes > 46.3 m(3)ha. Protected areas also exhibited higher diversity and richness of forest birds which highlight their importance as suitable target areas for the protection of forest birds.	Reise, Judith; Eberswalde Univ Sustainable Dev Appl Ecol and Zool, Fac Forest and Environm, Alfred Moller Str 1, D-16225 Eberswalde, Germany						Forestry; Agriculture; Chemistry	0378-1127	1872-7042	10.1016/j.foreco.2018.10.012		Forestry; Agrichemicals	10060, Biochemistry studies - General; 52502, Agronomy - Miscellaneous and mixed crops; 53500, Forestry and forest products			nitrogen; 7727-37-9/carbon dioxide; 124-38-9/nitrous oxide; 10024-97-2/methane; 74-82-8					fertilization treatment; applied and field techniques		peatland forest; greenhouse gas exchange				2019-04-10	
J	BIOSIS:PREV201900231388	PREV201900231388		Article	Literature Review	Post-fire management affects species composition but not Douglas-fir regeneration in the Klamath Mountains		Lopez Ortiz, Maria J.; Marcey, Terry (tmarcey88@gmail.com) ; Lucash, Melissa S.; Hibbs, David; Shatford, Jeffrey P. A.; Thompson, Jonathan R.									Forest Ecology and Management		2019	JAN 15 2019	432		1030-1040	1030	1040	English						13	13	Ensuring adequate conifer regeneration after high severity wildfires is a common objective for ecologists and forest managers. In the Klamath region of Oregon and California, a global hotspot of botanical biodiversity, concerns over regeneration have led to post-fire management on many sites, which involves salvage logging followed by site preparation, conifer planting, and manual shrub release. To quantify the impacts of post-fire management, we sampled 62 field sites that burned at high severity nearly 20 years ago in the Klamath-Siskiyou Mountain bioregion, stratifying by management and aspect. We measured cover of shrubs and trees and density and frequency of trees and used Nonmetric Multidimensional Scaling to compare community composition, plant community assemblage based on regenerative traits, and density of tree species between aspect and management. On average, shrub cover exceeded the cover of conifers, hardwoods or grasses, regardless of management history or aspect. The average number of species was lower and resprouting species were less abundant on south aspect sites; seed banking species were most abundant on north aspects. Post-fire management was associated with greater cover of seed banking and nitrogen-fixing species but it did not affect diversity. Management had no impact on Douglas-fir regeneration, the main species of concern in the region. Regeneration of ponderosa pine was higher on sites with post-fire management, but only on south slopes. The frequency of Douglas-fir was associated with aspect, while the frequency of ponderosa pine was associated with management. Overall, our study demonstrates the important role that aspect plays in determining the effectiveness of management after high severity wildfires. Indeed, the effect of aspect on site conditions often overwhelmed the ability of management to influence community composition (including different regenerative strategies), species diversity, and regeneration. Managed sites differed from unmanaged sites in several diverse ways with varied implications for longer-term forest development. Managed sites had taller dominant conifers, which suggests that post-fire management could hasten the period needed to achieve fire resistance. Managed sites were similar in plant community composition but had more homogeneous structure-e.g., managed sites had fewer snags, which are an important habitat feature for several bird species in the region. Finally, management was not associated with conifer regeneration success on north slopes, suggesting that interventions may not be needed uniformly across post-fire landscape. New policies of ecosystem-based management in the Klamath region should consider the important interactions between aspect and post-fire management, and tailor management practices based on specific objectives and landscape context.	Marcey, Terry; Portland State Univ, Dept Environm Sci and Management, Portland, OR 97201 USA						Agriculture; Environmental Sciences & Ecology	0378-1127	1872-7042	10.1016/j.foreco.2018.10.030		Soil Science; Terrestrial Ecology (Ecology, Environmental Sciences)	07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 31000, Physiology and biochemistry of bacteria; 40000, Soil microbiology; 52801, Soil science - General and methods	Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [bacteria]/Plantae; Fungi, Microorganisms, Nonvascular Plants, Plants; Fungi [15000]; [fungi]								root	ecosystem management; soil respiration; wildland fire; soil heating response				2019-04-10	
J	BIOSIS:PREV201900292534	PREV201900292534		Article		An evaluation of five agricultural habitat types for openland birds: abandoned farmland can have comparative values to undisturbed wetland		Kitazawa, Munehiro (goldcrestxmunebirds@gmail.com) ; Yamaura, Yuichi; Senzaki, Masayuki; Kawamura, Kazuhiro; Hanioka, Masashi; Nakamura, Futoshi									Ornithological Science		2019	JAN 2019	18	1	3-16	3	16	English						7	7	Populations of birds inhabiting wetlands and grasslands are decreasing globally due to farmland expansion and subsequent agricultural intensification. In addition to conserving natural habitats, managing cultivated farmland and abandoned farmland are likely to be important future conservation measures; however, their relative suitability as avian habitat remains understudied. In this study, we evaluated five habitat types (wetland, pasture, cropland, abandoned farmland, and solar power plant) for openland birds in an agricultural landscape in central Hokkaido. northern Japan. Abandoned farmlands had bird species richness and total bird abundance values similar to those of wetlands. These values were generally higher in abandoned farmlands and wetlands than in croplands, pastures, and solar power plants. The per pair reproductive success of Stejneger's Stonechat Saxicola stejnegeri and the amount of its prey (arthropods) did not differ among the five habitat types. Tine species (Black-browed Reed Warbler Acrocephalus bistrigiceps, Common Reed Bunting Emberiza schoeniclus, and Japanese Bush Warbler Cettia diphone) arrived earlier in wetlands than in other habitat types. These results suggest that, although protecting the remaining wetlands is of prime importance for the conservation of openland birds in agricultural landscapes, valuing and managing abandoned farmlands would be a promising alternative.	Kitazawa, Munehiro; Hokkaido Univ, Grad Sch Agr, Kita Ku, Nishi 9,Kita 9, Sapporo, Hokkaido 0608589, Japan		Yamaura, Yuichi/A-3638-2012	Yamaura, Yuichi/0000-0001-9355-4413			Environmental Sciences & Ecology; Biodiversity & Conservation	1347-0558		10.2326/osj.18.3		Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 16504, Reproductive system - Physiology and biochemistry; 51512, Plant physiology - Reproduction; 64052, Invertebrata: comparative, experimental morphology, physiology and pathology - Arthropoda: general	Invertebrata, Animalia; Animals, Arthropods, Invertebrates; Arthropoda [75000]; [arthropod]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Betulaceae [25645]; [Alnus japonica; Japanese alder]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Compositae [25840]; [Petasites japonicus; Japanese butterbur]/Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Phragmites australis; common reed] [Miscanthus sinensis; Japanese silver grass]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Emberiza schoeniclus; reed bunting; (protected species)] [Cettia diphone; Japanese bush-warbler; (protected species)]					Hokkaido; Japan, Asia; Palearctic region			reproductive system; reproductive system	species richness; species abundance; agricultural habitat; abandoned farmland; pasture area; cropland area; undisturbed wetland; solar power plant area				2019-04-10	
J	BIOSIS:PREV201900263395	PREV201900263395		Article		Are avian population targets achievable through programs that restore habitat on private-lands?		Reiley, Bryan M. (bryan.reiley@gmail.com) ; Stodola, Kirk W.; Benson, Thomas J.									Ecosphere		2019	JAN 2019	10	1	Article No.: e02574	e02574		English						1	1	Agricultural intensification has negatively affected biodiversity throughout the world. In the United States, population declines of many early successional bird species have been linked with habitat loss due to agriculture. In light of this, recent efforts have attempted to prioritize conservation actions at continental scales. Importantly, these efforts have used existing data to estimate the global population size for declining species and set future population goals. Though these efforts consider broad scales for conservation efforts and provide population targets, they lack explicit plans to achieve established goals. One way to achieve these population goals is through the process of habitat restoration, such as voluntary private-land conservation programs that restore habitat in agricultural landscapes and are implemented at a sufficiently large scale to achieve population goals. Our goal was to understand how private-land conservation programs can be used to achieve population goals for declining species. To do this, we examined the population-level impacts of the Conservation Reserve Enhancement Program, a program that has created more than 57,000 ha of restored habitat in Illinois, for four declining conservation priority species, the Bell's Vireo (Vireo bellii bellii), Field Sparrow (Spizella pusilla), Northern Bobwhite (Colinus virginianus), and Willow Flycatcher (Empidonax trailli trailli). We surveyed 172 randomly chosen restored fields in 10 counties in central and west-central Illinois during the 2012-2015 breeding seasons. We found that current private-land conservation efforts in Illinois are probably effective in achieving state population goals for rare species with restricted habitat preferences such as the Bell's Vireo and may be close to achieving the goal for the Willow Flycatcher. However, more than 10 times the current amount of restored habitat (similar to 1% of land used for agriculture in Illinois) would be required to achieve the population goals set for all of our focal species. Our results suggest that achieving population goals for early successional bird species using land restored through private-land programs may be possible for some rare species, but the large amount of habitat needed for many species makes achieving these goals only possible with significant increases in private-land habitat.	Reiley, Bryan M.; Univ Illinois, Dept Nat Resources and Environm Sci, 1102 S Goodwin Ave, Urbana, IL 61802 USA						Environmental Sciences & Ecology; Biodiversity & Conservation	2150-8925	2150-8925	10.1002/ecs2.2574		Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Galliformes [85536]; [Colinus virginianus; northern bobwhite; (protected species)]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Spizella pusilla; field sparrow; (protected species)]					Illinois; USA, North America; Nearctic region				breeding season; population decline; habitat preference; agricultural intensification; habitat restoration; Conservation Reserve Enhancement Program; population target; private-land; private-land habitat	DOAJ Gold			2019-04-10	
J	BIOSIS:PREV201900046621	PREV201900046621		Article		Red-backed fairywrens adjust habitat use in response to dry season fires		Sommer, Nathalie R.; Moody, Nicole M.; Lantz, Samantha M.; Leu, Matthias; Karubian, Jordan; Swaddle, John P. (jpswad@wm.edu)									Austral Ecology		2018	DEC 2018	43	8	876-889	876	889	English						9	9	Fire disturbance in tropical savannas is integral to maintaining habitat heterogeneity and biodiversity, but its impact on avian species is highly variable. Savannas in northern Australia have recently been invaded by gamba grass (Andropogon gayanus), a perennial tussock grass that fuels late season fires at eight times the intensity of native vegetation. As gamba grass rapidly outcompetes native species and promotes more frequent and intense fires, it greatly decreases landscape heterogeneity and alters the effect of fire in tropical savannas. To investigate how a small passerine, the red-backed fairywren (Malurus melanocephalus), responds to fire disturbance and gamba grass cover, we studied their fine-scale habitat use throughout the dry season before and after a high intensity fire. We used two spatially distinct approaches, radio-telemetry and a transect-based population census, to quantify fairywren habitat use at the group and population level, respectively. Radio-telemetry and transect surveys revealed no direct mortality associated with the severe bushfire during the middle of the study season, suggesting fairywrens are resilient in the short-term to fire disturbance. Our results indicate that fairywrens are largely flexible in their habitat use - instead of relocating after fire, they re-centre their home range around the most photosynthetically productive habitats, dominated by saplings. While we found substantial variation in habitat use among social groups, red-backed fairywren groups generally avoided dense habitat areas dominated by mature gamba grass. We conclude that red-backed fairywrens are resilient to fire and flexible in their habitat use in the short-term; however, in the long-term, gamba grass may pose a threat to population viability. The importance of flexible behavioural strategies in tropical passerines will increase as fire regimes are exacerbated by invasive species and climate change.	Swaddle, John P.; Coll William and Mary, Inst Integrat Bird Behav Studies, Landrum Dr, Williamsburg, VA 23187 USA			Sommer, Nathalie/0000-0002-1032-9980			Meteorology & Atmospheric Sciences; Environmental Sciences & Ecology	1442-9985	1442-9993	10.1111/aec.12629		Climatology (Environmental Sciences); Terrestrial Ecology (Ecology, Environmental Sciences)	07502, Ecology: environmental biology - General and methods; 07504, Ecology: environmental biology - Bioclimatology and biometeorology; 07506, Ecology: environmental biology - Plant	Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Andropogon gayanus; (alien species)]					Australia; Australasian region		radio-telemetry; applied and field techniques		species habitat; climate change; season fire				2019-04-10	
J	BIOSIS:PREV201900064028	PREV201900064028		Article		Combining habitat suitability models and spatial graphs for more effective landscape conservation planning: An applied methodological framework and a species case study		Duflot, Remi (duflot.remi@gmail.com) ; Avon, Catherine; Roche, Philip; Berges, Laurent									Journal for Nature Conservation (Jena)		2018	DEC 2018	46		38-47	38	47	English						22	22	In response to the negative effects of habitat fragmentation on biodiversity, habitat network conservation and restoration has become a central objective in conservation planning. Evaluating landscape functional connectivity and mapping habitat networks are key steps for implementing effective actions, but both remain challenging. Habitat suitability models (HSM) and spatial graphs provide conservation managers with useful information for landscape planning. To tackle their respective drawbacks, we proposed to combine HSM and spatial graphs in a four-step methodological framework: (i) collect and prepare input data; (ii) model habitat suitability using MaxEnt to map the species' habitat suitability index (HSI); (iii) transform the HSI map into spatial graph inputs using GIS; and, (iv) perform spatial graph connectivity analysis using Graphab. The outputs of this species-specific and quantitative approach were maps of the species' habitat network. Habitat patches and dispersal linkages were ranked according to their importance for overall habitat availability and landscape connectivity. This prioritization identified locations where conservation biologists and landscape planners should focus conservation and restoration efforts. This framework is illustrated here with a case study on the woodlark (Lullula arborea) - a bird species - in a French Mediterranean area, and the method's limitations and alternatives are discussed. The quantitative-based graphical outputs of the framework can valuably support decision-making for landscape planning, complement local expert opinion, and encourage appropriate stake-holders to cooperate at regional scale.	Duflot, Remi; IRSTEA, UR RECOVER, 3275 Route Cezanne, F-13182 Aix En Provence, France						Environmental Sciences & Ecology; Mathematical & Computational Biology; Biodiversity & Conservation	1617-1381	1618-1093	10.1016/j.jnc.2018.08.005		Terrestrial Ecology (Ecology, Environmental Sciences); Models and Simulations (Computational Biology); Conservation	00512, General biology - Conservation and resource management; 04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 10515, Biophysics - Biocybernetics	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lullula arborea; woodlark]							habitat suitability index; HSI; applied and field techniques/spatial graph; mathematical and computer techniques/habitat suitability model; HSM; mathematical and computer techniques		species habitat; species diversity; negative effect; landscape conservation planning				2019-04-10	
J	BIOSIS:PREV201900151015	PREV201900151015		Article		Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings		Steinert, Mari (mari.steinert@nmbu.no) ; Moe, Stein R.; Sydenham, Markus A. K.; Eldegard, Katrine									Ecosphere		2018	NOV 2018	9	11	Article No.: e02509	e02509		English						1	1	To mitigate biodiversity loss, it is essential to understand how areas altered by human land use can act as alternative habitats for functional groups of species, which are in decline. In forested landscapes, power-line clearings can be valuable habitats for early successional plant species, which in turn provide important food resources for pollinating insects. However, we know little about how management practices affect plant diversity, or how changes in species diversity translate into the functional diversity of floral resources. We conducted an experiment at 19 sites in power-line clearings across southeast Norway where the woody vegetation was (1) cut and left to decay, (2) cut and removed, or (3) uncut. We assessed the effects of treatments on species diversity (richness, evenness, diversity) and functional diversity (functional evenness, functional dispersion) of understory plant communities of insect-pollinated plants. We also investigated the influence of environmental conditions within the power-line clearings, the surrounding landscape, and climatic factors on species and functional diversity. We found that the cut and cut-remove treatments were effective in increasing biological diversity of insect-pollinated plants. The species and functional diversity showed contrasting responses to treatments, and the treatment effects depended on the environmental context. This shows that ecosystem functioning is not necessarily predictable from the ecological processes that drive species composition. The treatment effects on species diversity were partly explained by the stress-gradient hypothesis; species richness was higher in the cleared plots in areas of low environmental stress from precipitation and elevation. In contrast, the treatment effects on functional diversity were positively influenced by productivity, stem density, temperature, available source habitats, elevation, and canopy density. Functional diversity, based on effect traits, should be emphasized when the aim is to maintain a broad range of pollination functions and services in power-line clearings. This study shows that inclusion of power-line clearings in conservation plans can mitigate biodiversity decline in forested landscapes. We recommend the cut-remove treatment in productive areas with available source habitats and high stem density. In low productive areas, with high stem density and high temperatures, the standard cut treatment is sufficient, but a higher cutting frequency is recommended.	Steinert, Mari; Norwegian Univ Life Sci, Fac Environm Sci and Nat Resource Management, N-1432 As, Norway						Environmental Sciences & Ecology; Biodiversity & Conservation	2150-8925	2150-8925	10.1002/ecs2.2509		Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	07502, Ecology: environmental biology - General and methods								conservation planning; applied and field techniques	stem	species composition; species richness; species diversity; biodiversity loss; different cutting regime; power-line clearing	DOAJ Gold			2019-04-10	
J	BIOSIS:PREV201900073728	PREV201900073728		Article		Predation pressure by birds and arthropods on herbivorous insects affected by tropical forest restoration strategy		Roels, Steven M. (roelsste@msu.edu) ; Porter, Jade L.; Lindell, Catherine A.									Restoration Ecology		2018	NOV 2018	26	6	1203-1211	1203	1211	English						14	14	Recovery of animal-dependent ecosystem functions is a key component of ecological restoration on degraded tropical forest lands. One of these functions, regulation of herbivorous insects by predators, shapes tropical communities through cascading trophic effects. An improved understanding of how predation pressure on herbivorous insects varies with reforestation strategy, management decisions, and landscape context would guide restoration practice. We measured predation pressure by birds and arthropods on dummy caterpillars in five forest types in Panama. These land covers represent natural and managed forest conditions: non-native monoculture plantation, native multispecies plantation, young natural forest succession, secondary gallery forest, and old-growth forest. We also placed dummy caterpillars in residential countryside, a heavily disturbed nonforest land cover. In three land covers, we surveyed bird communities to examine the relationship between predator abundance and predation pressure. Predation pressure from birds was lowest in the intensively managed plantations and highest in land covers with structurally complex vegetation: successional forest, gallery forest, and residential countryside. In the non-native plantation, bird predation increased with proximity to gallery forest. We found strong correspondence between bird abundance and bird attacks on dummy caterpillars. Arthropod predation pressure was highest in the native plantation but, unlike bird predation pressure, did not vary strongly by land cover. Our results suggest that ecosystem functions by insectivorous birds can be enhanced on reforestation lands by incorporating unmanaged areas and tolerating nonplanted understory vegetation. We recommend that, regardless of management objectives, forest managers adopt a holistic approach to reforestation to facilitate recovery of animal-dependent ecosystem functions.	Roels, Steven M.; Michigan State Univ, Dept Integrat Biol, 288 Farm Lane, E Lansing, MI 44824 USA						Biodiversity & Conservation; Environmental Sciences & Ecology	1061-2971	1526-100X	10.1111/rec.12693		Conservation; Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]					Panama; Central America; Neotropical region		holistic approach; applied and field techniques		species diversity; predation pressure; ecological restoration; monoculture plantation				2019-04-10	
