PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	30847078	Journal Article	Fire legacies in eastern ponderosa pine forests.		Roberts, Caleb P; Donovan, Victoria M; Wonkka, Carissa L; Powell, Larkin A; Allen, Craig R; Angeler, David G; Wedin, David A; Twidwell, Dirac		Ecology and evolution	9	4	1869-1879	2019	2019 Feb	English	1	1	Disturbance legacies structure communities and ecological memory, but due to increasing changes in disturbance regimes, it is becoming more difficult to characterize disturbance legacies or determine how long they persist. We sought to quantify the characteristics and persistence of material legacies (e.g., biotic residuals of disturbance) that arise from variation in fire severity in an eastern ponderosa pine forest in North America. We compared forest stand structure and understory woody plant and bird community composition and species richness across unburned, low-, moderate-, and high-severity burn patches in a 27-year-old mixed-severity wildfire that had received minimal post-fire management. We identified distinct tree densities (high: 14.3±7.4 trees per ha, moderate: 22.3±12.6, low: 135.3±57.1, unburned: 907.9±246.2) and coarse woody debris cover (high: 8.5±1.6% cover per 30m transect, moderate: 4.3±0.7, low: 2.3±0.6, unburned: 1.0±0.4) among burn severities. Understory woody plant communities differed between high-severity patches, moderate- and low-severity patches, and unburned patches (all p<0.05). Bird communities differed between high- and moderate-severity patches, low-severity patches, and unburned patches (all p<0.05). Bird species richness varied across burn severities: low-severity patches had the highest (5.29±1.44) and high-severity patches had the lowest (2.87±0.72). Understory woody plant richness was highest in unburned (5.93±1.10) and high-severity (5.07±1.17) patches, and it was lower in moderate- (3.43±1.17) and low-severity (3.43±1.06) patches. We show material fire legacies persisted decades after the mixed-severity wildfire in eastern ponderosa forest, fostering distinct structures, communities, and species in burned versus unburned patches and across fire severities. At a patch scale, eastern and western ponderosa system responses to mixed-severity fires were consistent.		Department of Agronomy & Horticulture University of Nebraska Lincoln Nebraska.; School of Natural Resources Nebraska Cooperative Fish and Wildlife Research Unit Lincoln Nebraska.; School of Natural Resources University of Nebraska Lincoln Nebraska.; U.S. Geological Survey, Nebraska Cooperative Fish & Wildlife Research Unit, School of Natural Resources University of Nebraska Lincoln Nebraska.; Department of Aquatic Sciences and Assessment Swedish University of Agriculture Sciences Uppsala Sweden.					birds; burn severity; disturbance legacies; ecological memory; fire legacies; material legacies; ponderosa pine; stand structure	 / 10.5061/dryad.3sp331p						2045-7758	101566408	England			PubMed-not-MEDLINE			 / 10 Mar 2019		16 Jan 2019		10.1002/ece3.4879	MEDLINE:30847078	DOAJ Gold			2019-04-10
J	30393928	Journal Article; Research Support, Non-U.S. Gov't	Protected areas act as a buffer against detrimental effects of climate change-Evidence from large-scale, long-term abundance data.		Lehikoinen, Petteri; Santangeli, Andrea; Jaatinen, Kim; Rajasarkka, Ari; Lehikoinen, Aleksi		Global change biology	25	1	304-313	2019	2019 01 (Epub 2018 Nov 04)	English	31	31	© 2018 John Wiley & Sons Ltd.Climate change is driving species to shift their distributions toward high altitudes and latitudes, while habitat loss and fragmentation may hamper species ability to follow their climatic envelope. These two drivers of change may act in synergy, with particularly disastrous impacts on biodiversity. Protected areas, PAs, may thus represent crucial buffers against the compounded effects of climate change and habitat loss. However, large-scale studies assessing the performance of PAs as such buffers remain scarce and are largely based on species occurrence data. Conversely, abundance data have proven to be more reliable for addressing changes in wildlife populations under climate change. We evaluated changes in bird abundance from the 1970s-80s to the 2000s inside and outside PAs at the trailing range edge of 30 northern bird species and at the leading range edge of 70 southern species. Abundances of retracting northern species were higher and declined less inside PAs at their trailing range edge. The positive effect of PAs on bird abundances was particularly marked in northern species that rely strongly on PAs, that is, their density distribution is largely confined within PAs. These species were nearly absent outside PAs in the 2000s. The abundances of southern species were in general lower inside PAs and increased less from the 70s-80s to 2000s. Nonetheless, species with high reliance on PAs had much higher abundances inside than outside PAs in the 2000s. These results show that PAs are essential in mitigating the retraction of northern species, but also facilitate northward expansions of southern species highly reliant on PAs. Our study provides empirical evidence documenting the role of PAs in facilitating species to adjust to rapidly changing climatic conditions, thereby contributing to the mitigation of impending biodiversity loss. PAs may thus allow time for initiating wider conservation programs on currently unprotected land.		The Helsinki Lab of Ornithology, Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland.; Department of Biology, University of Lund, Lund, Sweden.; Nature and Game Management Trust Finland, Degerby, Finland.; Metsahallitus, National Parks Finland, Oulu, Finland.		Lehikoinen, Petteri/0000-0002-2272-024X; Lehikoinen, Aleksi/0000-0002-1989-277X	*Animal Distribution. Animals. *Biodiversity. Birds / *physiology. *Climate Change. *Conservation of Natural Resources. Ecosystem. Finland	Index Medicus	conservation biology; distribution area; global warming; habitat management; land use changes; monitoring						Biodiversity & Conservation; Zoology; Meteorology & Atmospheric Sciences; Environmental Sciences & Ecology (provided by Clarivate Analytics)	1365-2486	9888746	England			MEDLINE			 / 25 Feb 2019 / 25 Feb 2019		04 Nov 2018		10.1111/gcb.14461	MEDLINE:30393928				2019-04-10
J	29929265	Journal Article	Detecting the response of bird communities and biodiversity to habitat loss and fragmentation due to urbanization.		Xu, Xi; Xie, Yujing; Qi, Ke; Luo, Zukui; Wang, Xiangrong		The Science of the total environment	624		1561-1576	2018	2018 May 15 (Epub 2017 Dec 28)	English	23	134	Copyright © 2017 Elsevier B.V. All rights reserved.Birds are considered a good model for indicators of biodiversity response to habitat variations, as they are very sensitive to environmental change. However, continuous observations of habitat alterations from undisturbed landscapes to human-dominated ones, as well as the associated effects on bird biodiversity, are lacking. In this study, New Jiangwan Town in Shanghai, China was selected to illustrate the response of bird species, and thus biodiversity, to habitat loss and fragmentation. Land use/land cover (LULC) data and bird records from 2002 to 2013 were collected and analyzed. The results suggested that, due to urban sprawl, the area of wetland and shrub land had dropped by 82.4% and 87.3% by the end of 2013. Four different urbanization stages were identified in terms of the spatio-temporal variations in the landscape. To measure bird biodiversity, species richness and relative abundance were calculated, and they could account for the overall trend in biodiversity but might mask the process of species replacement. As an indicator of biodiversity accounting, the mean species abundance (MSA) of the original species would not include exotic or invasive species in its calculation, and its value decreased from 100% to 76.8% to 52.2% to 24.5% in the four corresponding stages. Finally, suggested by redundant analysis, the effects of habitat loss and fragmentation on bird biodiversity differed in various bird communities, and the area and connectivity of wetlands were the most significant variables. Our findings could provide important information to inform bird biodiversity protection and habitat restoration.		Department of Environmental Sciences and Engineering, Fudan University, 220 Handan Road, Shanghai 200433, PR China; Institute of Green Investment, Detao Group, 2200 Wenxiang Road, Shanghai 201620, PR China. Electronic address: xuxi@detaoma.com.; Department of Environmental Sciences and Engineering, Fudan University, 220 Handan Road, Shanghai 200433, PR China. Electronic address: xieyj@fudan.edu.cn.; Department of Environmental Sciences and Engineering, Fudan University, 220 Handan Road, Shanghai 200433, PR China.; School of Environment and Life Sciences, Kaili University, Kaili, Guizhou, 556011, PR China.; Department of Environmental Sciences and Engineering, Fudan University, 220 Handan Road, Shanghai 200433, PR China. Electronic address: xrxrwang@fudan.edu.cn.			Animals. *Biodiversity. *Birds. China. Conservation of Natural Resources / *methods. *Ecosystem. Urbanization / *trends. Wetlands	Index Medicus	Biodiversity accounting; Bird diversity; Landscape change; Mean species abundance; Urbanization						Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology; Sociology; Urban Studies (provided by Clarivate Analytics)	1879-1026	0330500	Netherlands			MEDLINE			 / 10 Oct 2018 / 10 Oct 2018		28 Dec 2017		10.1016/j.scitotenv.2017.12.143	MEDLINE:29929265				2019-04-10
J	29336512	Journal Article	Using field data to quantify chemical impacts on wildlife population viability.		Hilbers, Jelle P; Hoondert, Renske P J; Schipper, Aafke M; Huijbregts, Mark A J		Ecological applications : a publication of the Ecological Society of America	28	3	771-785	2018	2018 Apr	English	6	14	© 2018 The Authors Ecological Applications published by Wiley Periodicals, Inc. on behalf of Ecological Society of America.Environmental pollution is an important driver of biodiversity loss. Yet, to date, the effects of chemical exposure on wildlife populations have been quantified for only a few species, mainly due to a lack of appropriate laboratory data to quantify chemical impacts on vital rates. In this study, we developed a method to quantify the effects of toxicant exposure on wildlife population persistence based on field monitoring data. We established field-based vital-rate-response functions for toxicants, using quantile regression to correct for the influences of confounding factors on the vital rates observed, and combined the response curves with population viability modelling. We then applied the method to quantify the impact of DDE on three bird species: the White-tailed Eagle, Bald Eagle, and Osprey. Population viability was expressed via five population extinction vulnerability metrics: population growth rate (r1 ), critical patch size (CPS), minimum viable population size (MVP), probability of population extirpation (PE), and median time to population extirpation (MTE). We found that past DDE exposure concentrations increased population extirpation vulnerabilities of all three bird species. For example, at DDE concentrations of 25mg/kg wet mass of egg (the maximum historic exposure concentration reported in literature for the Osprey), r1 became small (White-tailed Eagle and Osprey) or close to zero (Bald Eagle), the CPS increased up to almost the size of Connecticut (White-tailed Eagle and Osprey) or West Virginia (Bald Eagle), the MVP increased up to approximately 90 (White-tailed Eagle and Osprey) or 180 breeding pairs (Bald Eagle), the PE increased up to almost certain extirpation (Bald Eagle) or only slightly elevated levels (White-tailed Eagle and Osprey) and the MTE became within decades (Bald Eagle) or remained longer than a millennium (White-tailed Eagle and Osprey). Our study provides a method to derive species-specific field-based response curves of toxicant exposure, which can be used to assess population extinction vulnerabilities and obtain critical levels of toxicant exposure based on maximum permissible effect levels. This may help conservation managers to better design appropriate habitat restoration and population recovery measures, such as reducing toxicant levels, increasing the area of suitable habitat or reintroducing individuals.		Department of Environmental Science, Institute for Wetland and Water Research, Faculty of Science, Radboud University Nijmegen, P.O. Box9010, NL-6500 GL, Nijmegen, The Netherlands.	Huijbregts, Mark/B-8971-2011; Schipper, Aafke/C-2758-2011	Huijbregts, Mark/0000-0002-7037-680X; Hilbers, Jelle/0000-0002-9401-589X			DDE; Bald Eagle; Osprey; White-tailed Eagle; birds of prey; conservation biology; critical patch size; extinction risk; pollutants; population viability analysis; toxicants; wildlife							1051-0761	9889808	United States			In-Data-Review			 / 20 Apr 2018				10.1002/eap.1685	MEDLINE:29336512	Green Published, Other Gold			2019-04-10
J	30079238	Journal Article	Birds of primary and secondary forest and shrub habitats in the peat swamp of Berbak National Park, Sumatra.		Darras, Kevin; Rahman, Dedi; Sugito, Waluyo; Mulyani, Yeni; Prawiradilaga, Dewi; Rozali, Agus; Fitriawan, Irfan; Tscharntke, Teja		F1000Research	7		229	2018	2018 	English	0	0	Background: Tropical lowland rainforests are threatened by deforestation and degradation worldwide. Relatively little research has investigated the degradation of the forests of South-east Asia and its impact on biodiversity, and even less research has focused on the important peat swamp forests of Indonesia, which experienced major losses through severe fires in 2015. Methods: We acoustically sampled the avifauna of the Berbak National Park in 2013 in 12 sites split in three habitats: primary swamp forest, secondary swamp forest, and shrub swamp, respectively representing non-degraded, previously selectively logged, and burned habitats. We analysed the species richness, abundance, vocalisation activity, and community composition across acoustic counts, sites, feeding guilds and IUCN Red List categories. We also analysed community-weighted means of body mass, wing length, and distribution area. Results: The avifauna in the three habitats was remarkably similar in richness, abundance and vocalisation activity, and communities mainly differed due to a lower prevalence of understory insectivores (Old-World Babblers, Timaliidae) in shrub swamp. However primary forest retained twice as many conservation-worthy species as shrub swamp, which harboured heavier, probably more mobile species, with larger distributions than those of forest habitats. Conclusions: The National Park overall harboured higher bird abundances than nearby lowland rainforests. Protecting the remaining peat swamp forest in this little-known National Park should be a high conservation priority in the light of the current threats coming from wildlife trade, illegal logging, land use conversion, and man-made fires.		Department of Crop Sciences, Agroecology, University of Goettingen, Gottingen, 37077, Germany.; Zoological Society of London, Jambi, Sumatra, Indonesia.; Department of Forest Resources Conservation and Ecotourism, Faculty of Forestry, Bogor Agricultural University, Bogor, Indonesia.; Research Centre for Biology LIPI, Cibinong Science Centre, Bogor, Indonesia.; Research Staff of CRC 990, Faculty of Agriculture, University of Jambi, Jambi, Indonesia.; Conservation Staff, PT Henrison Inti Persada, Sorong, West Papua , Indonesia.	Darras, Kevin Felix Arno/B-9672-2014	Darras, Kevin Felix Arno/0000-0002-9013-3784			community ecology; forest disturbance; forest fires; primary forest; secondary forest; selective logging; shrub swamp; swamp forest							2046-1402	101594320	England			PubMed-not-MEDLINE			 / 06 Aug 2018		26 Feb 2018		10.12688/f1000research.13996.1	MEDLINE:30079238	DOAJ Gold			2019-04-10
J	29707429	Journal Article	Reconciling the conservation of the purple swamphen (Porphyrio porphyrio) and its damage in Mediterranean rice fields through sustainable non-lethal techniques.		Moreno-Opo, Ruben; Pique, Josep		PeerJ	6		e4518	2018	2018 	English	3	4	Resolving human-wildlife conflicts requires the assessment and implementation of appropriate technical measures that minimize negative impacts on socio-economic uses, including agriculture, and ensure the adequate protection of biological diversity. Rice paddies are widely distributed in the western Mediterranean region. Because of their high productivity, they can be a good habitat for waterbirds, including the purple swamphen Porphyrio porphyrio, particularly in areas where natural wetlands have been removed or reduced. As a result of its population growth, there have been increasing levels of damage caused by this species in rice fields due to stem-cutting and opening of bald patches in rice fields. With the aim of reducing damage, we evaluated the effectiveness of passive and active measures that would limit access to rice fields and deter/scare away purple swamphens in affected areas of the Ebro Delta (NE Spain). We selected the techniques according to the growth phase of rice and the activity of birds in the rice fields (perimeter fences and clearing vegetation around the rice plots during sprouting and growing phases, and falconry at maturation). There were positive results during the sprouting and growing phases thanks to fences and clearing vegetation, reducing the affected area by 37.8% between treatment and control plots. This would mean an economic savings of 18,550 /year in compensation payments by regional administrations including the investment in implementing and maintaining passive protection measures. Active deterrence through falconry did not reduce the level of damage. The analysis of purple swamphen home range, activity centers (centroids), and the proportion of locations in and outside of rice fields showed no differences before and after dissuasive practices. These results were influenced by multiple concurrent factors including weather, the structural configuration of the rice plots and their location. In summary, we recommend the establishment of protection measures (perimeter fences + clearing vegetation around the rice plots) to reduce the level of damage.		Deputy Directorate on Environment, Ministry of Agriculture, Fisheries, Food and Environment, Madrid, Spain.; Evolution and Conservation Biology Research Group, Universidad Complutense de Madrid, Madrid, Spain.; TRAGSATEC, Madrid, Spain.					Agri-environment schemes; Crop damage; Ebro Delta; Human-wildlife conflict; Rice paddy							2167-8359	101603425	United States			PubMed-not-MEDLINE			 / 02 May 2018		24 Apr 2018		10.7717/peerj.4518	MEDLINE:29707429	DOAJ Gold, Green Published			2019-04-10
J	29027343	Letter	Species reordering, not changes in richness, drives long-term dynamics in grassland communities.		Jones, Sydney K; Ripplinger, Julie; Collins, Scott L		Ecology letters	20	12	1556-1565	2017	2017 Dec (Epub 2017 Oct 12)	English	20	68	© 2017 John Wiley & Sons Ltd/CNRS.Determining how ecological communities will respond to global environmental change remains a challenging research problem. Recent meta-analyses concluded that most communities are undergoing compositional change despite no net change in local species richness. We explored how species richness and composition of co-occurring plant, grasshopper, breeding bird and small mammal communities in arid and mesic grasslands changed in response to increasing aridity and fire frequency. In the arid system, grassland and shrubland plant and breeding bird communities were undergoing directional change, whereas grasshopper and small mammal communities were stable. In the mesic system, all communities were undergoing directional change regardless of fire frequency. Despite directional change in composition in some communities, species richness of all communities did not change because compositional change resulted more from reordering of species abundances than turnover in species composition. Thus, species reordering, not changes in richness, explains long-term dynamics in these grass and shrub dominated communities.		Department of Biology, University of New Mexico, Albuquerque, NM, 87131, USA.; Department of Botany and Plant Sciences, University of California, Riverside, CA, 92521, USA.	Collins, Scott/P-7742-2014	Collins, Scott/0000-0002-0193-2892	Animals. *Ecosystem. Fires. *Grassland. Plant Breeding. Poaceae	Index Medicus	Community dynamics; desert grassland; desert shrubland; fire; species reordering; species richness; tallgrass prairie						Environmental Sciences & Ecology; Plant Sciences (provided by Clarivate Analytics)	1461-0248	101121949	England			MEDLINE			 / 06 Feb 2019 / 15 Feb 2019		12 Oct 2017		10.1111/ele.12864	MEDLINE:29027343	Bronze			2019-04-10
J	28701563	Journal Article	Experimental evidence of human recreational disturbance effects on bird-territory establishment.		Botsch, Yves; Tablado, Zulima; Jenni, Lukas		Proceedings. Biological sciences	284	1858		2017	2017 Jul 12	English	2	51	© 2017 The Author(s).The worldwide increase in human outdoor activities raises concerns for wildlife. Human disturbances, even at low levels, are likely to impact species during sensitive periods of the annual cycle. However, experimental studies during the putative sensitive period of territory establishment of birds which not only investigate low disturbance levels, but which also exclude the effect of habitat modification (e.g. walking trails) are lacking. Here, we experimentally disturbed birds in forest plots by walking through twice a day during territory establishment. Later we compared the breeding bird community of experimentally disturbed plots with that of undisturbed control plots. We discovered that the number of territories (-15.0%) and species richness (-15.2%) in disturbed plots were substantially reduced compared with control plots. Species most affected included those sensitive to human presence (assessed by flight-initiation distances), open-cup nesters and above-ground foragers. Long-distance migrants, however, were unaffected due to their arrival after experimental disturbance took place. These findings highlight how territory establishment is a sensitive period for birds, when even low levels of human recreation may be perceived as threatening, and alter settlement decisions. This can have important implications for the conservation of species, which might go unnoticed when focusing only on already established birds.		Swiss Ornithological Institute, Seerose 1, 6204 Sempach, Switzerland yves.boetsch@vogelwarte.ch.; Institute of Evolutionary Biology and Environmental Studies, University of Zurich, 8057 Zurich, Switzerland.; Swiss Ornithological Institute, Seerose 1, 6204 Sempach, Switzerland.		Botsch, Yves/0000-0001-9171-8752	Animals. *Birds. Breeding. Conservation of Natural Resources. *Ecosystem. *Human Activities. Humans. *Territoriality	Index Medicus	flight-initiation distance; foraging guild; forest birds; nature-based activities; nesting guild; outdoor recreation						Zoology; Genetics & Heredity; Environmental Sciences & Ecology; Behavioral Sciences (provided by Clarivate Analytics)	1471-2954	101245157	England			MEDLINE			 / 01 Feb 2018 / 30 Jan 2019				10.1098/rspb.2017.0846	MEDLINE:28701563				2019-04-10
J	28339135	Journal Article	Integrated models to support multiobjective ecological restoration decisions.		Fraser, Hannah; Rumpff, Libby; Yen, Jian D L; Robinson, Doug; Wintle, Brendan A		Conservation biology : the journal of the Society for Conservation Biology	31	6	1418-1427	2017	2017 12 (Epub 2017 Aug 30)	English	7	18	© 2017 Society for Conservation Biology.Many objectives motivate ecological restoration, including improving vegetation condition, increasing the range and abundance of threatened species, and improving species richness and diversity. Although models have been used to examine the outcomes of ecological restoration, few researchers have attempted to develop models to account for multiple, potentially competing objectives. We developed a combined state-and-transition, species-distribution model to predict the effects of restoration actions on vegetation condition and extent, bird diversity, and the distribution of several bird species in southeastern Australian woodlands. The actions reflected several management objectives. We then validated the models against an independent data set and investigated how the best management decision might change when objectives were valued differently. We also used model results to identify effective restoration options for vegetation and bird species under a constrained budget. In the examples we evaluated, no one action (improving vegetation condition and extent, increasing bird diversity, or increasing the probability of occurrence for threatened species) provided the best outcome across all objectives. In agricultural lands, the optimal management actions for promoting the occurrence of the Brown Treecreeper (Climacteris picumnus), an iconic threatened species, resulted in little improvement in the extent of the vegetation and a high probability of decreased vegetation condition. This result highlights that the best management action in any situation depends on how much the different objectives are valued. In our example scenario, no management or weed control were most likely to be the best management options to satisfy multiple restoration objectives. Our approach to exploring trade-offs in management outcomes through integrated modeling and structured decision-support approaches has wide application for situations in which trade-offs exist between competing conservation objectives.		School of BioSciences, The University of Melbourne, Parkville, Victoria, 3010, Australia.; Trust for Nature, 5/379 Collins Street, Melbourne Victoria, 3000, Australia.		Yen, Jian/0000-0001-7964-923X; Rumpff, Libby/0000-0001-9400-8086	*Animal Distribution. Animals. *Biodiversity. Conservation of Natural Resources. Environmental Restoration and Remediation / *methods. *Forests. Models, Biological. Songbirds / *physiology. Species Specificity. Victoria	Index Medicus	Bayesian network; analisis multicriterio de decision; compensaciones; modelo de distribucion de especies; modelo de estado y transicion; multicriteria decision analysis; red Bayesiana; species distribution models; state-and-transition model; trade-offs						Biodiversity & Conservation; Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics; Zoology; Immunology (provided by Clarivate Analytics)	1523-1739	9882301	United States			MEDLINE			 / 21 Mar 2018 / 21 Mar 2018		30 Aug 2017		10.1111/cobi.12939	MEDLINE:28339135				2019-04-10
J	28861235	Journal Article	Switching from monoculture to polyculture farming benefits birds in oil palm production landscapes: Evidence from mist netting data.		Yahya, Muhammad S; Syafiq, Muhamad; Ashton-Butt, Adham; Ghazali, Amal; Asmah, Siti; Azhar, Badrul		Ecology and evolution	7	16	6314-6325	2017	2017 08	English	10	42	Monoculture farming is pervasive in industrial oil palm agriculture, including those RSPO plantations certified as sustainably managed. This farming practice does not promote the maintenance of farmland biodiversity. However, little scientific attention has been given to polyculture farming in oil palm production landscapes. Polyculture farming is likely to increase the floristic diversity and stand structural complexity that underpins biodiversity. Mist nets were used to sample birds at 120 smallholdings in Peninsular Malaysia. At each site, 12 vegetation structure characteristics were measured. We compared bird species richness, abundance, and composition between monoculture and polyculture smallholdings and used predictive models to examine the effects of habitat quality on avian biodiversity. Bird species richness was significantly greater in polyculture than that of monoculture smallholdings. The number of fallen and standing, dead oil palms were also important positive predictors of species richness. Bird abundance was also strongly increased by standing and dead oil palms and decreased with oil palm stand height. Our results indicate that polyculture farming can improve bird species richness in oil palm production landscapes. In addition, key habitat variables that are closely associated with farming practices, such as the removal of dead trees, should and can be managed by oil palm growers in order to promote biodiversity. To increase the sustainability of oil palm agriculture, it is imperative that stakeholders modify the way oil palms are currently planted and managed. Our findings can guide policy makers and certification bodies to promote oil palm production landscapes that will function more sustainably and increase existing biodiversity of oil palm landscapes.		Department of Forest Management Faculty of Forestry Universiti Putra Malaysia Selangor Malaysia.; Institute for Life Sciences University of Southampton Southampton UK.; Biodiversity Unit Institute of Bioscience Universiti Putra Malaysia Selangor Malaysia.		Ashton-Butt, Adham/0000-0002-6926-6099			agriculture; biodiversity; bird; conservation; oil palm; smallholdings							2045-7758	101566408	England			PubMed-not-MEDLINE			 / 15 Jan 2019		05 Jul 2017		10.1002/ece3.3205	MEDLINE:28861235	DOAJ Gold, Green Published			2019-04-10
