Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Craig C., Mazerolle M.J., Taylor P.D., Tremblay J.A., Villard M.-A.","57207750150;8301778200;55127619900;13605938200;7003382424;","Predictors of habitat use and nesting success for two sympatric species of boreal woodpeckers in an unburned, managed forest landscape",2019,"Forest Ecology and Management","438",,,"134","141",,,"10.1016/j.foreco.2019.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061613518&doi=10.1016%2fj.foreco.2019.02.016&partnerID=40&md5=f4f2316bc5bd4d3ed21cba7308cfa8b4","Biology Department, Acadia University, Wolfville, NS  B4P 2R6, Canada; Département des sciences du bois et de la forêt, Université Laval, Québec, QC  G1V 0A6, Canada; Sciences et Technologie, Environnement et Changement climatique Canada, Québec, QC  G1J 0C3, Canada; Department of Biology, Mount Allison University, Sackville, NB  E4L 1G7, Canada","Craig, C., Biology Department, Acadia University, Wolfville, NS  B4P 2R6, Canada; Mazerolle, M.J., Département des sciences du bois et de la forêt, Université Laval, Québec, QC  G1V 0A6, Canada; Taylor, P.D., Biology Department, Acadia University, Wolfville, NS  B4P 2R6, Canada; Tremblay, J.A., Sciences et Technologie, Environnement et Changement climatique Canada, Québec, QC  G1J 0C3, Canada; Villard, M.-A., Department of Biology, Mount Allison University, Sackville, NB  E4L 1G7, Canada","Forest harvesting reduces mean stand age and dead wood amount. Among species dependent upon older forests and dead wood, primary excavators such as woodpeckers play an important ecological role by providing cavities for many other species. Conservation of these species thus requires striking a balance between timber harvesting and dead wood supply, especially under moderate natural disturbance regimes. In this study, we quantified habitat use in two closely-related, sympatric species: Black-backed (Picoides arcticus) and American Three-toed (P. dorsalis) Woodpecker, in the highlands of northern New Brunswick, Canada. Natural fires are rare in this ecoregion and forest harvesting is the main agent of landscape change, along with infrequent outbreaks of spruce budworm (Choristoneura fumiferana). Based on its habitat use patterns in other ecoregions, we hypothesized that Black-backed Woodpecker would select nest sites in mature coniferous forest stands and we expected that it would achieve a higher nest survival rate in forest stands than within, or at the edge of, cutblocks. Owing to sample size limitations for American Three-toed Woodpecker, statistical analyses were restricted to its occurrence patterns. Both species co-occurred, and there was no difference in detectability following conspecific and heterospecific playbacks. Contrary to our prediction, Black-backed Woodpecker selected nest sites with higher proportions of recently cut areas within 50 m than at randomly selected sites. Black-backed Woodpecker selected cutblocks for nesting when suitable snags were available and mature forest stands were present nearby as foraging habitat. For the species to persist in this landscape, the supply of snags must be continuous and forest stands must be sufficiently mature to host saproxylic insects. © 2019","Acadian forest; Dead wood; Habitat fragmentation; Habitat selection; Picoides arcticus; Picoides dorsalis",Article,"Final",,Scopus,2-s2.0-85061613518
"Roach M.C., Thompson F.R., III, Jones-Farrand T.","57202399895;7202217448;57202402248;","Effects of pine-oak woodland restoration on breeding bird densities in the Ozark-Ouachita Interior Highlands",2019,"Forest Ecology and Management","437",,,"443","459",,,"10.1016/j.foreco.2018.12.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061342556&doi=10.1016%2fj.foreco.2018.12.057&partnerID=40&md5=344e5ad1e2a8bd07f92cadeaf2cd48a6","Department of Fisheries and Wildlife, University of Missouri, Columbia, MO  65211, United States; U.S. Department of Agriculture, Forest Service, Northern Research Station, Columbia, MO  65211, United States; Conservation Science Coordinator, Southeast Region USFWS, Columbia, MO  65211, United States","Roach, M.C., Department of Fisheries and Wildlife, University of Missouri, Columbia, MO  65211, United States; Thompson, F.R., III, U.S. Department of Agriculture, Forest Service, Northern Research Station, Columbia, MO  65211, United States; Jones-Farrand, T., Conservation Science Coordinator, Southeast Region USFWS, Columbia, MO  65211, United States","Restoration is underway to restore lost or degraded remnants of savanna and woodland in the Midwestern United States in the hopes of restoring floristic and wildlife diversity. Information is needed on the effects of pine savanna-woodland restoration on bird abundance to inform management decisions. We conducted point-count surveys for 19 bird species across the gradient of savanna, woodland, and forest in restored and non-restored areas throughout the Ozark-Ouachita Highlands in parts of Missouri, Arkansas, and Oklahoma during the 2013–2015 breeding seasons. We estimated densities of 16 species using distance sampling to account for detection probability, and we determined relationships of bird abundance with management and vegetation variables by evaluating support for a priori models. Densities of early-successional and generalist species were positively related, and interior-forest species negatively related, to restoration. Densities of Brown-headed Nuthatch (Sitta pusilla), Eastern Towhee (Pipilo erythrophthalmus), Eastern Wood-Pewee (Contopus virens), Pine Warbler (Setophaga pinus), Prairie Warbler (Setophaga discolor), Red-headed Woodpecker (Melanerpes erythrocephalus), White-eyed Vireo (Vireo griseus), and Yellow-breasted Chat (Icteria virens) were positively related to prescribed fire activity. Blue-winged Warbler (Vermivora cyanoptera), Kentucky Warbler (Geothlypis formosa), and Yellow-breasted Chat densities were positively related to tree thinning. Many species had higher densities in areas with less canopy cover, tree density, and forest cover. Acadian Flycatcher (Empidonax virescens), Black-and-white Warbler (Mniotilta varia), Ovenbird (Seiurus aurocapilla), Wood Thrush (Hylocichla mustelina), and Worm-eating Warbler (Helmitheros vermivorum) were negatively related to one or more aspects of restoration treatment and generally preferred areas with greater tree density and canopy cover. Summer Tanagers (Piranga rubra) were abundant but density was not strongly related to management or vegetation variables. Restoration provided breeding habitat for disturbance-dependent species and woodland generalists, many of which are species of conservation concern, but canopy cover generally remained too great for species that require more open savanna. © 2019 Elsevier B.V.","Canopy cover; Distance sampling; Early successional; Hierarchical models; Prescribed fire; Restoration; Tree thinning; Woodland",Article,"Final",,Scopus,2-s2.0-85061342556
"Versluijs M., Hjältén J., Roberge J.-M.","57197740502;55879457100;7005628097;","Ecological restoration modifies the value of biodiversity indicators in resident boreal forest birds",2019,"Ecological Indicators","98",,,"104","111",,,"10.1016/j.ecolind.2018.10.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055645695&doi=10.1016%2fj.ecolind.2018.10.020&partnerID=40&md5=7c87ee368809afbb97a2139ba60dbdbb","Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences (SLU), Umeå, SE-901 83, Sweden; Swedish Forest Agency, Box 284, Umeå, SE-901 06, Sweden","Versluijs, M., Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences (SLU), Umeå, SE-901 83, Sweden; Hjältén, J., Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences (SLU), Umeå, SE-901 83, Sweden; Roberge, J.-M., Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences (SLU), Umeå, SE-901 83, Sweden, Swedish Forest Agency, Box 284, Umeå, SE-901 06, Sweden","A wide range of different biodiversity indicators have been identified in different biomes and types of environments. However, we currently lack a clear understanding under which circumstances proposed biodiversity indicators are valid indicators and when they are not. Here we conducted a large-scale restoration experiment by emulating natural disturbances through prescribed burning and gap-cutting. From this experiment data of resident forest birds was used to, (1) identify biodiversity indicators in the middle and northern boreal zone, (2) test the effect of forest restoration practices on biodiversity indicators and (3) explore the patterns when biodiversity indicator analyses are performed across a wider range of forest types including both restored and unrestored sites. Additionally, to understand the occurrence of species we correlated their occurrence with local habitat structures across different forest types. We found that both the three-toed woodpecker (Picoides tridactylus) and Siberian jay (Perisoreus infaustus) were important biodiversity indicators for the middle/northern boreal zone. The occurrence of these species can generally be used to identify species rich areas across different forest types. However, the three-toed woodpecker, the best indicator for unrestored forest, lost its indicator value after prescribed burning; in these stands the goldcrest (Regulus regulus) was the best biodiversity indicator. Based on habitat associations, we suggest that biodiversity indicators in boreal forest not only indicate high species richness but also structural habitat complexity. Our results draw attention to the fact that one must be careful about using previously identified biodiversity indicators in ecosystems subjected to ecological restoration. © 2018 Elsevier Ltd","Biodiversity indicators; Ecological restoration; Middle/northern boreal forest; Resident birds",Article,"Final",,Scopus,2-s2.0-85055645695
"Stillman A.N., Siegel R.B., Wilkerson R.L., Johnson M., Tingley M.W.","57202806538;7401836251;7005393175;55547121874;6603131569;","Age-dependent habitat relationships of a burned forest specialist emphasise the role of pyrodiversity in fire management",2019,"Journal of Applied Ecology",,,,"","",,,"10.1111/1365-2664.13328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060344055&doi=10.1111%2f1365-2664.13328&partnerID=40&md5=481739915b6e8b0288dbd6387c0db498","Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States; The Institute for Bird Populations, Point Reyes Station, CA, United States; USDA Forest Service, Plumas National Forest, Quincy, CA, United States","Stillman, A.N., Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States; Siegel, R.B., The Institute for Bird Populations, Point Reyes Station, CA, United States; Wilkerson, R.L., The Institute for Bird Populations, Point Reyes Station, CA, United States; Johnson, M., USDA Forest Service, Plumas National Forest, Quincy, CA, United States; Tingley, M.W., Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States","Variation in fire characteristics, termed pyrodiversity, plays an important role in structuring post-fire communities, but little is known about the importance of pyrodiversity for individual species. The availability of diverse post-fire habitats may be key for fire-associated species if they require different resources at different life-history stages. We tested for age-specific habitat relationships in the black-backed woodpecker, a post-fire specialist. We used radio-telemetry to track fledgling and adult woodpeckers in burned forests and built resource selection functions to compare the effect of stand-, tree- and snag-level covariates between adults and fledglings. Fledgling black-backed woodpeckers selected habitat with more live trees than adults and used more heterogeneous habitats burned at lower severity, illustrating strong age-dependent effects on habitat selection. Within selected stands, fledglings were less likely to use snags and more likely to use live trees when compared to adults, but both age classes showed strong positive selection for larger-diameter trees (live and dead). Over the 60 days after leaving their nests, fledglings showed an increasing propensity to use snags rather than live trees. Our results provide evidence that the predation–starvation hypothesis, which posits a trade-off between foraging efficiency and the need to minimise predation risk, plays a role in structuring the age-dependent habitat use of a burned forest specialist. Adult black-backed woodpeckers selected resources associated with food availability, but these resources occurred in relatively open, exposed habitat. Fledglings selected habitat that provided increased cover, perhaps as a strategy to reduce predation risk. Synthesis and applications. Globally, fires are increasing in severity and extent, leading to increased focus on fire-associated species that play keystone roles in facilitating biodiversity resilience. Our findings suggest that a diversity of patches burned at different severities may benefit post-fire specialists like the black-backed woodpecker at multiple life-history stages. The increasing prevalence of large, homogeneously high-severity ‘megafires’ may present an emerging threat even to post-fire specialists, and we urge land managers to consider opportunities to promote pyrodiversity in the face of novel fire regimes. © 2018 The Authors. Journal of Applied Ecology © 2018 British Ecological Society","black-backed woodpecker; fire severity; forest management; habitat selection; landscape heterogeneity; Picoides arcticus; pyrodiversity; wildfire",Article in Press,"Article in Press",,Scopus,2-s2.0-85060344055
"Tingley M.W., Stillman A.N., Wilkerson R.L., Howell C.A., Sawyer S.C., Siegel R.B.","6603131569;57202806538;7005393175;15834758300;22981580100;7401836251;","Cross-scale occupancy dynamics of a postfire specialist in response to variation across a fire regime",2018,"Journal of Animal Ecology","87","5",,"1484","1496",,2,"10.1111/1365-2656.12851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051269705&doi=10.1111%2f1365-2656.12851&partnerID=40&md5=1639c86fb4861d1f3ad749e89bab2f56","Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States; The Institute for Bird Populations, Point Reyes Station, CA, United States; USDA Forest Service, Pacific Southwest Research Station, Albany, CA, United States; USDA Forest Service, Pacific Southwest Region, Vallejo, CA, United States","Tingley, M.W., Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States; Stillman, A.N., Ecology & Evolutionary Biology, University of Connecticut, Storrs, CT, United States; Wilkerson, R.L., The Institute for Bird Populations, Point Reyes Station, CA, United States; Howell, C.A., USDA Forest Service, Pacific Southwest Research Station, Albany, CA, United States; Sawyer, S.C., USDA Forest Service, Pacific Southwest Region, Vallejo, CA, United States; Siegel, R.B., The Institute for Bird Populations, Point Reyes Station, CA, United States","Fire creates challenges and opportunities for wildlife through rapid destruction, modification and creation of habitat. Fire has spatially variable effects on landscapes; however, for species that benefit from the ephemeral resource patches created by fire, it is critical to understand characteristics of fires that promote postfire colonization and persistence and the spatial scales on which they operate. Using a model postfire specialist, the black-backed woodpecker (Picoides arcticus), we examined how colonization and persistence varied across two spatial scales as a function of four characteristics of fire regimes—fire severity, fire size, fire ignition date and number of years since fire. We modelled black-backed woodpecker colonization and persistence using data from 108 recently burned forests in the Sierra Nevada and southern Cascades ecoregions of California, USA, that we monitored for up to 10 years following fire. We employed a novel, spatially hierarchical, dynamic occupancy framework which differentiates colonization and persistence at two spatial scales: across fires and within fires. We found strong effects of fire characteristics on dynamic rates, with colonization and persistence declining across both spatial scales with increasing years since fire. Additionally, at sites within fires, colonization decreased with fire size and increased with fire severity and for fires with later ignition dates. Our results support the notion that different aspects of a species’ environment are important for population processes at different spatial scales. As habitat quality is ephemeral for any given postfire area, our results illustrate the importance of time since fire in structuring occupancy at the fire level, with other characteristics of fires playing larger roles in determining abundance within individual fires. Our results contribute to the broader understanding of how variation in fire characteristics influences the colonization and persistence of species using ephemeral habitats, which is necessary for conserving and promoting postfire biodiversity in the context of rapidly shifting fire regimes. © 2018 The Authors. Journal of Animal Ecology © 2018 British Ecological Society","black-backed woodpecker; colonization; dynamic occupancy model; multiscale analysis; persistence; Picoides arcticus; wildfire",Article,"Final",,Scopus,2-s2.0-85051269705
"Matseur E.A., Thompson F.R., III, Dickerson B.E., Rumble M.A., Millspaugh J.J.","57201340849;7202217448;55345208700;55899054300;7004625579;","Black-backed woodpecker abundance in the black hills",2018,"Journal of Wildlife Management","82","5",,"1039","1048",,,"10.1002/jwmg.21450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044380371&doi=10.1002%2fjwmg.21450&partnerID=40&md5=c3a6419eccb464ce4f08928acfe67455","School of Natural Resources, University of Missouri, 302 Natural Resources Building, Columbia, MO  65211, United States; U.S. Forest Service Northern Research Station, 202 Natural Resources Building, Columbia, MO  65211, United States; U.S. Forest Service Rocky Mountain Research Station, 8221 Mt. Rushmore Road, Rapid City, SD  57702, United States; W. A. Franke College of Forestry and Conservation, University of Montana, 32 Campus Drive, Missoula, MT  59812, United States","Matseur, E.A., School of Natural Resources, University of Missouri, 302 Natural Resources Building, Columbia, MO  65211, United States; Thompson, F.R., III, U.S. Forest Service Northern Research Station, 202 Natural Resources Building, Columbia, MO  65211, United States; Dickerson, B.E., U.S. Forest Service Rocky Mountain Research Station, 8221 Mt. Rushmore Road, Rapid City, SD  57702, United States; Rumble, M.A., U.S. Forest Service Rocky Mountain Research Station, 8221 Mt. Rushmore Road, Rapid City, SD  57702, United States; Millspaugh, J.J., W. A. Franke College of Forestry and Conservation, University of Montana, 32 Campus Drive, Missoula, MT  59812, United States","The Black Hills population of black-backed woodpeckers (Picoides arcticus) was petitioned, but deemed not warranted, to be listed as a threatened or endangered species under the Endangered Species Act and more information on their population size in the region is needed. Our objective was to map abundance and provide a population estimate of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains of South Dakota and Wyoming, USA. We conducted 3,666 and 3,384 5-minute point count surveys from late-March to late-June in 2015 and 2016, respectively. We characterized vegetation around each point using geographic information system-derived landscape variables and fit 3-level hierarchical time-removal models in R package unmarked using gmultmix. The global abundance model received the most support and included year, latitude, and percent area of green trees, beetle-killed trees, dead trees, 1- to 2-year-old wildfire, 3-year-old wildfire, and 4- to 5-year-old wildfire. Points with high percent cover of beetle-killed trees had the greatest density of black-backed woodpeckers, followed by 1- to 2-year-old wildfires. After 4 years, areas burned by wildfire supported lower densities of black-backed woodpeckers than undisturbed forests. Mean density was 0.528 birds/km2 in 2015 and 0.626 birds/km2 in 2016. There were an estimated 2,920 and 3,439 black-backed woodpeckers in the Black Hills and Bear Lodge Mountains in 2015 and 2016, respectively. We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers and are important to sustaining populations when the availability of recent (&lt;4 years old) wildfire is declining or scarce. Published 2018. This article is a U.S. Government work and is in the public domain in the USA. Published 2018. This article is a U.S. Government work and is in the public domain in the USA.","abundance; Black Hills; black-backed woodpecker; Picoides arcticus; point count; population estimate",Article,"Final",,Scopus,2-s2.0-85044380371
"Tarbill G.L., White A.M., Manley P.N.","56520280100;7404187678;9333550500;","The persistence of black-backed woodpeckers following delayed salvage logging in the sierra nevada [Persistance du pic à dos noir après une coupe de récupération différée dans la sierra nevada]",2018,"Avian Conservation and Ecology","13","1", 16,"","",13,,"10.5751/ACE-01206-130116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049186921&doi=10.5751%2fACE-01206-130116&partnerID=40&md5=656a664eb21964a38da409b49ef4467b","USDA Forest Service, Pacific Southwest Research Station, United States; Oak Ridge Institute for Science and Education, United States; University of California, Davis, United States","Tarbill, G.L., USDA Forest Service, Pacific Southwest Research Station, United States, Oak Ridge Institute for Science and Education, United States, University of California, Davis, United States; White, A.M., USDA Forest Service, Pacific Southwest Research Station, United States; Manley, P.N., USDA Forest Service, Pacific Southwest Research Station, United States","The Black-backed Woodpecker (Picoides arcticus) is a snag-associated species that colonizes and utilizes patches of burned forests typically within 10 years of fire. Previous research has indicated that salvage logging, the removal of dead and dying trees from burned forests, has a negative effect on nesting densities of Black-backed Woodpeckers. One strategy proposed to ameliorate the impacts of dead tree removal on Black-backed Woodpeckers is to retain patches, or islands, of dense snags within the salvage matrix, but this approach remains largely untested. Following the Angora fire of South Lake Tahoe, CA several snag islands were retained within the larger salvage prescription to conserve habitat for Black-backed Woodpeckers and other snag-associated species. In this observational study, we evaluate whether these snag islands were effective at maintaining Black-backed Woodpecker populations following logging operations that covered 45% of the burned area. We systematically searched the postfire landscape for Black-backed Woodpecker nests for two years before and after salvage operations and compared nesting densities between logged and unlogged areas. Similar to other studies, we found that nest densities at the stand scale declined significantly in areas that were salvage logged, but Black-backed Woodpeckers did nest in both snag islands and in other peripheral unlogged areas, indicating that this approach may help balance habitat for wildlife with management needs at the scale of the fire. In this study, the removal of dead trees, which is usually implemented in the first two years following fire, did not occur until the fourth year, which may have also contributed to the persistence of Black-backed Woodpeckers postlogging. © 2018 by the author(s).","Black-backed woodpecker; Postfire; Salvage logging; Snag island; Snag retention",Article,"Final",Open Access,Scopus,2-s2.0-85049186921
"Paudyal R., Stein T.V., Ober H.K., Swisher M.E., Jokela E.J., Adams D.C.","56764211700;7103345347;6506692582;23494154300;7003438754;26533764200;","Recreationists' perceptions of scenic beauty and satisfaction at a public forest managed for endangered wildlife",2018,"Forests","9","5", 241,"","",,,"10.3390/f9050241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046666705&doi=10.3390%2ff9050241&partnerID=40&md5=83f3f8a4e85c431669632579f07856e8","School of Forest Resources and Conservation, University of Florida, PO Box 110410, Gainesville, FL  32611, United States; North Florida Research and Education Center, University of Florida, 155 Research Road, Quincy, FL  32351, United States; Department of Family, Youth and Community Sciences, University of Florida, PO Box 110310, Gainesville, FL  32611, United States","Paudyal, R., School of Forest Resources and Conservation, University of Florida, PO Box 110410, Gainesville, FL  32611, United States; Stein, T.V., School of Forest Resources and Conservation, University of Florida, PO Box 110410, Gainesville, FL  32611, United States; Ober, H.K., North Florida Research and Education Center, University of Florida, 155 Research Road, Quincy, FL  32351, United States; Swisher, M.E., Department of Family, Youth and Community Sciences, University of Florida, PO Box 110310, Gainesville, FL  32611, United States; Jokela, E.J., School of Forest Resources and Conservation, University of Florida, PO Box 110410, Gainesville, FL  32611, United States; Adams, D.C., School of Forest Resources and Conservation, University of Florida, PO Box 110410, Gainesville, FL  32611, United States","Prescribed burning and other active forest management treatments have been proven essential for maintaining suitable habitat conditions for many wildlife species, including the federally endangered red-cockaded woodpecker (RCW). This study examines the perception of forest management treatments of recreation users participating in various activities (hunting, hiking/backpacking, camping, off-highway vehicle riding, and canoeing/kayaking) in terms of scenic beauty and recreation satisfaction. We used photographic images to capture various forest management treatments of different intensity levels and times after treatments, and assessed users' perception of scenic beauty and recreation satisfaction. Results indicated variation among users participating in different recreation activities, but that good quality RCW habitats offered both higher scenic beauty and higher recreation satisfaction than poor quality habitats for most activity user groups. Finally, recreation satisfaction was statistically equal to perceived scenic beauty from both good and poor-quality RCW habitats for most of the activity user groups, thus suggesting the importance of scenic beauty of forest sites in determining recreation users' attainment of visit satisfaction. Findings conclude that forest sites developed as good quality RCW habitats in the present state also offer quality experience to recreation users, thus supporting multi-objective forestry practices in public forests. © 2018 by the author.","Controlled burning; Forest beauty; Graphic elicitation technique; Ocala National Forest; Outdoor recreation; Red-cockaded woodpecker",Article,"Final",Open Access,Scopus,2-s2.0-85046666705
"Weiss S.A., Corace R.G., III, Toman E.L., Herms D.A., Goebel P.C.","57195359369;10140715500;6506175379;55902994000;7006769790;","Wildlife implications across snag treatment types in jack pine stands of Upper Michigan",2018,"Forest Ecology and Management","409",,,"407","416",,2,"10.1016/j.foreco.2017.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036450899&doi=10.1016%2fj.foreco.2017.10.013&partnerID=40&md5=b072a6d10776d00ae88b14b821287387","School of Environment and Natural Resources, The Ohio State University, 2021 Coffey Road, Columbus, OH  43210, United States; U.S. Fish and Wildlife Service, Seney National Wildlife Refuge, 1674 Refuge Entrance Road, Seney, MI  49883, United States; Department of Entomology, The Ohio State University, 1680 Madison Avenue, Wooster, OH  44691, United States; 107 N. Walnut St., Wooster, OH  44691, United States; Department of Forest, Rangeland, and Fire Sciences, University of Idaho, 875 Perimeter Drive, Moscow, ID  83844, United States","Weiss, S.A., School of Environment and Natural Resources, The Ohio State University, 2021 Coffey Road, Columbus, OH  43210, United States; Corace, R.G., III, U.S. Fish and Wildlife Service, Seney National Wildlife Refuge, 1674 Refuge Entrance Road, Seney, MI  49883, United States; Toman, E.L., School of Environment and Natural Resources, The Ohio State University, 2021 Coffey Road, Columbus, OH  43210, United States; Herms, D.A., Department of Entomology, The Ohio State University, 1680 Madison Avenue, Wooster, OH  44691, United States, 107 N. Walnut St., Wooster, OH  44691, United States; Goebel, P.C., School of Environment and Natural Resources, The Ohio State University, 2021 Coffey Road, Columbus, OH  43210, United States, Department of Forest, Rangeland, and Fire Sciences, University of Idaho, 875 Perimeter Drive, Moscow, ID  83844, United States","Standing dead trees, or snags, represent post-disturbance biological legacies in forest ecosystems, and intentional creation of new snags is increasingly common during forest treatments. The abundance, volume, size, and distribution of snags can affect wildlife communities and stand-level biological diversity. Characteristics such as the wood properties of different tree species, environmental conditions, and cause of tree death (e.g., insects, disease, senescence, wind, fire) can influence decomposition and subsequent use of snags by wildlife. The objectives of this study were to characterize decay patterns in jack pine (Pinus banksiana) snags that had been killed by prescribed fire, topping, and girdling and determine the effects of these treatments on subsequent snag use by subcortical insects and primary cavity-nesting birds. The prescribed fire, topping, and girdling treatments were implemented in 2003, 2004, and 2007, respectively; bird excavations were quantified in 2014 and insect activity was measured in 2016. One-way analysis of variance tests were used to examine any differences among treatments in snag characteristics, decay characteristics, past insect activity, and past use by birds. An information theoretic approach to model selection was then used to rank potential predictors of bird foraging activity and cavities. The topping treatment had unique decay characteristics relative to the other two treatments; topped snags had the highest levels of past insect colonization, were softer, and had higher proportions of loose bark remaining on the boles. Trees killed by prescribed fire had the greatest number of foraging excavations and cavities. Girdled snags had the lowest evidence of past insect colonization and showed different levels of decay and insect use at different vertical positions on the snag bole. Comparison of candidate models showed that a model containing treatment type alone was the highest ranked when predicting foraging by birds, while snag diameter was the highest ranked when predicting the presence of cavities. A model containing treatment and snag density was also a highly ranked for predicting cavity presence. Our findings suggest that different jack pine snag treatments result in unique decay trajectories that may influence snag use by an array of wildlife taxa. Our characterization of three snag creation treatments can also inform options for generating snags, depending on the desired outcome, when management for biological legacies and wildlife habitat is of interest within mixed-pine forests of the Great Lakes region. © 2017 Elsevier B.V.","Ecological forestry; Fire; Jack pine; Snags; Subcortical insects; Woodpeckers",Article,"Final",,Scopus,2-s2.0-85036450899
"Tremblay J.A., Boulanger Y., Cyr D., Taylor A.R., Price D.T., St-Laurent M.-H.","13605938200;56275087200;56247689500;55473530100;56392349700;16647079100;","Harvesting interacts with climate change to affect future habitat quality of a focal species in eastern Canada’s boreal forest",2018,"PLoS ONE","13","2", e0191645,"","",,3,"10.1371/journal.pone.0191645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041510447&doi=10.1371%2fjournal.pone.0191645&partnerID=40&md5=ff7439e81036e6e67f63e7bf74965a8b","Sciences and Technology Branch, Environment and Climate Change Canada, Québec, QC, Canada; Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, Stn. Sainte-Foy, Québec, QC, Canada; Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, Fredericton, NB, Canada; Natural Resources Canada, Canadian Forest Service, Northern Forestry Centre, Edmonton, AB, Canada; Université du Québec à Rimouski, Centre for Northern Studies and Centre for Forest Research, Département de biologie, chimie et géographie, Allée des Ursulines, Rimouski, QC, Canada","Tremblay, J.A., Sciences and Technology Branch, Environment and Climate Change Canada, Québec, QC, Canada; Boulanger, Y., Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, Stn. Sainte-Foy, Québec, QC, Canada; Cyr, D., Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, Stn. Sainte-Foy, Québec, QC, Canada; Taylor, A.R., Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, Fredericton, NB, Canada; Price, D.T., Natural Resources Canada, Canadian Forest Service, Northern Forestry Centre, Edmonton, AB, Canada; St-Laurent, M.-H., Université du Québec à Rimouski, Centre for Northern Studies and Centre for Forest Research, Département de biologie, chimie et géographie, Allée des Ursulines, Rimouski, QC, Canada","Many studies project future bird ranges by relying on correlative species distribution models. Such models do not usually represent important processes explicitly related to climate change and harvesting, which limits their potential for predicting and understanding the future of boreal bird assemblages at the landscape scale. In this study, we attempted to assess the cumulative and specific impacts of both harvesting and climate-induced changes on wildfires and stand-level processes (e.g., reproduction, growth) in the boreal forest of eastern Canada. The projected changes in these landscape- and stand-scale processes (referred to as “drivers of change”) were then assessed for their impacts on future habitats and potential productivity of black-backed woodpecker (BBWO; Picoides arcticus), a focal species representative of deadwood and old-growth biodiversity in eastern Canada. Forest attributes were simulated using a forest landscape model, LANDIS-II, and were used to infer future landscape suitability to BBWO under three anthropogenic climate forcing scenarios (RCP 2.6, RCP 4.5 and RCP 8.5), compared to the historical baseline. We found climate change is likely to be detrimental for BBWO, with up to 92% decline in potential productivity under the worst-case climate forcing scenario (RCP 8.5). However, large declines were also projected under baseline climate, underlining the importance of harvest in determining future BBWO productivity. Present-day harvesting practices were the single most important cause of declining areas of old-growth coniferous forest, and hence appeared as the single most important driver of future BBWO productivity, regardless of the climate scenario. Climate-induced increases in fire activity would further promote young, deciduous stands at the expense of old-growth coniferous stands. This suggests that the biodiversity associated with deadwood and old-growth boreal forests may be greatly altered by the cumulative impacts of natural and anthropogenic disturbances under a changing climate. Management adaptations, including reduced harvesting levels and strategies to promote coniferous species content, may help mitigate these cumulative impacts. Copyright: © 2018 Tremblay et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,"Final",Open Access,Scopus,2-s2.0-85041510447
