Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Little A.R., Mike Conner L., Chamberlain M.J., Nibbelink N.P., Warren R.J.","56347083300;54924456100;35261413900;6603294329;35619621600;","Adult bobcat (Lynx rufus) habitat selection in a longleaf pine savanna",2018,"Ecological Processes","7","1", 20,"","",,,"10.1186/s13717-018-0129-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046655064&doi=10.1186%2fs13717-018-0129-5&partnerID=40&md5=a52184bc10c2137807be178930405e65","Warnell School of Forestry and Natural Resources, University of Georgia, 180 E. Green St, Athens, GA  30602, United States; Joseph W. Jones Ecological Research Center at Ichauway, Newton, GA  39870, United States","Little, A.R., Warnell School of Forestry and Natural Resources, University of Georgia, 180 E. Green St, Athens, GA  30602, United States; Mike Conner, L., Joseph W. Jones Ecological Research Center at Ichauway, Newton, GA  39870, United States; Chamberlain, M.J., Warnell School of Forestry and Natural Resources, University of Georgia, 180 E. Green St, Athens, GA  30602, United States; Nibbelink, N.P., Warnell School of Forestry and Natural Resources, University of Georgia, 180 E. Green St, Athens, GA  30602, United States; Warren, R.J., Warnell School of Forestry and Natural Resources, University of Georgia, 180 E. Green St, Athens, GA  30602, United States","Background: Pine savannas are primarily managed with frequent prescribed fire (≤ 3 years) to promote diversity of flora and fauna, and to maintain open, park-like conditions needed by species such as the endangered red-cockaded woodpecker (Picoides borealis). However, a knowledge gap exists in our understanding of bobcat (Lynx rufus) habitat selection in longleaf pine savannas and research is warranted to direct our future management decisions. Methods: We examined bobcat habitat selection in a pine savanna managed with frequent fires at two spatial scales (i.e., study area boundary [hereafter, landscape scale]) and annual area of use [95% kernel density; local scale]), and assessed effects of prescribed fire on bobcat habitat selection. Specifically, we monitored 45 bobcats (16 males and 29 females) during 2001–2007. Results: We found differential habitat selection by sex. At the landscape scale, female bobcats were closer to mixed pine-hardwoods, young pine, and secondary roads, but farther from mature pine and hardwoods stands relative to males. We found no difference in selection of agriculture, shrub-scrub, and primary roads between sexes. At the annual area of use scale, female bobcats were closer to secondary roads, but farther from agriculture and shrub-scrub relative to males. We found no difference in selection of mature pine, mixed pine-hardwoods, hardwoods, young pine, and primary roads between sexes. Bobcats primarily selected for stands burned ≤ 1.1 years post-fire. Conclusions: Our results show that bobcats exploit a broad range of habitat types in pine landscapes managed with frequent fire and commonly use recently burned stands (≤ 1.1 year post-fire), suggesting prey in many areas of this system are at risk of bobcat predation. Additionally, we suggest land managers consider scale of selection by bobcats when developing habitat management strategies. © 2018, The Author(s).","Georgia; Habitat selection; Lynx rufus; Pinus palustris; Prescribed fire",Article,Open Access,Scopus,2-s2.0-85046655064
"Flanagan-Moodie A.K., Holland G.J., Clarke M.F., Bennett A.F.","55994948000;7202506245;7403284452;40460915100;","Prescribed burning reduces the abundance of den sites for a hollow-using mammal in a dry forest ecosystem",2018,"Forest Ecology and Management","429",,,"233","243",,,"10.1016/j.foreco.2018.07.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049902193&doi=10.1016%2fj.foreco.2018.07.023&partnerID=40&md5=50df039067c04fd2cbb3e0ef362d7045","School of Life and Environmental Sciences, Deakin University, Burwood, VIC  3125, Australia; Dept of Ecology, Environment & Evolution, La Trobe University, Bundoora, VIC  3086, Australia; Research Centre for Future Landscapes, La Trobe University, Bundoora, VIC  3086, Australia; Arthur Rylah Institute for Environmental Research, 123 Brown St., Heidelberg, VIC  3081, Australia","Flanagan-Moodie, A.K., School of Life and Environmental Sciences, Deakin University, Burwood, VIC  3125, Australia; Holland, G.J., Dept of Ecology, Environment & Evolution, La Trobe University, Bundoora, VIC  3086, Australia, Research Centre for Future Landscapes, La Trobe University, Bundoora, VIC  3086, Australia; Clarke, M.F., Dept of Ecology, Environment & Evolution, La Trobe University, Bundoora, VIC  3086, Australia, Research Centre for Future Landscapes, La Trobe University, Bundoora, VIC  3086, Australia; Bennett, A.F., Dept of Ecology, Environment & Evolution, La Trobe University, Bundoora, VIC  3086, Australia, Research Centre for Future Landscapes, La Trobe University, Bundoora, VIC  3086, Australia, Arthur Rylah Institute for Environmental Research, 123 Brown St., Heidelberg, VIC  3081, Australia","Prescribed burning is used in fire-prone environments worldwide to reduce fuel loads and the severity and spread of future wildfires. Forest habitat structures, such as large trees, dead trees and logs are highly flammable, yet also are essential for animal species that require hollows (cavities) as den sites for shelter and reproduction. We examined the effects of experimental prescribed burns on the use of den sites by a small marsupial, the yellow-footed antechinus Antechinus flavipes, in south-eastern Australia. Specifically, we radio-tracked individual A. flavipes to identify forest habitat structures preferred as den sites and recorded the fate of known den sites following patchy prescribed burns. We found that large living trees and dead trees were used as den sites disproportionately to their relative abundance in the forest. While all marked individuals of A. flavipes survived the immediate impacts of patchy prescribed burns, almost a third (16/52) of den sites identified before burning were lost, including 17% of trees (4/23) and 48% of logs (10/21). The vulnerability of den sites to prescribed burns can be attributed to the decay-dependent effect of fire on both trees and logs, whereby, the amount of damage from fire is related to the structure's pre-fire condition (i.e. whether dead or alive, amount of decay). Large trees and large logs are scarce in this dry forest ecosystem and their replacement is likely to take a century or more due to the slow growth rates of trees. The ecological impacts of prescribed burning on habitat structures used by A. flavipes and other hollow-using species can be moderated by: (1) carrying out patchy, rather than complete burns; (2) ensuring the inter-fire interval is sufficient to allow time for replenishment of resources; and (3) planning at a regional scale to maintain an appropriate spatial pattern of post-fire age-classes, including areas retained as long-unburned (e.g. >50 years) in which resources such as deep litter, large logs and dead trees can accumulate. © 2018 Elsevier B.V.","Antechinus flavipes; Australia; Box-ironbark; Cavity; Fire; Tree hollow",Article,,Scopus,2-s2.0-85049902193
"Rijal B., Raulier F., Martell D.L.","54943920700;6603918968;7004910954;","A value-added forest management policy reduces the impact of fire on timber production in Canadian boreal forests",2018,"Forest Policy and Economics","97",,,"21","32",,,"10.1016/j.forpol.2018.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053078766&doi=10.1016%2fj.forpol.2018.09.002&partnerID=40&md5=3010ffb4c17fe0508c5564d324317778","Centre d'Étude de la Forêt, Faculté de foresterie, de géographie et de géomatique, Université Laval, 2405 rue de la terrasse, Québec, G1V 0A6, Canada; Faculty of Forestry, University of Toronto, 33 Willcocks Street, Toronto, ON  M5S 3B3, Canada","Rijal, B., Centre d'Étude de la Forêt, Faculté de foresterie, de géographie et de géomatique, Université Laval, 2405 rue de la terrasse, Québec, G1V 0A6, Canada; Raulier, F., Centre d'Étude de la Forêt, Faculté de foresterie, de géographie et de géomatique, Université Laval, 2405 rue de la terrasse, Québec, G1V 0A6, Canada; Martell, D.L., Faculty of Forestry, University of Toronto, 33 Willcocks Street, Toronto, ON  M5S 3B3, Canada","When fire rates are sufficiently high, fire disturbances can have negative impacts on industrial timber supplies. One can mitigate such problems at the strategic level by accounting for potential fire losses in the timber supply planning process by reducing harvest levels to maintain a buffer stock of timber. With a forest planning model based on a timber volume maximizing policy, reducing the harvest level will lead to a reduction in the harvested timber volume and likely, of revenues. One possible solution is to change the policy to increase the value of the wood that is harvested so as to minimize such reductions with less risk. We have evaluated alternative policies for three commercially-managed forests that have different burn rates in northeastern Canada. When compared with a volume-maximization policy, a revenue-maximization policy that considers sustained production and the sale of sawmilling wood products (lumber, chips and sawdust) increased mean revenues by 130% (36–770%) with >0.90 probability and substantially decreased the area and volume harvested by 27% (11–38%) and 28% (14–36%), respectively. By reducing the harvest volume, the total number of jobs associated with forest operations decreased by 20% (10–27%) but the number of jobs per unit area harvested and volume increased. The policy also increased the harvest age and thereby enhanced the retention of a greater proportion of old-growth stands. Our study indicated that a tighter link between strategic planning and wood product processing helped identify better compromises between harvesting activities and revenues, despite the occurrence of natural disturbances. © 2018 Elsevier B.V.","Boreal forest; Fire; Revenue; Risk analysis; Strategic supply planning",Article,,Scopus,2-s2.0-85053078766
"Campbell J.W., Grodsky S.M., Keller O., Vigueira C.C., Vigueira P.A., Waite E.S., Greenberg C.H.","22949682900;38461105700;57202978907;55499300600;57200279580;57202980285;56252460400;","Response of beetles (Coleoptera) to repeated applications of prescribed fire and other fuel reduction techniques in the southern Appalachian Mountains",2018,"Forest Ecology and Management","429",,,"294","299",,,"10.1016/j.foreco.2018.07.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050160692&doi=10.1016%2fj.foreco.2018.07.022&partnerID=40&md5=37244be517462087b418c62030f9a18e","University of Florida, Entomology and Nematology Dept., 1881 Natural Area Dr., Gainesville, FL  32611, United States; Department of Land, Air & Water Resources, University of California, Davis, Davis, CA  95616, United States; High Point University, Biology Dept., One University Parkway, High PointNC  27268, United States; USDA Forest Service, Southern Research Station, 1577 Brevard Road, Asheville, NC  28806, United States","Campbell, J.W., University of Florida, Entomology and Nematology Dept., 1881 Natural Area Dr., Gainesville, FL  32611, United States; Grodsky, S.M., Department of Land, Air & Water Resources, University of California, Davis, Davis, CA  95616, United States; Keller, O., University of Florida, Entomology and Nematology Dept., 1881 Natural Area Dr., Gainesville, FL  32611, United States; Vigueira, C.C., High Point University, Biology Dept., One University Parkway, High PointNC  27268, United States; Vigueira, P.A., High Point University, Biology Dept., One University Parkway, High PointNC  27268, United States; Waite, E.S., University of Florida, Entomology and Nematology Dept., 1881 Natural Area Dr., Gainesville, FL  32611, United States; Greenberg, C.H., USDA Forest Service, Southern Research Station, 1577 Brevard Road, Asheville, NC  28806, United States","Coleoptera are important components of forest ecosystems and can be affected by forest management schemes aimed at limiting fuel build-up. Our research objective was to determine if repeated applications of fuel reduction treatments resulted in changes in abundance or diversity of beetle (Coleoptera) families, genera, and species within upland mixed hardwood forests in the southern Appalachians Mountains, North Carolina, USA. We established three replicate blocks (∼56 ha) and split each block into four fuel reduction treatments. Treatments included prescribed burning, mechanical felling, a combination of prescribed burning and mechanical felling, and a control (i.e., no fuel reduction techniques applied). We implemented treatments multiple times (2 mechanical thinnings and 4 prescribed burns) over the course of a 15-year period. Using pitfall and colored pan traps, we captured 7037 coleopterans comprised of 62 families over a three-year period. Total coleopteran abundance and diversity were similar across all treatments; however, some beetle families, genera, and species responded to treatments. Nitidulidae were significantly more abundant within controls compared to all other treatments in 2015, whereas Mordellidae generally had higher abundances in mechanical and burns compared to mechanical in 2015 and mechanical and controls in 2016. Chrysomelidae was significantly more abundant in mechanical and burns compared to all other treatments over the entire duration of the study. However, Staphylinidae abundance was significantly lower in mechanical and burns compared to the other treatments. Numerous genera and species also showed variable treatment-level responses. Burn treatments killed some mature trees and reduced forest canopy cover, resulting in higher light availability and thereby greater herbaceous cover and diversity on the forest floor. This vegetation in the understory of burned treatment units may be partially responsible for many of the treatment-level responses of beetle taxa we documented. This study took place after several rounds of fuel reduction techniques were applied over a 15 year period. Some beetle abundance responses were immediate; whereas other groups seemed to be influenced by the application of treatments over time, highlighting the need to examine long-term responses to forest management practices. © 2018 Elsevier B.V.","Appalachian Mountains; Beetles; Chrysomelidae; Fuel reduction; Mechanical thinning; Mordellidae; Nitidulidae; Prescribed fire",Article,,Scopus,2-s2.0-85050160692
"Ulyshen M.D., Horn S., Pokswinski S., McHugh J.V., Hiers J.K.","6506460295;7103259892;55487541900;7102537816;6602129537;","A comparison of coarse woody debris volume and variety between old-growth and secondary longleaf pine forests in the southeastern United States",2018,"Forest Ecology and Management","429",,,"124","132",,,"10.1016/j.foreco.2018.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049581068&doi=10.1016%2fj.foreco.2018.07.017&partnerID=40&md5=2be352ee043204cca3a2c6e3db85e19a","USDA Forest Service, Southern Research Station, 320, Green Street, Athens, GA  30602, United States; Tall Timbers Research Station, 13093, Henry, Beadel Dr., Tallahassee, FL  32312, United States; University of Georgia, Department of Entomology, Athens, GA  30602, United States","Ulyshen, M.D., USDA Forest Service, Southern Research Station, 320, Green Street, Athens, GA  30602, United States; Horn, S., USDA Forest Service, Southern Research Station, 320, Green Street, Athens, GA  30602, United States; Pokswinski, S., Tall Timbers Research Station, 13093, Henry, Beadel Dr., Tallahassee, FL  32312, United States; McHugh, J.V., University of Georgia, Department of Entomology, Athens, GA  30602, United States; Hiers, J.K., Tall Timbers Research Station, 13093, Henry, Beadel Dr., Tallahassee, FL  32312, United States","Few efforts have been made to quantify the amount and variety of deadwood in frequently burned ecosystems, particularly the longleaf pine (Pinus palustris Mill.) ecosystem of the southeastern United States. Moreover, comparisons of coarse woody debris between old-growth and secondary longleaf pine forests are lacking despite the widely recognized value of deadwood to biodiversity in many forest types. We measured standing and fallen deadwood in three old-growth and four mature (100–125 years-old) secondary forests in two landscapes characterized by either sandy or clayey soils within the historic range of P. palustris. Downed coarse woody debris volume was variable at the old-growth locations, ranging from 2.51 ± 0.79 to 29.10 ± 14.55 m3 per ha, which includes perhaps the lowest values ever reported from any old-growth forest. Factors likely contributing to these low volumes include frequent fire, the low basal area characteristic of this forest type, subtropical climatic conditions of the southeastern Coastal Plain, and large termite populations. The high variability observed among the three old-growth locations probably reflect interactions between fire and other disturbances (e.g., wind damage). The old-growth location on sandy soils had significantly higher coarse woody debris volume and deadwood variety (e.g., diameter increments, posture, tree genera and decay classes) than secondary forests sampled nearby. Highly resinous heartwood is a significant indicator of old-growth conditions relative to secondary locations, appearing to accumulate as a persistent fraction of the deadwood pool over time. © 2018","Fire-adapted; Primary forests; Reference conditions; Virgin forests",Article,,Scopus,2-s2.0-85049581068
"Salmona J., Dixon K.M., Banks S.C.","57202783449;57202777872;7201624595;","The effects of fire history on hollow-bearing tree abundance in montane and subalpine eucalypt forests in southeastern Australia",2018,"Forest Ecology and Management","428",,,"93","103",,,"10.1016/j.foreco.2018.06.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049316819&doi=10.1016%2fj.foreco.2018.06.026&partnerID=40&md5=371220cf5acbd92e52554e268f965939","The Fenner School of Environment and Society, The Australian National University, Acton, ACT  2601, Australia; Research Institute for the Environment and Livelihoods, Charles Darwin University, Darwin, NT  0810, Australia","Salmona, J., The Fenner School of Environment and Society, The Australian National University, Acton, ACT  2601, Australia; Dixon, K.M., The Fenner School of Environment and Society, The Australian National University, Acton, ACT  2601, Australia; Banks, S.C., The Fenner School of Environment and Society, The Australian National University, Acton, ACT  2601, Australia, Research Institute for the Environment and Livelihoods, Charles Darwin University, Darwin, NT  0810, Australia","Hollow-bearing trees provide critical habitat resources for forest fauna, yet there is evidence of a ubiquitous decline in the large, old trees most likely to provide this resource. Fire can influence the formation and persistence of tree hollows. In this study, we investigated the effects of stand-level fire history and individual tree attributes on tree hollow abundance in two forest types in Namadgi National Park in the Australian Capital Territory: subalpine woodlands dominated by Eucalyptus pauciflora Sieber ex Spreng (snow gum); and tall-open E. delegatensis R.T.Baker (alpine ash) montane forest. These forests can be differentiated by their distinct response to fire; E. pauciflora resprouts following fire and E. delegatensis reproduces exclusively via seed. We employed a ground-based approach to measure 1044 trees across 36 sites selected by forest type and fire history as recorded since 1920. For both species, hollow abundance decreased with total fire count at stand level and increased for E. delegatensis in response to an extensive wildfire that occurred in the study area in 2003. The probability of a tree containing a hollow increased with tree diameter and if the tree was dead. Our results show that fire frequency and severity have strong implications for tree hollow abundance in montane and subalpine eucalypt forests. © 2018 Elsevier B.V.","Eucalyptus; Fire ecology; Fire regime; Habitat; Hollow-bearing tree; Vital attributes",Article,,Scopus,2-s2.0-85049316819
"Larsen A.L., Jacquot J.J., Keenlance P.W., Keough H.L.","56890475700;57052435100;55999759300;57160075900;","Mechanical thinning to restore oak savanna promoted predator assemblages of gypsy moth pupae in Michigan",2018,"Agricultural and Forest Entomology","20","4",,"531","540",,,"10.1111/afe.12286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047453679&doi=10.1111%2fafe.12286&partnerID=40&md5=d080afac5f8cf1ebd903f40d62eca9a5","Biology Department, Grand Valley State University, 1 Campus Dr, Allendale, MI  49401-9403, United States; United States Forest Service, Huron-Manistee National Forests, 605 N. Michigan Avenue, Baldwin, MI  49304, United States; Department of Integrative Biology, University of Wisconsin-Madison, 145 Noland Hall, 250 N. Mills Street, Madison, WI  53704, United States","Larsen, A.L., Biology Department, Grand Valley State University, 1 Campus Dr, Allendale, MI  49401-9403, United States, Department of Integrative Biology, University of Wisconsin-Madison, 145 Noland Hall, 250 N. Mills Street, Madison, WI  53704, United States; Jacquot, J.J., Biology Department, Grand Valley State University, 1 Campus Dr, Allendale, MI  49401-9403, United States; Keenlance, P.W., Biology Department, Grand Valley State University, 1 Campus Dr, Allendale, MI  49401-9403, United States; Keough, H.L., United States Forest Service, Huron-Manistee National Forests, 605 N. Michigan Avenue, Baldwin, MI  49304, United States","The United States Forest Service conducted an oak savanna restoration using thinning and prescribed burning in the Manistee National Forest in Michigan to provide additional habitat for species dependent on this rare community type, including the Karner blue butterfly (Lycaeides melissa samuelis). Because the Karner blue butterfly is a federally endangered species, managers cannot spray Bt-k (Bacillus thurigiensis var kurstaki) in areas undergoing restoration to control exotic invasive defoliators, such as European gypsy moths (Lymantria dispar). Although gypsy moths are invasive in North America, several native predators, such as white-footed mice (Peromyscus leucopus), other small mammals and invertebrates, help keep gypsy moth populations at nondestructive levels. The present study investigated whether the small mammal community and gypsy moth predation rates were affected by the type of mechanical forest thinning method (bulldozer, masticator, shear cutter) used during an oak savanna restoration at two sites in Michigan within the suppression zone in 2010 and 2011. Predation rates on gypsy moth pupae were higher in bulldozer and shear cutter thinned compared with control plots at both sites in 2010. White-footed mice relative abundance was significantly higher in thinned compared with control plots at one site in 2010 and 2011. Thinning maintained or promoted white-footed mice abundance, which will maintain or enhance predation on gypsy moth pupae during oak savanna restoration. © 2018 The Royal Entomological Society","Gypsy moth; Lymantria dispar; mechanical thinning; oak savanna; Peromyscus leucopus; pupal predation; restoration; white-footed mouse",Article,,Scopus,2-s2.0-85047453679
"Regos A., Imbeau L., Desrochers M., Leduc A., Robert M., Jobin B., Brotons L., Drapeau P.","54960705700;6602138223;57190735695;7007114324;57194018410;6701746055;7003947486;56601751700;","Hindcasting the impacts of land-use changes on bird communities with species distribution models of Bird Atlas data",2018,"Ecological Applications","28","7",,"1867","1883",,,"10.1002/eap.1784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054089382&doi=10.1002%2feap.1784&partnerID=40&md5=afe6654aa242cde859c5571dcc3f3bea","Departamento de Zooloxía, Xenética e Antropoloxía Fisica, Universidade de Santiago de Compostela, Campus Sur, Santiago de Compostela, Spain; Research Centre in Biodiversity and Genetic Resources (CIBIO/InBIO), ECOCHANGE Group, Campus Agrario de Vairão, Vairão, Portugal; Centre d’étude de la forêt, Institut de Recherche sur les Forêts (IRF), Université du Québec en Abitibi-Témiscamingue (UQAT), 445 boulevard de l’ Université, Rouyn-Noranda, QC  J9X 5E4, Canada; Département des sciences biologiques, Université du Québec à Montréal (UQAM), Centre d’étude de la forêt, 141 Avenue Président-Kennedy, Montréal, QC  H2X 1Y4, Canada; Service canadien de la faune, Environnement et changement climatique Canada, 801-1550, avenue d'Estimauville, Québec, QC  G1J 0C3, Canada; Forest Sciences Centre of Catalonia (CEMFOR-CTFC), InForest Joint Research Unit (CSIC-CTFC-CREAF), Solsona, Spain; Centre de Recerca Ecològica i Aplicacions Forestals (CREAF), Cerdanyola del Vallés, Spain; Consejo Superior de Investigaciones Científicas (CSIC), Cerdanyola del Vallés, Spain","Regos, A., Departamento de Zooloxía, Xenética e Antropoloxía Fisica, Universidade de Santiago de Compostela, Campus Sur, Santiago de Compostela, Spain, Research Centre in Biodiversity and Genetic Resources (CIBIO/InBIO), ECOCHANGE Group, Campus Agrario de Vairão, Vairão, Portugal; Imbeau, L., Centre d’étude de la forêt, Institut de Recherche sur les Forêts (IRF), Université du Québec en Abitibi-Témiscamingue (UQAT), 445 boulevard de l’ Université, Rouyn-Noranda, QC  J9X 5E4, Canada; Desrochers, M., Département des sciences biologiques, Université du Québec à Montréal (UQAM), Centre d’étude de la forêt, 141 Avenue Président-Kennedy, Montréal, QC  H2X 1Y4, Canada; Leduc, A., Département des sciences biologiques, Université du Québec à Montréal (UQAM), Centre d’étude de la forêt, 141 Avenue Président-Kennedy, Montréal, QC  H2X 1Y4, Canada; Robert, M., Service canadien de la faune, Environnement et changement climatique Canada, 801-1550, avenue d'Estimauville, Québec, QC  G1J 0C3, Canada; Jobin, B., Service canadien de la faune, Environnement et changement climatique Canada, 801-1550, avenue d'Estimauville, Québec, QC  G1J 0C3, Canada; Brotons, L., Forest Sciences Centre of Catalonia (CEMFOR-CTFC), InForest Joint Research Unit (CSIC-CTFC-CREAF), Solsona, Spain, Centre de Recerca Ecològica i Aplicacions Forestals (CREAF), Cerdanyola del Vallés, Spain, Consejo Superior de Investigaciones Científicas (CSIC), Cerdanyola del Vallés, Spain; Drapeau, P., Département des sciences biologiques, Université du Québec à Montréal (UQAM), Centre d’étude de la forêt, 141 Avenue Président-Kennedy, Montréal, QC  H2X 1Y4, Canada","Habitat loss and degradation induced by human development are among the major threats to biodiversity worldwide. In this study, we tested our ability to predict the response of bird communities (128 species) to land-use changes in southern Quebec (~483,100 km2) over the last 30 yr (between 1984–1989 and 2010–2014) by using species distribution models (299,302 occurrences in 30,408 locations) from a hindcasting perspective. Results were grouped by functional guilds to infer potential impacts on ecosystem services, and to relate model transferability (i.e., ability of our models to be generalized to other times and scales) to specific functional and life-history traits. Overall, our models were able to accurately predict, both in space and time, habitat suitability for 69% of species, especially for granivorous, nonmigrant, tree-nesting species, and species that are tied to agricultural areas under intensive use. These findings indicate that model transferability depends upon specific functional and life-history traits, providing further evidence that species’ ecologies affect the ability of models to accurately predict bird distributions. Declining bird species were mostly short-distance migrants that were associated with open habitats (agricultural and nonproductive forest) with aerial insectivorous or granivorous diets, which may be related to agricultural intensification and land abandonment. Land-use changes were positive for some forest bird species that were mainly associated with mixed and deciduous forests, generalist diets and tree-nesting strategies. Yet cavity-nesting birds have suffered substantial reductions in their distributions, suggesting that cumulative effects of intensive logging and wildfires on mature forests pose a threat for forest-specialist species. Habitat suitability changes predicted by our coarse-scale species distribution models partially agreed with the long-term trends reported by the North American Breeding Bird Survey. Our findings confirm land-use change as a key driving force for shaping bird communities in southern Quebec, together with the need to explicitly incorporate it into global change scenarios that better inform decision-makers on conservation and management. © 2018 by the Ecological Society of America","agricultural intensification; bird atlas; ecological traits; habitat suitability modeling; hindcasting; land abandonment; temporal transferability",Article,,Scopus,2-s2.0-85054089382
"Bochenski Z.M., Tomek T., Wertz K., Kaczanowska M., Kozłowski J.K., Sampson A.","55959719900;6602348758;24778954000;26632189300;7102118694;7006964199;","Who ate the birds: the taphonomy of Sarakenos Cave, Greece",2018,"Archaeological and Anthropological Sciences","10","7",,"1603","1615",,2,"10.1007/s12520-017-0488-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041634899&doi=10.1007%2fs12520-017-0488-3&partnerID=40&md5=f3f230f75f3dd0362164533611694eec","Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, Slawkowska 17, Kraków, 31-016, Poland; Archaeological Museum, Ul. Senacka 3, Kraków, Poland; Institute of Archaeology, Jagiellonian University, Ul. Gołębia 11, Kraków, 31-007, Poland; Department of Mediterranean Studies, University of the Aegean, 1 Demokratias Ave, Rhodes, 85100, Greece","Bochenski, Z.M., Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, Slawkowska 17, Kraków, 31-016, Poland; Tomek, T., Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, Slawkowska 17, Kraków, 31-016, Poland; Wertz, K., Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, Slawkowska 17, Kraków, 31-016, Poland; Kaczanowska, M., Archaeological Museum, Ul. Senacka 3, Kraków, Poland; Kozłowski, J.K., Institute of Archaeology, Jagiellonian University, Ul. Gołębia 11, Kraków, 31-007, Poland; Sampson, A., Department of Mediterranean Studies, University of the Aegean, 1 Demokratias Ave, Rhodes, 85100, Greece","The taphonomic analysis of avian remains from Sarakenos Cave reveals that, contrary to previous suggestions, many bird bones excavated there represent food remains of the Eagle Owls rather than humans. The conclusion is based on the presence of traces of digestion, beak and claw punctures, and indirect evidence that includes relative preservation of particular elements, species composition, the lack of cut marks, and the absence of numerous traces of burning. Specimens with medullary bone and traces of digestion indicate that the owls killed breeding females in spring. Since it is unlikely that owls shared the cave with humans at the same time, it supports the notion based on archeological evidence that human groups did not inhabit it permanently. © 2017, The Author(s).","Avian remains; Eagle Owl; Mesolithic; Neolithic; Paleolithic; Sarakenos Cave",Article,Open Access,Scopus,2-s2.0-85041634899
"Irwin L.L., Riggs R.A., Verschuyl J.P.","7006635078;7006423645;25642268400;","Reconciling wildlife conservation to forest restoration in moist mixed-conifer forests of the inland northwest: A synthesis",2018,"Forest Ecology and Management","424",,,"288","311",,,"10.1016/j.foreco.2018.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047266673&doi=10.1016%2fj.foreco.2018.05.007&partnerID=40&md5=74e0d4af211973adfb0b1f9788310f3c","National Council for Air and Stream Improvement, Inc., P.O. Box 68, Stevensville, MT  59870, United States; Riggs Ecological Research, 62710 Booth Lane, LaGrande, OR  97850, United States; National Council for Air and Stream Improvement, Inc., P.O. Box 1259, Anacortes, WA  98221, United States","Irwin, L.L., National Council for Air and Stream Improvement, Inc., P.O. Box 68, Stevensville, MT  59870, United States; Riggs, R.A., Riggs Ecological Research, 62710 Booth Lane, LaGrande, OR  97850, United States; Verschuyl, J.P., National Council for Air and Stream Improvement, Inc., P.O. Box 1259, Anacortes, WA  98221, United States","Moist, mixed conifer (MMC) forests, which encompass more than 11 million ha in the Inland Northwest, USA and adjacent Canada, were extensively modified after Euro-american occupation by now-outdated forestry practices and wildfire suppression. Those activities homogenized tree composition and density, modified forest soils, increased risks to insect and disease epidemics, and, in combination with longer drought periods ultimately increased the prevalence of unusually severe wildfires to further homogenize landscapes. Recommendations for restoring structure and function include re-establishing natural fire regimes and disturbance-patch size distributions across landscapes, as well as restoring and maintaining large, old early-seral dominant trees (LOEST), large snags and coarse woody debris, while accounting for physiographic influences. Implementing such recommendations with sensitivity to wildlife conservation requires additional details to account for habitat needs at the planning levels of national forests and districts. We synthesized silviculture-specific literature for wildlife species of greatest conservation concern listed in the strategic wildlife conservation plans of Inland Northwest states (“strategy” species), others of social and economic importance (“focal” species), and some others that are either important in the ecologies of strategy species or otherwise offer literature having particular relevance to MMC silviculture (“facilitative” species). Evaluations of habitat selection behavior and comparisons of species-specific habitat values to tree-stocking guidelines used by silviculturists indicated that most species reviewed are likely to respond positively to restoration, and that a wide array of extant silvicultural methods can be used, provided that large snags and acceptable levels of coarse woody debris are recruited or retained. Thinning followed by routine prescribed burning will be problematic for some wildlife species. Knowledge of wildlife responses to variation in the size distribution of disturbance patches is limited, as is knowledge of wildlife population responses to intentional forestry. Coupling new wildlife research to forest modeling and manipulative experiments within adaptive management and monitoring frameworks will improve predictions of wildlife population responses over the long time frames and multiple spatial scales associated with strategic planning. © 2018 Elsevier B.V.","Adaptive management; Birds; Forest restoration; Habitat modeling; Landscape collaborative; Landscape simulation; Mammals; Mixed conifer forests; Silviculture; Wildlife conservation",Review,,Scopus,2-s2.0-85047266673
