PT,UT,PM,DT,LT,TI,FT,AU,CA,BA,BE,PN,AE,DG,PC,PL,SO,SE,PY,PD,VL,IS,PS,BP,EP,LA,ME,CT,CL,CY,SP,AB,C1,EM,RI,OI,U1,U2,CR,NR,TC,Z9,PU,PA,SC,SN,EI,DI,BN,MC,CC,TA,DS,CH,GN,SD,GE,TM,MQ,PR,MI,OA,HC,HP,DA
J,BCI:BCI201800383274,,Article,,"Predictors of Bachman's Sparrow Occupancy at its Northern Range Limit",,"Fish, Alexander C. (alex.c.fish@gmail.com) ; Moorman, Christopher E.; DePerno, Christopher S.; Schillaci, Jessica M.; Hess, George R.",,,,,,,,,"Southeastern Naturalist",,2018,2018/03/01,17,1,104-116,104,116,English,,,,,,"Peucaea aestivalis (Bachman's Sparrow), a songbird endemic to the southeastern US, has experienced long-term population declines and a northern range-boundary retraction. Habitat loss and degradation, largely related to fire suppression, are believed to be the major causes of population declines, but these relationships are less studied at the northern range-extent. Hence, we investigated habitat selection of Bachman's Sparrow on Fort Bragg Military Installation, where vegetation is characterized by extensive fire-maintained Pinus palustris (Longleaf Pine) uplands. We surveyed breeding male sparrows using repeat-visit point-counts. We visited 182 points 3 times from April to July during the 2014 and 2015 breeding seasons. We measured vegetation and distance to other habitat features (e.g., wildlife openings, streams) at each point. We recorded presence or absence of Bachman's Sparrows and fit encounter histories into a single-season occupancy model in program Unmarked, including a year effect on detection. Occupancy probability was 0.52 and increased with greater grass-cover and at intermediate distances from wildlife openings, and decreased with years-since-fire and with greater shrub height. Predictors of Bachman's Sparrow occupancy were similar to those reported for other portions of the range, supporting the importance of frequent prescribed fire to maintain herbaceous groundcover used by birds for nesting and foraging. However, our study indicated that other habitat features (e.g., canopy openings) provided critical cover within extensive upland Longleaf Pine-Aristida stricta (Wiregrass) forest.","Fish, Alexander C.; North Carolina State Univ, Fisheries Wildlife and Conservat Biol Program, Raleigh, NC 27695 USA",,,,2,2,,51,0,0,,,"Environmental Sciences & Ecology",1528-7092,1938-5412,,,"Terrestrial Ecology (Ecology, Environmental Sciences)","07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal","Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus palustris; longleaf pine]/Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Aristida stricta; wiregrass]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Peucaea aestivalis; Bachman's sparrow]",,,,,,,,,"breeding season, habitat selection, canopy opening, habitat features, range limit, species occupancy, vegetation characteristics, occupancy probability",,,,2018/06/21
J,BCI:BCI201800210314,29061685,Article,,"Neuromuscular mechanisms of an elaborate wing display in the golden-collared manakin (Manacus vitellinus)",,"Fuxjager, Matthew J. (mfoxhunter@gmail.com) ; Fusani, Leonida; Goller, Franz; Trost, Lisa; Ter Maat, Andries; Gahr, Manfred; Chiver, Ioana; Iv, R. Miller Ligon; Chew, Jennifer; Schlinger, Barney A.",,,,,,,,,"Journal of Experimental Biology",,2017,2017/12/15,220,24,4681-4688,4681,4688,English,,,,,,"Many species perform elaborate physical displays to court mates and compete with rivals, but the biomechanical mechanisms underlying such behavior are poorly understood. We address this issue by studying the neuromuscular origins of display behavior in a small tropical passerine bird, the golden-collared manakin (Manacus vitellinus). Males of this species court females by dancing around the forest floor and rapidly snapping their wings together above their back. Using radio-telemetry, we collected electromyographic (EMG) recordings from the three main muscles that control avian forelimb movement, and found how these different muscles are activated to generate various aspects of display behavior. The muscle that raises the wing (supracoracoideus, SC) and the primary muscle that retracts the wing (scapulohumeralis caudalis, SH) were activated during the wing-snap, whereas the pectoralis (PEC), the main wing depressor, was not. SC activation began before wing elevation commenced, with further activation occurring gradually. By contrast, SH activation was swift, starting soon after wing elevation and peaking shortly after the snap. The intensity of this SH activation was comparable to that which occurs during flapping, whereas the SC activation was much lower. Thus, light activation of the SC likely helps position the wings above the back, so that quick, robust SH activation can drive these appendages together to generate the firecracker-like snap sonation. This is one of the first looks at the neuromuscular mechanisms that underlie the actuation of a dynamic courtship display, and it demonstrates that even complex, whole-body display movements can be studied with transmitter-aided EMG techniques.","Fuxjager, Matthew J.; Wake Forest Univ, Dept Biol, Winston Salem, NC 27109 USA",,,,6,6,,51,0,0,,,"Neurosciences & Neurology; Physiology",0022-0949,1477-9145,10.1242/jeb.167270,,"Nervous System (Neural Coordination); Muscular System (Movement and Support)","17504, Muscle - Physiology and biochemistry; 18004, Bones, joints, fasciae, connective and adipose tissue - Physiology and biochemistry; 20504, Nervous system - Physiology and biochemistry","Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Manacus vitellinus; golden-collared manakin]",,,,,,,"electromyography; EMG; clinical techniques, diagnostic techniques/radio telemetry; applied and field techniques","wing/muscle; muscular system/forelimb/humerus; skeletal system","neuromuscular mechanism, wing display, firecracker-like snap sonation, whole-body display movements",,,,2018/06/21
J,BCI:BCI201800090657,29152203,Article,,"Pyric-carnivory: Raptor use of prescribed fires",,"Hovick, Torre J. (torre.hovick@ndsu.edu) ; McGranahan, Devan A.; Elmore, R. Dwayne; Weir, John R.; Fuhlendorf, Samuel D.",,,,,,,,,"Ecology and Evolution",,2017,2017/11/01,7,21,9144-9150,9144,9150,English,,,,,,"Fire is a process that shaped and maintained most terrestrial ecosystems worldwide. Changes in land use and patterns of human settlement have altered fire regimes and led to fire suppression resulting in numerous undesirable consequences spanning individual species and entire ecosystems. Many obvious and direct consequences of fire suppression have been well studied, but several, albeit less obvious, costs of alteration to fire regimes on wildlife are unknown. One such phenomenon is the response of carnivores to fire events-something we refer to as pyric-carnivory. To investigate the prevalence of pyric-carnivory in raptors, we monitored 25 prescribed fires occurring during two different seasons and across two different locations in tallgrass prairie of the central United States. We used paired point counts occurring before and during prescribed fires to quantify the use of fires by raptors. We found a strong attraction to fires with average maximum abundance nearly seven times greater during fires than prior to ignitions (before: (x) over bar = 2.90, SE = 0.42; during: (x) over bar = 20.20; SE = 3.29) and an average difference between fire events and immediately before fires of 15.2 (+/- 2.69) raptors. This result was driven by Swainson's hawks (Buteo swainsoni), which were the most abundant (n = 346) of the nine species we observed using fires. Our results illustrate the importance of fire as integral disturbance process that effects wildlife behavior through multiple mechanisms that are often overshadowed by the predominant view of fire as a tool used for vegetation management.","Hovick, Torre J.; North Dakota State Univ, Sch Nat Resource Sci, Range Program, Fargo, ND 58105 USA",,,,4,13,,47,0,2,,,"Environmental Sciences & Ecology; Biodiversity & Conservation",2045-7758,2045-7758,10.1002/ece3.3401,,"Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity","07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal","Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Falconiformes [85534]; [Buteo lineatus; red-shouldered hawk] [Accipiter striatus; sharp-shinned hawk] [Falco sparverius; American kestrel] [Buteo swainsoni; Swainson's hawk] [Ictinia mississippiensis; Mississippi kite] [Buteo platypterus; broad-winged hawk] [Buteo lagopus; rough-legged hawk] [Circus cyaneus; northern harrier]",,,,,"USA; North America; Nearctic region/Great Plains; North America; Nearctic region",,,,"terrestrial ecosystem, vegetation management, pyric-carnivory, species average maximum abundance, integral disturbance process, prescribed fires use",gold,,,2018/06/21
J,BCI:BCI201700829528,,Article,,"AVIAN ELECTROCUTIONS ON INCORRECTLY RETROFITTED POWER POLES",,"Dwyer, James F. (jdwyer@edmlink.com) ; Harness, Richard E.; Eccleston, Duncan",,,,,,,,,"Journal of Raptor Research",,2017,2017/09/01,51,3,293-304,293,304,English,,,,,,"Avian electrocutions on power poles (hereafter, poles) are a global conservation concern, particularly for large-bodied species like Golden Eagles (Aquila chrysaetos). Retrofitting poles through increasing clearances (separation) between components, adding insulation to components, or adding redirection materials like perch discouragers reduces risk, but electrocutions may occur even on retrofitted poles. We evaluated 52 retrofitted poles where 56 birds, including 17 Golden Eagles, were electrocuted after retrofitting. We used burns on pole equipment and carcasses to identify precise pole-top locations where electrocutions occurred, and we identified three categories of retrofitting errors: product design, mitigation plan, and application. Product design errors (n = 9 poles, 6 Golden Eagles) occurred when products did not sufficiently cover energized equipment. Mitigation plan errors (n = 30 poles, 6 Golden Eagles) occurred when retrofitting plans did not include coverage of all energized components on a pole. Application errors (n = 13 poles, 5 Golden Eagles) occurred when the correct products were installed incorrectly. Retrofitting mistakes were identified in this study retroactively when avian electrocutions occurred on poles described as retrofitted. This is typical of how retrofitting mistakes are identified by the electric industry, which can lead to expensive duplicate efforts, and ongoing avian electrocutions. These can be avoided if retrofitting is done correctly initially. This study provides insight to electric utility personnel and wildlife managers interested in proactively evaluating the thoroughness of retrofitting, facilitating immediate identification and correction of retrofitting errors, increasing cost effectiveness, and reducing avian electrocution mortality.","Dwyer, James F.; EDM Int Inc, Ft Collins, CO 80525 USA",,,,7,8,,31,1,1,,,"Behavioral Sciences",0892-1016,2162-4569,10.3356/JRR-16-93.1,,Behavior,"07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior","Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Falconiformes [85534]; [Aquila chrysaetos; golden eagle]",,,,,,,,,"species migration, energized component, cost ellectiveness",,,,2018/06/21
J,BCI:BCI201700855436,28854197,Article,,"Environmental disturbance increases social connectivity in a passerine bird",,"Lantz, Samantha M. (samlantz@gmail.com) ; Karubian, Jordan",,,,,,,,,"PLoS One",,2017,2017/08/30,12,8,"Article No.: e0183144",e0183144,,English,,,,,,"Individual level response to natural and anthropogenic disturbance represents an increasingly important, but as yet little understood, component of animal behavior. Disturbance events often alter habitat, which in turn can modify behaviors of individuals in affected areas, including changes in habitat use and associated changes in social structure. To better understand these relationships, we investigated aspects of habitat selection and social connectivity of a small passerine bird, the red-backed fairywren (Malurus melanocephalus), before vs. after naturally occurring fire disturbance in Northern Territory, Australia. We utilized a social network framework to evaluate changes in social dynamics pre-vs. post-fire. Our study covered the non-breeding season in two consecutive years in which fires occurred, and individuals whose habitat was affected and those that were not affected by fire. Individuals in habitat affected by fires had stronger social ties (i.e. higher weighted degree) after fires, while those that were in areas that were not affected by fire actually had lower weighted degree. We suggest that this change in social connections may be linked to habitat. Before fires, fairywrens used habitat that had similar grass cover to available habitat plots randomly generated within our study site. Fire caused a reduction in grass cover, and fairywrens responded by selecting habitat with higher grass cover relative to random plots. This study demonstrates how changes in habitat and/or resource availability caused by disturbance can lead to substantive changes in the social environment that individuals experience.","Lantz, Samantha M.; Tulane Univ, Dept Ecol and Evolutionary Biol, New Orleans, LA 70118 USA",,,,4,6,,59,0,0,,,"Environmental Sciences & Ecology",1932-6203,1932-6203,10.1371/journal.pone.0183144,,"Terrestrial Ecology (Ecology, Environmental Sciences)","07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal","Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [grass]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Malurus melanocephalus; red-backed fairywren]",,,,,"Northern Territory; Australia; Australasian region",,,,"animal behavior, habitat selection, environmental disturbance, social dynamics, social connectivity",gold,,,2018/06/21
J,BCI:BCI201700653643,,Article,,"Pastoralism versus Agriculturalism-How Do Altered Land-Use Forms Affect the Spread of Invasive Plants in the Degraded Mutara Rangelands of North-Eastern Rwanda?",,"Wronski, Torsten (t_wronski@gmx.de) ; Bariyanga, Jean Damascene (baridamass@gmail.com) ; Sun, Ping (sunping9@icloud.com) ; Plath, Martin (mplath-zoology@foxmail.com) ; Apio, Ann (a-apio@gmx.de)",,,,,,,,,Plants-Basel,,2017,2017/06/01,6,2,"Article No.: 19",19,,English,,,,,,"Lantana camara L. (Verbenaceae) originates from tropical Central and South America and has become invasive in about 50 countries. It causes problems when invading rangelands due to its toxicity to livestock and its tendency to form dense, monotonous thickets. Its invasiveness can partly be explained by the high tannin content largely protecting the species from being browsed, its tolerance to a wide range of environmental conditions, as well as its general preference for anthropogenically disturbed habitats. The dispersal of L. camara is facilitated by birds and other animals consuming its drupes (endozoochory), and so both wild and domestic ungulates could contribute to its spread. In our study, we investigated the distribution of L. camara in the Mutara rangelands of north-eastern Rwanda, an area that faced dramatic landscape changes in recent decades. We assessed 23 ecological factors and factors related to land-use and conservation-political history. Major effects on the local abundance of L. camara were found in that the relative canopy cover of L. camara was negatively correlated with the occurrence of other shrubs (suggesting competition for space and nutrients), while encounter rates of houses, 'living fences' (Euphorbia tirucalli L.) and cattle tracks were positively correlated with L. camara cover. Hence, the spread of non-native L. camara in the Mutara rangelands appears to be linked to landscape alterations arising from the transformation of rangelands supporting traditional pastoralist communities to other agricultural land-use forms.","Wronski, Torsten; NW A and F Univ, Coll Anim Sci and Technol, Yangling 712100, Peoples R China",,,,1,4,,94,1,1,,,Agriculture,2223-7747,2223-7747,10.3390/plants6020019,,Agriculture,"52502, Agronomy - Miscellaneous and mixed crops","Artiodactyla, Mammalia, Vertebrata, Chordata, Animalia; Animals, Artiodactyls, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Bovidae [85715]; [cattle]/Monocotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Monocots, Plants, Spermatophytes, Vascular Plants; Gramineae [25305]; [Cymbopogon]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Leguminosae [26260]; [Dichrostachys]/Vertebrata, Chordata, Animalia; Animals, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Mammalia [85700]; [livestock]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Verbenaceae [26930]; [Lantana camara]",,tannin,,,"Rwanda; Africa; Ethiopian region",,,,"grazing, environmental condition, community structure, pastoralism, local abundance, charcoal burning, distribution impact, agriculturalism, land-use form",gold,,,2018/06/21
J,BCI:BCI201700546247,28294305,Article,,"Differential impacts of wildfire on the population dynamics of an old-forest species",,"Rockweit, Jeremy T. (rockweit@rams.colostate.edu) ; Franklin, Alan B.; Carlson, Peter C.",,,,,,,,,"Ecology (Washington D C)",,2017,2017/06/01,98,6,1574-1582,1574,1582,English,,,,,,"Ecological disturbances shape and maintain natural communities, but climate change and human land use can alter disturbance regimes and affect population persistence and vital rates in unpredictable ways. Species inhabiting landscapes shaped by wildfire have evolved mechanisms allowing them to persist under this dynamic disturbance type, which creates habitats of varying quality for these species. We utilized data from a 26-yr demographic study of northern spotted owls to analyze the influence of wildfire on apparent survival and recruitment rates. Wildfires occurred across different years and affected different spotted owl territories, which allowed us to implement a retrospective Before-After-Control-Impact (BACI) analysis and model the potential effect of wildfire extent and severity. Our results indicated that mixed-severity fires that burned at predominantly low-severity had little effect on survival and recruitment while fires characterized by more medium to high burn severities negatively affected spotted owl survival, with varying effects on recruitment. Reduced survival and increased recruitment rates on some territories affected by medium to high severity fires suggested that post-fire habitat quality was reduced resulting in territories that were marginally capable of supporting owls. We hypothesize these territories may have represented ""sinks"" that were supported by nearby ""source"" territories in a spatially heterogeneous landscape created by the mixed-severity fire regime of the region.","Rockweit, Jeremy T.; Colorado State Univ, Cooperat Fish and Wildlife Res Unit, 1484 Campus Delivery, Ft Collins, CO 80523 USA",,,,7,34,,62,1,2,,,"Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation",0012-9658,1939-9170,10.1002/ecy.1805,,"Population Studies; Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation)","00512, General biology - Conservation and resource management; 05500, Social biology and human ecology; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 37001, Public health - General and miscellaneous","Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Strigiformes [85564]; [Strix occidentalis occidentalis; California spotted owl; (protected species)]","burn injury; Burns (MeSH); injury",,,,"Klamath Province; California, USA, North America; Nearctic region",,,,"population dynamics, habitat quality, climate change, population ecology, ecological disturbance, wildfire impact, old-forest species",gold_or_bronze,,,2018/06/21
J,BCI:BCI201700477349,,Article,"Literature Review","Long-term demography of the Northern Goshawk in a variable environment",,"Reynolds, Richard T. (rreynolds@fs.fed.us) ; Lambert, Jeffrey S.; Flather, Curtis H.; White, Gary C.; Bird, Benjamin J.; Baggett, L. Scott; Lambert, Carrie; De Volo, Shelley Bayard",,,,,,,,,"Wildlife Monographs",,2017,2017/05/01,197,1,1-40,1,40,English,,,,,,"The Nearctic northern goshawk (Accipiter gentilis atricapillis) is a resident of conifer, broadleaf, and mixed forests from the boreal to the southwestern montane regions of North America. We report on a 20-year mark-recapture investigation (1991-2010) of the distribution and density of breeders, temporal and spatial variability in breeding, nestling sex ratios, local versus immigrant recruitment of breeders, breeding age structure, age-specific survival rates, and rate of population change () of this species on the Kaibab Plateau, a forested sky island in northern Arizona, USA. We used an information-theoretic approach to rank models representing alternative hypotheses about the influence of annual fluctuations in precipitation on the annual frequency of goshawk breeding and fledgling production. We studied 125 goshawk breeding territories, representing approximately 87% of an estimated 144 total territories based on a mean distance of 3.8km between territory centers in a 1,728-km(2) study area. The salient demographic feature of the population was extensive annual variation in breeding, which manifested as large inter-annual variation in proportions of pairs laying eggs, brood sizes, nest failure rates, and fledgling production. The percent of territories known in a prior year in which eggs were laid in a current year ranged from 8% to 86% (x=37%, SE=4.51), annual mean nest failure rate (active nests that failed) ranged from 12% to 48% (overall x=23%, SE=2.48), and mean annual brood size of successful nests (fledged 1 fledgling) ranged from 1.5 young to 2.5 young (overall x=2.0 young, SE=0.03). Inter-annual variation in reproduction closely tracked inter-annual variation in precipitation, which we hypothesize influenced primary forest productivity and bird and mammal prey abundance. The best breeding years (1992-1993, 77-87% of pairs laid eggs) were coincident with a record-long El Nino-Southern Oscillation (ENSO) wet period and the worst breeding year (2003; 8% of pairs laid eggs) was the last of a 3-year record drought. Overall breeding success was 83% with most failures occurring during incubation; once eggs hatched, goshawks tended to fledge young. The pooled 20-year nestling sex ratio did not differ from unity (53% M; n=410M, 366F) but was significantly male-biased in 2 years and female-biased in 1 year. Nonetheless, the overall greater production of male fledglings followed a strong trend of greater male production in other goshawk populations, suggesting that breeders might have been adaptively adjusting their offspring sex ratio, perhaps to produce more of the rarer (male) sex. Annual recruitment of new individuals into the breeding population averaged 43% during the study. Study area recruitment rate of hawks locally born (in situ) and banded was 0.12. Both sexes had equal tendencies to return to the Kaibab Plateau to breed (no differences in philopatry) and there were no differences in natal dispersal distances (natal to first breeding site) between the sexes. During the final years of study (1999-2010), an estimated 46% of breeding recruits were locally born and 54% were immigrants from distant forests. Minimum age at first breeding was 2 years and mean age at first breeding by known-age hawks (banded as nestlings or aged on plumage at first breeding) was 3.7 years for males and 3.5 years for females. Mean lifespan (yr from first banding as nestling to last resighting) of known-age goshawks was 6.9 years for both sexes.Mean minimum apparent lifespan of breeders aged 4 years based on plumage at first capture was 6.5 years for both sexes. Average age of goshawks at their first detection was 3.9 years old, at which time apparent survival was estimated at 0.77 for both sexes, which was just slightly less than the peak survival of 0.78 as a function of age. Age-specific survival estimates showed a steady decline after 9 years old and approached 0 at 20 years of age. Estimates of for breeding adults (M, 0.94, SE=0.037; F, 0.98, SE=0.038) provided only weak evidence for a population decline during the study. Although sex was not in the top survival model, models including age+sex were competitive, evidencing lower male than female survival, a finding corroborated by the occurrence of sex effects in the top model. Lower male survival may result from higher mortality associated with hunting agile prey in vegetation-filled environments during long breeding seasons when they are the primary forager. Lower survival may be compensated by the more frequent production (53%) of male fledglings. High-severity crown fire was an existential threat to the population. In addition to 4 large high-severity fires that burned roughly 3,770ha (equal to 3 goshawk territories) in the 30 years preceding 1991, 6 high-severity fires burned another 30,945ha during our study and killed most (>64%) of the forests in 8 known territories and possibly another 2 that were burned before we completed surveys. Based on a lack of any recent demographic perturbations in age structure, a relatively high and time-constant annual adult survival rate, confidence intervals around adult estimates overlapping 1.0, and a study area saturated with territories, we surmise that the goshawk population on the Kaibab Plateau was stable during the 20-year study. Nonetheless, uncertainty remains regarding the population's future status because of a declining trend in breeding frequency, uncertain status (dead, alive, emigrated) of non-breeding adults, extensive temporal and spatial variation in breeding, and high frequency of immigrant recruits to the breeding population on the Kaibab Plateau. If the century-long decline in precipitation persists, especially at the increased rate seen since 1980, and manifests as deeper droughts, diminished wet periods, and weaker pulses in forest productivity, then the Kaibab Plateau goshawk population would be expected to show unambiguous evidence of decline. Evidence would include reduced local and regional goshawk reproduction and survival, reduced frequency of immigration, and further habitat loss to catastrophic fire. (c) 2017 The Wildlife Society.","Reynolds, Richard T.; Rocky Mt Res Stn, 240 West Prospect Rd, Ft Collins, CO 80526 USA",,"Flather, Curtis/G-3577-2012","Flather, Curtis/0000-0002-0623-3126",19,43,,200,1,1,,,"Reproductive Biology; Biodiversity & Conservation",0084-0173,1938-5455,10.1002/wmon.1023,,"Reproductive System (Reproduction); Wildlife Management (Conservation)","07502, Ecology: environmental biology - General and methods; 16504, Reproductive system - Physiology and biochemistry; 18504, Integumentary system - Physiology and biochemistry",,,,,,"Arizona; USA, North America; Nearctic region/Kaibab Plateau; USA, North America; Nearctic region",,"mark-recapture method; applied and field techniques","plumage; integumentary system","annual precipitation, species distribution, species density, breeding success, population change, fledgling production, nestling sex ratio",,,,2018/06/21
J,BCI:BCI201700627389,,Article,,"NESTING ECOLOGY OF GRASSLAND BIRDS FOLLOWING A WILDFIRE IN THE SOUTHERN GREAT PLAINS",,"Roberts, Anthony J. (anthony_roberts@fws.gov) ; Boal, Clint W.; Whitlaw, Heather A.",,,,,,,,,"Southwestern Naturalist",,2017,2017/03/01,62,1,39-45,39,45,English,,,,,,"We studied the response of nesting grassland birds occupying short-grass and mixed-grass prairie sites 2 and 3 y following two, large-scale wildfires that burned >= 360,000 ha in the Texas Panhandle in March 2006. Nest success was greater on burned plots compared to unburned plots, though this varied by species and year. Woody vegetation cover was greater around nests on unburned plots compared to burned plots for Cassin's sparrow (Peucaea cassinii) and lark sparrow (Chondestes grammacus). Cassin's sparrows and lark sparrows nested in more-woody vegetation than did grasshopper sparrows (Ammodramus savannarum), and woody vegetation was reduced following the wildfires. The wildfires appear to have had few if any negative influences on the avian community 3 years postfire. This may be due to grassland breeding birds being adapted to landscapes in which, historically, periodic disturbance (e.g., wildfire, intensive grazing by bison [Bison bison]) resulted in vegetation heterogeneity.","Roberts, Anthony J.; Texas Tech Univ, Dept Nat Resources Management, Lubbock, TX 79409 USA",,,,5,8,,43,0,0,,,"Environmental Sciences & Ecology",0038-4909,1943-6262,10.1894/0038-4909-62.1.39,,"Terrestrial Ecology (Ecology, Environmental Sciences)","07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal","Artiodactyla, Mammalia, Vertebrata, Chordata, Animalia; Animals, Artiodactyls, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Bovidae [85715]; [Bison bison; bison]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Ammodramus savannarum; grasshopper sparrow] [Chondestes grammacus; lark sparrow]",,,,,"Texas; USA, North America; Nearctic region",,,,"vegetation heterogeneity, wildfire disturbance",,,,2018/06/21
J,BCI:BCI201700306269,,Article,,"Changes in New Zealand forest plant communities following the prehistoric extinction of avian megaherbivores",,"Wood, Jamie R. (woodj@landcareresearch.co.nz) ; Wilmshurst, Janet M. (wilmshurstj@landcareresearch.co.nz)",,,,,,,,,"Journal of Vegetation Science",,2017,2017/01/01,28,1,160-171,160,171,English,,,,,,"QuestionsFollowing the mid 15th century AD extinction of moa (Aves: Dinornithiformes) there was a similar to 400-yr period when large herbivores were absent from New Zealand's terrestrial ecosystems. This ended with the introduction of mammalian herbivores by European settlers in the 19th century. For at least 40yr researchers have speculated about how New Zealand's vegetation communities might have responded to the herbivore gap'. Did plant taxa once consumed by moa flourish in forest understoreys without large herbivores to browse them? Did forest understoreys become denser, preventing regeneration of long-lived conifers and altering forest composition? Such questions remain to be tested using palaeoecological records.LocationThree locations on South Island, New Zealand (from <20 to 750m a.s.l) where forest has not been burned since human settlement, and where there has been no obvious geological or climatic disturbance events over the past 1000yr that have influenced vegetation dynamics.MethodsWe identified and quantified pollen grains and fern spores from soil/peat cores taken beneath, or adjacent to, tall forest canopies. Soil/peat samples from the cores were radiocarbon dated and Bayesian age-depth models were constructed for each core, from which depths corresponding to the herbivore gap period were identified. Changes in pollen/spore abundances occurring within the herbivore gap were identified and critically examined for consistency between cores and likelihood of being caused by loss of browsing pressure from large herbivores (through comparison with plant taxa known to have been consumed by moa).ResultsGround fern spores and Coprosma pollen exhibited increases in relative abundance at all three sites during the herbivore gap. Both occur frequently in moa coprolites and gizzard content, and so can be interpreted as possible responses to moa extinction. However, other changes in pollen assemblages at this time were inconsistent between sites, or could be better explained as being related to anthropogenic burning in the local region.ConclusionsNew Zealand forest plant communities appear to have experienced only relatively minor changes during the herbivore gap. Our results contradict long-standing hypotheses that shrubs and ferns had flourished in New Zealand forest understoreys at this time, preventing podocarp regeneration. However, due to the relatively recent extinction of moa, and long life span of many forest trees, there may be an extinction debt where the long-term consequences of moa extinction are still to be fully realized.","Wood, Jamie R.; Landcare Res, Long Term Ecol Lab, POB 69040, Lincoln 7640, New Zealand",,"Wilmshurst, Janet/C-2209-2009","Wilmshurst, Janet/0000-0002-4474-8569",4,15,,67,1,2,,,"Life Sciences & Biomedicine - Other Topics; Paleontology",1100-9233,1654-1103,10.1111/jvs.12469,,"Biogeography (Population Studies); Paleobiology","05500, Social biology and human ecology; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 16504, Reproductive system - Physiology and biochemistry; 50526, Botany: general and systematic - Dicotyledones; 50528, Botany: general and systematic - Floristics and distribution; 51512, Plant physiology - Reproduction; 62518, Chordata: general and systematic - Aves; 62520, Chordata: general and systematic - Mammalia; 62800, Animal distribution; 64500, Paleobiology","Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [Aves]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Rubiaceae [26680]; [Coprosma]",,,,,"New Zealand; Australasian region",,"Bayesian analysis; mathematical and computer techniques/radiocarbon dating; applied and field techniques","pollen grain; reproductive system","terrestrial ecosystem, climatic change, palaeoecology",gold_or_bronze,,,2018/06/21
