Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Gutzwiller K.J., White J.D., Barrow W.C., Jr., Johnson-Randall L.","Erratum to: Understanding Interaction Effects of Climate Change and Fire Management on Bird Distributions through Combined Process and Habitat Models (Conservation Biology, 32, 1, (258-259), 10.1111/j.1523-1739.2011.01684.x)",2018,"Conservation Biology","32","1",,"258","259",,,10.1111/cobi.13055,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038253278&doi=10.1111%2fcobi.13055&partnerID=40&md5=132704a136a850e20100642f9b95d359","Department of Biology, Baylor University, One Bear Place, # 97388, Waco, TX, United States; U.S. Geological Survey, Wetland and Aquatic Research Center, 700 Cajundome Boulevard, Lafayette, LA, United States","Gutzwiller, K.J., Department of Biology, Baylor University, One Bear Place, # 97388, Waco, TX, United States; White, J.D., Department of Biology, Baylor University, One Bear Place, # 97388, Waco, TX, United States; Barrow, W.C., Jr., U.S. Geological Survey, Wetland and Aquatic Research Center, 700 Cajundome Boulevard, Lafayette, LA, United States; Johnson-Randall, L., U.S. Geological Survey, Wetland and Aquatic Research Center, 700 Cajundome Boulevard, Lafayette, LA, United States","This erratum pertains to the article “Understanding Interaction Effects of Climate Change and Fire Management on Bird Distributions through Combined Process and Habitat Models by White et al. published in the June 2011 issue (volume 25) of Conservation Biology. White et al. (2011) stated that equal prior probabilities were used to compute overall correct classification rates for logistic regression models (page 539, column 1, lines 22–24), and that 62.5% was used as the criterion to judge whether overall correct classification rates were higher than chance classification (page 539, column 1, lines 28–31). K.J.G. realized recently, however, that at the time of the analyses, he misinterpreted information in SAS Proc Logistic software (SAS Institute) about how to code for equal prior probabilities and information in Hair et al. () about when the 62.5% criterion is applicable. Regarding the first issue, we drew inferences about an area that we were not able to sample completely. When sample sites may not be representative of the conditions about which inferences are being drawn, one should use a conservative approach and use equal prior probabilities (0.5 for each presence-absence group in our case) to compute correct classification rates instead of using sample proportions for these prior probabilities (Hair et al.). Hair et al. () and Hahs-Vaughn () recommend this same approach. Although we stated this information in the article (page 539, column 1, lines 17–24), by mistake sample proportions (default setting in SAS Proc Logistic) of site types (species present or species absent), not equal probabilities, were used as prior probabilities to compute overall correct classification rates. Regarding the second issue, the 62.5% rule-of-thumb criterion is appropriate for 2-group analyses only when the sample sizes of the 2 groups are equal (Hair et al,). In the context of our paper, that would mean that the number of sites where a species was present would need to be the same as the number of sites where that species was absent. This was not the case for the species involved. An alternative approach was identified for assessing the significance of an overall correct classification rate for logistic regression (Press's Q statistic) (Hair et al,; Hahs-Vaughn) that enables a probabilistic inference and that does not require equal sample sizes for the 2 groups. We reported (page 541, column 1, lines 6–9) that the overall correct classification rate was greater than chance classification accuracy for all 9 models (3 annual models each for Scaled Quail [Callipepla squamata], Loggerhead Shrike [Lanius ludovicianus], and Rock Wren [Salpinctes obsoletus]). Using equal prior probabilities and Press's Q in reanalyses of the data for the 9 models, we found that 5 of the models had an overall correct classification rate that was significantly higher (p < 0.05) than chance accuracy: Scaled Quail (1999–2000) 69%, Scaled Quail (2000–2001) 75%, Loggerhead Shrike (2000–2001) 69%, Scaled Quail (2001–2002) 70%, and Rock Wren (2001–2002) 69%. Thus, the general conclusions about the predictive ability of these 5 models did not differ from our original conclusions. For the remaining 4 models, the overall correct classification rate was not significantly higher than the rate expected by chance: Loggerhead Shrike (1999–2000) 56%, Rock Wren (1999–2000) 53%, Rock Wren (2000–2001) 53%, and Loggerhead Shrike (2001–2002) 52%. Hence, the conclusions about the predictive ability of these 4 models differed from our original conclusions. All the original models themselves were appropriate because all statistical assumptions were met and the models accounted for modest but important amounts of variation in the relative probability of species’ occurrences. The updated results indicate, however, that the 5 models that had overall correct classification rates that were significantly higher than the chance rate were likely to be applicable to the 70 sites and to a larger population of sites with similar conditions; whereas, for the 4 models that had overall correct classification rates that were not significantly higher than the chance rate, there was insufficient evidence to conclude that their results apply to a larger population of sites. The emphasis in White et al. (2011) was on how to combine mechanistic and statistical models to project how climate change and fire management may affect species’ occurrences. The article's methodological information on combining mechanistic and statistical models was not affected by correction of the 2 errors, but the projected relative probabilities of occurrence for Loggerhead Shrike (1999–2000, 2001–2002) and Rock Wren (1999–2000, 2000–2001) were probably not as accurate as we believed. This lower predictive ability may have added some uncertainty to the projected probabilities of occurrence for these species and years. We thank M. Burgman, D. Johnson, and an anonymous reviewer for comments about statistical issues. Any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government. © 2017 Society for Conservation Biology",,Erratum,,Scopus,2-s2.0-85038253278
"Fish A.C., Moorman C.E., Deperno C.S., Schillaci J.M., Hess G.R.","Predictors of bachman's sparrow occupancy at its northern range limit",2018,"Southeastern Naturalist","17","1",,"104","116",,,10.1656/058.017.0108,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044084200&doi=10.1656%2f058.017.0108&partnerID=40&md5=b521813c388adf86ec16dc7b0130aa3e","Fisheries, Wildlife and Conservation Biology Program, North Carolina State University, Raleigh, NC, United States; Endangered Species Branch, Fort Bragg, NC, United States; Department of Forestry and Environmental Resources, North Carolina State University, Raleigh, NC, United States","Fish, A.C., Fisheries, Wildlife and Conservation Biology Program, North Carolina State University, Raleigh, NC, United States; Moorman, C.E., Fisheries, Wildlife and Conservation Biology Program, North Carolina State University, Raleigh, NC, United States; Deperno, C.S., Fisheries, Wildlife and Conservation Biology Program, North Carolina State University, Raleigh, NC, United States; Schillaci, J.M., Endangered Species Branch, Fort Bragg, NC, United States; Hess, G.R., Department of Forestry and Environmental Resources, North Carolina State University, Raleigh, NC, United States","Peucaea aestivalis (Bachman's Sparrow), a songbird endemic to the southeastern US, has experienced long-Term population declines and a northern range-boundary retraction. Habitat loss and degradation, largely related to fire suppression, are believed to be the major causes of population declines, but these relationships are less studied at the northern range-extent. Hence, we investigated habitat selection of Bachman's Sparrow on Fort Bragg Military Installation, where vegetation is characterized by extensive fire-maintained Pinus palustris (Longleaf Pine) uplands. We surveyed breeding male sparrows using repeat-visit point-counts. We visited 182 points 3 times from April to July during the 2014 and 2015 breeding seasons. We measured vegetation and distance to other habitat features (e.g., wildlife openings, streams) at each point. We recorded presence or absence of Bachman's Sparrows and fit encounter histories into a single-season occupancy model in program Unmarked, including a year effect on detection. Occupancy probability was 0.52 and increased with greater grass-cover and at intermediate distances from wildlife openings, and decreased with years-since-fire and with greater shrub height. Predictors of Bachman's Sparrow occupancy were similar to those reported for other portions of the range, supporting the importance of frequent prescribed fire to maintain herbaceous groundcover used by birds for nesting and foraging. However, our study indicated that other habitat features (e.g., canopy openings) provided critical cover within extensive upland Longleaf Pine-Aristida stricta (Wiregrass) forest. © 2018 IEEE Computer Society. All rights reserved.",,Article,,Scopus,2-s2.0-85044084200
"Chowdary V., Gupta M.K.","Automatic forest fire detection and monitoring techniques: A survey",2018,"Advances in Intelligent Systems and Computing","624",,,"1111","1117",,,10.1007/978-981-10-5903-2_116,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045851071&doi=10.1007%2f978-981-10-5903-2_116&partnerID=40&md5=87caa04ec63ba341ca1ab4856362a7ac","UPES, Dehradun, India; Department of Electronics, Instrumentation and Control Engineering, University of Petroleum and Energy Studies, Dehradun, India","Chowdary, V., UPES, Dehradun, India; Gupta, M.K., Department of Electronics, Instrumentation and Control Engineering, University of Petroleum and Energy Studies, Dehradun, India","Natural disasters have always been mankind’s constant companion since time immemorial. Forest fire is one such disaster which when occurs at large scale not only destroys the flora, fauna, vegetation of the forest but also puts the life of human being and animals at a very high risk. In the recent past years, managing this type of crisis, viz., a large scale fire has become a very difficult and challenging task. Things that are common in most of the forest fire that occur at large scale are loss of life (human or animal), loss of vegetation, loss of flora and fauna, and communication failure. Therefore, a comprehensive survey on the existing forest fire detection and monitoring mechanisms is highly desired. This article is aimed at providing a birds eye view of these existing detection and monitoring mechanisms for forest fires. © 2018, Springer Nature Singapore Pte Ltd.","Forest fire detection; Monitoring; Wireless sensor networks",Conference Paper,,Scopus,2-s2.0-85045851071
"Fuxjager M.J., Fusani L., Goller F., Trost L., Maat A.T., Gahr M., Chiver I., Ligon R.M., IV, Chew J., Schlinger B.A.","Neuromuscular mechanisms of an elaborate wing display in the golden-collared manakin (Manacus vitellinus)",2017,"Journal of Experimental Biology","220","24",,"4681","4688",,,10.1242/jeb.167270,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038430211&doi=10.1242%2fjeb.167270&partnerID=40&md5=95b9a8684eea1bb94865f94c933bc589","Department of Biology, Wake Forest University, Winston-Salem, NC, United States; Konrad Lorenz Institute of Ethology, University of Veterinary Medicine, Vienna, Austria; Department of Cognitive Biology, University of Vienna, Vienna, Austria; Department of Biology, University of Utah, Salt Lake City, UT, United States; Department of Behavioral Neurobiology, Max Planck Institute for Ornithology, Seewiesen, Germany; Department of Integrative Biology and Physiology, University of California, Los Angeles, CA, United States; Department of Ecology and Evolution, University of California, Los Angeles, CA, United States; Smithsonian Tropical Research Institute, Balboa, Ancón, Panama, Panama","Fuxjager, M.J., Department of Biology, Wake Forest University, Winston-Salem, NC, United States; Fusani, L., Konrad Lorenz Institute of Ethology, University of Veterinary Medicine, Vienna, Austria, Department of Cognitive Biology, University of Vienna, Vienna, Austria; Goller, F., Department of Biology, University of Utah, Salt Lake City, UT, United States; Trost, L., Department of Behavioral Neurobiology, Max Planck Institute for Ornithology, Seewiesen, Germany; Maat, A.T., Department of Behavioral Neurobiology, Max Planck Institute for Ornithology, Seewiesen, Germany; Gahr, M., Department of Behavioral Neurobiology, Max Planck Institute for Ornithology, Seewiesen, Germany; Chiver, I., Department of Integrative Biology and Physiology, University of California, Los Angeles, CA, United States; Ligon, R.M., IV, Department of Biology, Wake Forest University, Winston-Salem, NC, United States; Chew, J., Department of Integrative Biology and Physiology, University of California, Los Angeles, CA, United States; Schlinger, B.A., Department of Integrative Biology and Physiology, University of California, Los Angeles, CA, United States, Department of Ecology and Evolution, University of California, Los Angeles, CA, United States, Smithsonian Tropical Research Institute, Balboa, Ancón, Panama, Panama","Many species perform elaborate physical displays to court mates and compete with rivals, but the biomechanical mechanisms underlying such behavior are poorly understood. We address this issue by studying the neuromuscular origins of display behavior in a small tropical passerine bird, the golden-collared manakin (Manacus vitellinus). Males of this species court females by dancing around the forest floor and rapidly snapping their wings together above their back. Using radio-Telemetry, we collected electromyographic (EMG) recordings from the three main muscles that control avian forelimb movement, and found how these different muscles are activated to generate various aspects of display behavior. The muscle that raises the wing (supracoracoideus, SC) and the primary muscle that retracts the wing (scapulohumeralis caudalis, SH) were activated during the wing-snap, whereas the pectoralis (PEC), the main wing depressor, was not. SC activation began before wing elevation commenced, with further activation occurring gradually. By contrast, SH activation was swift, starting soon after wing elevation and peaking shortly after the snap. The intensity of this SH activation was comparable to that which occurs during flapping, whereas the SC activation was much lower. Thus, light activation of the SC likely helps position the wings above the back, so that quick, robust SH activation can drive these appendages together to generate the firecracker-like snap sonation. This is one of the first looks at the neuromuscular mechanisms that underlie the actuation of a dynamic courtship display, and it demonstrates that even complex, whole-body display movements can be studied with transmitter-Aided EMG techniques. © 2017. Published by The Company of Biologists Ltd .","Biomechanics; Courtship behaviour; Electromyography; Golden-collared manakin; Skeletal muscle; Social signal",Article,Open Access,Scopus,2-s2.0-85038430211
"Dwyer J.F., Harness R.E., Eccleston D.","Avian Electrocutions on Incorrectly Retrofitted Power Poles",2017,"Journal of Raptor Research","51","3",,"293","304",,1,10.3356/JRR-16-93.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028943237&doi=10.3356%2fJRR-16-93.1&partnerID=40&md5=346abee842d668fde5b4800209e53318","EDM International Inc., Fort CollinsCO, United States","Dwyer, J.F., EDM International Inc., Fort CollinsCO, United States; Harness, R.E., EDM International Inc., Fort CollinsCO, United States; Eccleston, D., EDM International Inc., Fort CollinsCO, United States","Avian electrocutions on power poles (hereafter, poles) are a global conservation concern, particularly for large-bodied species like Golden Eagles (Aquila chrysaetos). Retrofitting poles through increasing clearances (separation) between components, adding insulation to components, or adding redirection materials like perch discouragers reduces risk, but electrocutions may occur even on retrofitted poles. We evaluated 52 retrofitted poles where 56 birds, including 17 Golden Eagles, were electrocuted after retrofitting. We used burns on pole equipment and carcasses to identify precise pole-top locations where electrocutions occurred, and we identified three categories of retrofitting errors: product design, mitigation plan, and application. Product design errors (n = 9 poles, 6 Golden Eagles) occurred when products did not sufficiently cover energized equipment. Mitigation plan errors (n = 30 poles, 6 Golden Eagles) occurred when retrofitting plans did not include coverage of all energized components on a pole. Application errors (n = 13 poles, 5 Golden Eagles) occurred when the correct products were installed incorrectly. Retrofitting mistakes were identified in this study retroactively when avian electrocutions occurred on poles described as retrofitted. This is typical of how retrofitting mistakes are identified by the electric industry, which can lead to expensive duplicate efforts, and ongoing avian electrocutions. These can be avoided if retrofitting is done correctly initially. This study provides insight to electric utility personnel and wildlife managers interested in proactively evaluating the thoroughness of retrofitting, facilitating immediate identification and correction of retrofitting errors, increasing cost effectiveness, and reducing avian electrocution mortality. © 2017 The Raptor Research Foundation, Inc.","power line",Review,,Scopus,2-s2.0-85028943237
"Lantz S.M., Karubian J.","Environmental disturbance increases social connectivity in a passerine bird",2017,"PLoS ONE","12","8", e0183144,"","",,,10.1371/journal.pone.0183144,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029055499&doi=10.1371%2fjournal.pone.0183144&partnerID=40&md5=a1b6e7a67fa409a1e192c247608e9534","Department of Ecology and Evolutionary Biology, Tulane University, New Orleans, LA, United States","Lantz, S.M., Department of Ecology and Evolutionary Biology, Tulane University, New Orleans, LA, United States; Karubian, J., Department of Ecology and Evolutionary Biology, Tulane University, New Orleans, LA, United States","Individual level response to natural and anthropogenic disturbance represents an increasingly important, but as yet little understood, component of animal behavior. Disturbance events often alter habitat, which in turn can modify behaviors of individuals in affected areas, including changes in habitat use and associated changes in social structure. To better understand these relationships, we investigated aspects of habitat selection and social connectivity of a small passerine bird, the red-backed fairywren (Malurus melanocephalus), before vs. after naturally occurring fire disturbance in Northern Territory, Australia. We utilized a social network framework to evaluate changes in social dynamics pre- vs. post-fire. Our study covered the non-breeding season in two consecutive years in which fires occurred, and individuals whose habitat was affected and those that were not affected by fire. Individuals in habitat affected by fires had stronger social ties (i.e. higher weighted degree) after fires, while those that were in areas that were not affected by fire actually had lower weighted degree. We suggest that this change in social connections may be linked to habitat. Before fires, fairywrens used habitat that had similar grass cover to available habitat plots randomly generated within our study site. Fire caused a reduction in grass cover, and fairywrens responded by selecting habitat with higher grass cover relative to random plots. This study demonstrates how changes in habitat and/or resource availability caused by disturbance can lead to substantive changes in the social environment that individuals experience. © 2017 Lantz, Karubian. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Open Access,Scopus,2-s2.0-85029055499
"Reynolds R.T., Lambert J.S., Flather C.H., White G.C., Bird B.J., Baggett L.S., Lambert C., Bayard De Volo S.","Long-term demography of the Northern Goshawk in a variable environment",2017,"Wildlife Monographs","197","1",,"1","40",,1,10.1002/wmon.1023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018347937&doi=10.1002%2fwmon.1023&partnerID=40&md5=4dd593b93dd52ef94c38c8a5b7b967eb","Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Department of Fisheries and Wildlife and Conservation Biology, Colorado State University, Fort Collins, CO, United States","Reynolds, R.T., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Lambert, J.S., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Flather, C.H., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; White, G.C., Department of Fisheries and Wildlife and Conservation Biology, Colorado State University, Fort Collins, CO, United States; Bird, B.J., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Baggett, L.S., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Lambert, C., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States; Bayard De Volo, S., Rocky Mountain Research Station, 240 West Prospect Road, Fort Collins, CO, United States","The Nearctic northern goshawk (Accipiter gentilis atricapillis) is a resident of conifer, broadleaf, and mixed forests from the boreal to the southwestern montane regions of North America. We report on a 20-year mark-recapture investigation (1991–2010) of the distribution and density of breeders, temporal and spatial variability in breeding, nestling sex ratios, local versus immigrant recruitment of breeders, breeding age structure, age-specific survival rates, and rate of population change (λ) of this species on the Kaibab Plateau, a forested sky island in northern Arizona, USA. We used an information-theoretic approach to rank models representing alternative hypotheses about the influence of annual fluctuations in precipitation on the annual frequency of goshawk breeding and fledgling production. We studied 125 goshawk breeding territories, representing approximately 87% of an estimated 144 total territories based on a mean distance of 3.8 km between territory centers in a 1,728-km2 study area. The salient demographic feature of the population was extensive annual variation in breeding, which manifested as large inter-annual variation in proportions of pairs laying eggs, brood sizes, nest failure rates, and fledgling production. The percent of territories known in a prior year in which eggs were laid in a current year ranged from 8% to 86% (x = 37%, SE = 4.51), annual mean nest failure rate (active nests that failed) ranged from 12% to 48% (overall (x) = 23%, SE = 2.48), and mean annual brood size of successful nests (fledged ≥1 fledgling) ranged from 1.5 young to 2.5 young (overall x = 2.0 young, SE = 0.03). Inter-annual variation in reproduction closely tracked inter-annual variation in precipitation, which we hypothesize influenced primary forest productivity and bird and mammal prey abundance. The best breeding years (1992–1993, 77–87% of pairs laid eggs) were coincident with a record-long El Niño-Southern Oscillation (ENSO) wet period and the worst breeding year (2003; 8% of pairs laid eggs) was the last of a 3-year record drought. Overall breeding success was 83% with most failures occurring during incubation; once eggs hatched, goshawks tended to fledge young. The pooled 20-year nestling sex ratio did not differ from unity (53% M; n = 410 M, 366 F) but was significantly male-biased in 2 years and female-biased in 1 year. Nonetheless, the overall greater production of male fledglings followed a strong trend of greater male production in other goshawk populations, suggesting that breeders might have been adaptively adjusting their offspring sex ratio, perhaps to produce more of the rarer (male) sex. Annual recruitment of new individuals into the breeding population averaged 43% during the study. Study area recruitment rate of hawks locally born (in situ) and banded was 0.12. Both sexes had equal tendencies to return to the Kaibab Plateau to breed (no differences in philopatry) and there were no differences in natal dispersal distances (natal to first breeding site) between the sexes. During the final years of study (1999–2010), an estimated 46% of breeding recruits were locally born and 54% were immigrants from distant forests. Minimum age at first breeding was 2 years and mean age at first breeding by known-age hawks (banded as nestlings or aged on plumage at first breeding) was 3.7 years for males and 3.5 years for females. Mean lifespan (yr from first banding as nestling to last resighting) of known-age goshawks was 6.9 years for both sexes. Mean minimum apparent lifespan of breeders aged ≥4 years based on plumage at first capture was 6.5 years for both sexes. Average age of goshawks at their first detection was 3.9 years old, at which time apparent survival was estimated at 0.77 for both sexes, which was just slightly less than the peak survival of 0.78 as a function of age. Age-specific survival estimates showed a steady decline after 9 years old and approached 0 at 20 years of age. Estimates of λ for breeding adults (M, 0.94, SE = 0.037; F, 0.98, SE = 0.038) provided only weak evidence for a population decline during the study. Although sex was not in the top survival model, models including age + sex were competitive, evidencing lower male than female survival, a finding corroborated by the occurrence of sex effects in the top λ model. Lower male survival may result from higher mortality associated with hunting agile prey in vegetation-filled environments during long breeding seasons when they are the primary forager. Lower survival may be compensated by the more frequent production (53%) of male fledglings. High-severity crown fire was an existential threat to the population. In addition to 4 large high-severity fires that burned roughly 3,770 ha (equal to 3 goshawk territories) in the 30 years preceding 1991, 6 high-severity fires burned another 30,945 ha during our study and killed most (&gt;64%) of the forests in 8 known territories and possibly another 2 that were burned before we completed surveys. Based on a lack of any recent demographic perturbations in age structure, a relatively high and time-constant annual adult survival rate, confidence intervals around adult λ estimates overlapping 1.0, and a study area saturated with territories, we surmise that the goshawk population on the Kaibab Plateau was stable during the 20-year study. Nonetheless, uncertainty remains regarding the population's future status because of a declining trend in breeding frequency, uncertain status (dead, alive, emigrated) of non-breeding adults, extensive temporal and spatial variation in breeding, and high frequency of immigrant recruits to the breeding population on the Kaibab Plateau. If the century-long decline in precipitation persists, especially at the increased rate seen since 1980, and manifests as deeper droughts, diminished wet periods, and weaker pulses in forest productivity, then the Kaibab Plateau goshawk population would be expected to show unambiguous evidence of decline. Evidence would include reduced local and regional goshawk reproduction and survival, reduced frequency of immigration, and further habitat loss to catastrophic fire. © 2017 The Wildlife Society. © The Wildlife Society, 2017","Accipiter gentilis; age structure; Arizona; brood sex ratio; demography; immigration; Kaibab Plateau; lambda; precipitation; recruitment; reproduction; survival",Article,,Scopus,2-s2.0-85018347937
"Di Santo M., Battisti C., Bologna M.A.","Interspecific interactions in nesting and feeding urban sites among introduced Monk Parakeet (Myiopsitta monachus) and syntopic bird species",2017,"Ethology Ecology and Evolution","29","2",,"138","148",,2,10.1080/03949370.2015.1119761,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964622043&doi=10.1080%2f03949370.2015.1119761&partnerID=40&md5=4978a1cb2fc2069e3d155d9373a87868","“Xèmina–emozioni in natura” Cultural and Environmental Association, via Michele Saponaro, 10, Rome, Italy; “Torre Flavia” LTER (Long Term Ecological Research) Station, Città Metropolitana di Roma Capitale, Servizio Aree Protette–Parchi Regionali, Via Tiburtina 691, Rome, Italy; Dipartimento di Scienze, Università Roma Tre, viale G. Marconi, 446, Rome, Italy","Di Santo, M., “Xèmina–emozioni in natura” Cultural and Environmental Association, via Michele Saponaro, 10, Rome, Italy; Battisti, C., “Torre Flavia” LTER (Long Term Ecological Research) Station, Città Metropolitana di Roma Capitale, Servizio Aree Protette–Parchi Regionali, Via Tiburtina 691, Rome, Italy; Bologna, M.A., Dipartimento di Scienze, Università Roma Tre, viale G. Marconi, 446, Rome, Italy","Monk Parakeet (Myiopsitta monachus) is a successful invader of many European urbanised habitats. Here, we report evidence of interspecific interactions between this species and some synanthropic co-occurring birds in three urban parks of Rome (central Italy). In both nesting and feeding sites, we recorded 158 interactions with seven syntopic species in eight colonial focal nests (0.74 events/hr). The number and frequency of interactions significantly differ among nests and species, the Italian Sparrow (Passer italiae) being the most interactive species. For this species, the frequency of interactions was normally distributed between different months with a peak in June. We also observed a case of nest cohabitation, as well as predatory attacks carried out by Hooded Crow (Corvus cornix). As far as foraging sites are concerned, 11 out of 74 clusters of parakeets (15%) hosted four bird species, mainly Starling, Sturnus vulgaris, but we did not observe any interactions. Although Monk Parakeet is a social bird generally tolerant towards other species near their nests and in foraging areas, we observed interspecific interactions in nesting sites as a response to competitive or predatory mechanisms. Italian Sparrows interact because they use parakeet nests as a secondary structure for nesting (cohabitation) and, probably, because of the wide availability of food resources (invertebrates) useful for juvenile recruitment. The interaction of parakeets with Hooded Crow is a response to predatory attacks on eggs or juveniles. However, interspecific interactions seem to be occasional events in nesting sites and are apparently absent in feeding sites, where competitive behaviour is probably reduced due to high availability of plant resources. In urbanised areas, where Monk Parakeets have recently been introduced, the number of competitors and predators might be very reduced (both in number of events and species) in comparison to native areas where competition and predatory mechanisms reflect long-term co-evolutionary dynamics. © 2016 Dipartimento di Biologia, Università di Firenze, Italia.","cohabitation; Corvus cornix; Passer italiae; secondary nesters; Sturnus vulgaris",Article,,Scopus,2-s2.0-84964622043
"Roberts A.J., Boal C.W., Whitlaw H.A.","Nesting ecology of grassland birds following a wildfire in the southern Great Plains",2017,"Southwestern Naturalist","62","1",,"39","45",,,10.1894/0038-4909-62.1.39,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018608435&doi=10.1894%2f0038-4909-62.1.39&partnerID=40&md5=0bfc627cd2c2fdeedbc8d1e795bea763","Department of Natural Resources Management, Texas Tech University, Lubbock, TX, United States; U.S. Geological Survey, Texas Cooperative Fish and Wildlife Research Unit, Lubbock, TX, United States; U.S. Fish and Wildlife Service, Lawton, OK, United States; Present Address of AJR: Division of Migratory Bird Management, U.S. Fish and Wildlife Service, Laurel, MD, United States","Roberts, A.J., Department of Natural Resources Management, Texas Tech University, Lubbock, TX, United States; Boal, C.W., U.S. Geological Survey, Texas Cooperative Fish and Wildlife Research Unit, Lubbock, TX, United States; Whitlaw, H.A., U.S. Fish and Wildlife Service, Lawton, OK, United States, Present Address of AJR: Division of Migratory Bird Management, U.S. Fish and Wildlife Service, Laurel, MD, United States","We studied the response of nesting grassland birds occupying short-grass and mixed-grass prairie sites 2 and 3 y following two, large-scale wildfires that burned ≥360,000 ha in the Texas Panhandle in March 2006. Nest success was greater on burned plots compared to unburned plots, though this varied by species and year. Woody vegetation cover was greater around nests on unburned plots compared to burned plots for Cassin's sparrow (Peucaea cassinii) and lark sparrow (Chondestes grammacus). Cassin's sparrows and lark sparrows nested in more-woody vegetation than did grasshopper sparrows (Ammodramus savannarum), and woody vegetation was reduced following the wildfires. The wildfires appear to have had few if any negative influences on the avian community 3 years postfire. This may be due to grassland breeding birds being adapted to landscapes in which, historically, periodic disturbance (e.g., wildfire, intensive grazing by bison ""Bison bison"") resulted in vegetation heterogeneity.",,Article,,Scopus,2-s2.0-85018608435
"Herrera J.M., Berkunsky I.","Polydactyly and fluctuating asymmetry in a wild blue- fronted Amazon nestling (Amazona aestiva): Clinical signs of developmental stress? [Polidactilia y asimetría fluctuante en el ""loro hablador"" (Amazona aestiva): ¿Signos de estrés del desarrollo?]",2017,"Revista Veterinaria","28","1",,"62","64",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019758091&partnerID=40&md5=f5431b78da514bab6a5f10858c7f07a8","Facultad de Ciencias Veterinarias, Univ.Nac.del Centro Pcia.Buenos Aires, Paraje Arroyo Seco s/n, Tandil, Argentina; Instituto Multidisciplinario sobre Ecosistemas y Desarrollo Sustentable, Univ.Nac.del Centro Pcia.Buenos Aires, Paraje Arroyo Seco s/n, Tandil, Argentina","Herrera, J.M., Facultad de Ciencias Veterinarias, Univ.Nac.del Centro Pcia.Buenos Aires, Paraje Arroyo Seco s/n, Tandil, Argentina; Berkunsky, I., Instituto Multidisciplinario sobre Ecosistemas y Desarrollo Sustentable, Univ.Nac.del Centro Pcia.Buenos Aires, Paraje Arroyo Seco s/n, Tandil, Argentina","Some abnormalities such as polydactyly and fluctuating asymmetry occur as a result of developmental stress. A case of developmental stress that includes polydactyly, fluctuating asymmetry, and fault bars in one Blue-fronted Amazon nestling (Amazona aestiva), is reported. These anomalies were related to the stress caused by a wildland fire. Two nestlings of a same nest were examined. Physical examination showed anomalies only in the small nestling which included a) polydactyly in the right leg, b) colour asymmetry in wing feathers with an atypical staining pattern in the right wing and c) stress bars in red pigmentation area of secondary feathers of both wings. Wildland fires should be considered as a major stress factor for nesting birds of the Beni Savanna (north of Bolivia).","Developmental stress; Fire; Fluctuant asymmetry; Parrot; Polydactyly",Article,,Scopus,2-s2.0-85019758091
