"","x"
"1","abiotic factors"
"2","adaptive management"
"3","age classes"
"4","age structure"
"5","aimophila aestivalis"
"6","american forests"
"7","american robin"
"8","animal species"
"9","anthropogenic disturbances"
"10","associated species"
"11","avian communities"
"12","avian community"
"13","avian community composition"
"14","avian diversity"
"15","avian predators"
"16","avian species"
"17","avian species richness"
"18","bachman's sparrow"
"19","bachman's sparrows"
"20","baeolophus bicolor"
"21","bark beetle"
"22","bark beetles"
"23","basal area"
"24","beetle outbreaks"
"25","biodiversity conservation"
"26","biological diversity"
"27","biological legacies"
"28","bird abundance"
"29","bird assemblage"
"30","bird assemblages"
"31","bird communities"
"32","bird community"
"33","bird community composition"
"34","bird conservation"
"35","bird densities"
"36","bird density"
"37","bird diversity"
"38","bird populations"
"39","bird species"
"40","bird species richness"
"41","black hills"
"42","black spruce"
"43","boreal forest"
"44","boreal forests"
"45","breast height"
"46","breasted nuthatch"
"47","breasted nuthatches"
"48","breeding bird community"
"49","breeding bird species"
"50","breeding birds"
"51","breeding habitat"
"52","breeding pairs"
"53","breeding population"
"54","breeding season"
"55","breeding seasons"
"56","breeding site"
"57","british columbia"
"58","brown creeper"
"59","burn severity"
"60","burn treatments"
"61","burned forest"
"62","burned forests"
"63","burned habitats"
"64","burned pine"
"65","burned plots"
"66","burned ponderosa pine"
"67","burned sites"
"68","canopy cover"
"69","canopy forest"
"70","canopy forests"
"71","canopy openness"
"72","canopy trees"
"73","cardinalis cardinalis"
"74","cascade range"
"75","cavity excavation"
"76","cavity nesters"
"77","cavity nesting"
"78","cavity trees"
"79","certhia americana"
"80","chipping sparrow"
"81","climate change"
"82","coarse woody debris"
"83","coastal plain"
"84","cockaded woodpecker"
"85","cockaded woodpeckers"
"86","colaptes auratus"
"87","colinus virginianus"
"88","community composition"
"89","community dynamics"
"90","community structure"
"91","conifer forest"
"92","conifer forests"
"93","coniferous forest"
"94","coniferous forests"
"95","conservation biology"
"96","conservation concern"
"97","conservation implications"
"98","conservation management"
"99","conservation measures"
"100","conservation planning"
"101","conservation value"
"102","contopus virens"
"103","control plots"
"104","cooper ornithological society"
"105","cover types"
"106","critical role"
"107","daily survival rates"
"108","dead tree"
"109","dead trees"
"110","dead wood"
"111","deciduous trees"
"112","dendroctonus frontalis"
"113","dendroctonus ponderosae"
"114","dependent species"
"115","detrimental effects"
"116","diameter snags"
"117","diameter trees"
"118","direct effects"
"119","distribution within habitat"
"120","disturbance regime"
"121","disturbance regimes"
"122","dormant season"
"123","dry forest"
"124","dry forests"
"125","ecological consequences"
"126","ecological processes"
"127","ecological restoration"
"128","ecological society"
"129","ecological techniques"
"130","ecosystem management"
"131","ecosystem processes"
"132","ecosystem restoration"
"133","ecosystem services"
"134","eglin air force base"
"135","elsevier science"
"136","endangered species"
"137","endangered status"
"138","environmental variables"
"139","federal lands"
"140","field experiment"
"141","fire behavior"
"142","fire ecology"
"143","fire effects"
"144","fire exclusion"
"145","fire frequency"
"146","fire history"
"147","fire intensity"
"148","fire management"
"149","fire regime"
"150","fire regimes"
"151","fire season"
"152","fire severity"
"153","fire suppression"
"154","fire surrogate"
"155","focal species"
"156","food availability"
