PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR14310063574	Article	The value of primary, secondary and plantation forests for Amazonian birds.		Barlow, Jos; Mestre, Luiz A.M.; Gardner, Toby A.; Peres, Carlos A.				Biological Conservation	136	2		212-231	April 2007	2007				English	4	106	Secondary forests and exotic tree plantations are rapidly expanding across tropical landscapes, yet we currently have a very poor understanding of the value of these human-dominated forest landscapes for biodiversity conservation. Mist netting, point counts and transect walks were used to compare the bird communities of these habitats and neighboring primary forest in north-east Brazilian Amazonia. The extensive spatial scale of plantations and second-growth in our study area enabled us to implement a robust replicated design, with survey plots approximately two to three orders of magnitude larger than most previous studies of land-use change in the tropics, thus minimising the influence of the surrounding landscape. Species richness was highest in primary forest and lowest in Eucalyptus plantations, and community turnover between habitats was very high whether based upon matrices of relative abundance or species presence-absence data, and for both point count and mist net data. Monthly line-transect censuses conducted over an annual cycle showed an increase in the detection of canopy frugivores and seed predators during the peak of flower and fruit availability in primary forest, but failed to suggest that second-growth or Eucalyptus stands provide suitable foraging habitat at any time of the year. The conservation value of both secondary forest and plantations was low compared to conclusions from previous studies. Our results indicate that while large-scale reforestation of degraded land can increase regional levels of diversity, it is unlikely to conserve most primary forest species, such as understorey insectivores and canopy frugivores. (C) 2006 Elsevier Ltd. All rights reserved.	Barlow, Jos; Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, United Kingdom, United Kingdom.	J.Barlow@uea.ac.uk	Peres, Carlos/B-1276-2013; Gardner, Toby/B-7516-2008; Barlow, Jos/E-7861-2014	Peres, Carlos/0000-0002-1588-8765; 			Zoology; Biodiversity & Conservation; Environmental Sciences & Ecology; Forestry	0006-3207		Conservation; Conservation measures; Ecology; Population dynamics; Habitat; Terrestrial habitat; Land zones; Neotropical region; South America	Aves [Habitat management / Large-scale reforestation / Evidence for limitations as conservation strategy for primary forest species] [Trophic structure /  / Primary; secondary & plantation forest comparisons; relative value & conservation implications] [Community structure / Species richness / ] [Population censuses /  / ] [Habitat utilization /  / Value of primary; secondary & plantation forests; diversity comparisons & conservation implications] [Forest and woodland / Primary, secondary & plantation forests / Relative utility; species richness comparisons & conservation implications] [Brazil / Amapa & Para / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 	10.1016/j.biocon.2006.11.021	ZOOREC:ZOOR14310063574					2019-04-10
J	ZOOR14311069665	Article	The golden eagle Aquila chrysaetos and forestry in the Kitakami Plateau.		Yui, Masatoshi				Japanese Journal of Ornithology	56	1		1-8	April 2007	2007				Japanese	0	2	In the Kitakami Plateau of Iwate Prefecture, there is a population of about 30 pairs of Golden Eagle Aquila chrysaetos, however breeding success has been declining rapidly, with reduction in suitable feeding grounds implicated as a primary cause. Breeding success must be 0.282 or more to maintain the population. The area of feeding grounds required within home ranges (within a radius of 6.4 km) to achieve that breeding rate was calculated using a multiple regression equation. The area was calculated to be 560 ha for young (less than 10 years old) plantations alone, 1,020 ha for pastures/meadows and abandoned areas up to 5 years after cutting alone, and 770 ha for broad-leaved deciduous forests 101 or more years of age alone. Afforestation, at a 76-year interval, will be sufficient to supply the necessary young artificial forests for the eagles' home ranges. Line thinning was also considered effective in ensuring a sufficient supply of food resources and feeding grounds for A. chrysaetos. Furthermore, it is suggested that increases in biological diversity will result from cutting and thinning operations in plantations.	Yui, Masatoshi; Faculty of Policy Studies, The Iwate Prefectural University, Sugo 152-52, Takizawa, Iwate, 020-0193, Japan, Japan.						Forestry; Zoology; Biodiversity & Conservation; Environmental Sciences & Ecology	0913-400X		Animals and man; Disturbance by man; Commercial activities; Conservation; Conservation measures; Habitat; Terrestrial habitat; Land zones; Palaearctic region; Eurasia; Asia	Aquila chrysaetos [Forestry /  / Importance for conservation] [Habitat management /  / Importance of forestry] [Forest and woodland /  / Importance of forestry for conservation] [Japan / Honshu, Iwate, Kitakamai Plateau / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Falconiformes, Accipitridae	Aquila chrysaetos (Accipitridae). 	10.2326/jjo.56.1	ZOOREC:ZOOR14311069665		Bronze			2019-04-10
J	ZOOR14310062056	Article	Avian nest box selection and nest success in burned and unburned southwestern riparian forest.		Smith, D. Max; Kelly, Jeffrey F.; Finch, Deborah M.				Journal of Wildlife Management	71	2		411-421	April 2007	2007				English	3	14	Riparian forest communities in the southwestern United States were historically structured by a disturbance regime of annual flooding. In recent decades, however, frequency of flooding has decreased and frequency of wildfires has increased. Riparian forests provide important breeding habitat for a large variety of bird species, and the effects of this altered disturbance regime on birds and their breeding habitat is largely unknown. To evaluate effects of high-intensity spring and summer wildfire on the quality of breeding bird habitat in the Middle Rio Grande valley, we measured vegetation structure and composition, avian nest use, and nest success at 4 unburned plots and 4 wildfire plots over a 3-year period. We measured avian nest use and success at nest boxes located in unburned riparian forest plots and plots recently burned by wildfire. Recent wildfire plots (7 yr after fire) had a much different vegetation structure than unburned plots; an older (>7 yr after fire) wildfire plot more closely resembled its paired unburned plot than did recently burned plots. Ash-throated flycatchers (Myiarchus cinerascens) and Bewick's wrens (Thryomanes bewickii; hereafter, flycatchers and wrens, respectively) used nest boxes in most of the plots. A model selection procedure applied to logistic regressions showed that frequency of nest box use by flycatchers was positively associated with wildfire, although flycatchers used boxes in unburned plots as well. Wrens showed a preferential use of nest boxes that were in unburned sites and in close proximity to vegetative cover. Growth rates, feeding rates, and fledging mass of flycatchers were similar in wildfire and unburned plots. Growth rates for wrens were slower in wildfire plots, while feeding rates and fledging mass were similar. Nest predation varied between years, was higher for flycatchers than for wrens, and was not directly influenced by wildfire. Model selection showed that predation increased with grass cover, an indicator of forest openness, and decreased with distance to habitat edge. Recovery of dense vegetation appears important in maintaining populations of Bewick's wrens, whereas ash-throated flycatchers were less sensitive to vegetative structure and composition of postfire succession. Postfire management that maintains nest sites in large forest strips would enhance nesting density and success of these cavity-nesting birds in riparian zones.	Smith, D. Max; Univ Oklahoma, Dept Zool and Biol Survey, 111 E Chesapeake, Norman, OK 73019, USA, USA.	oregonmax@gmail.com	Kelly, Jeffrey/B-2029-2015; Finch, Deborah/H-2876-2015	Kelly, Jeffrey/0000-0002-8255-7990; Finch, Deborah/0000-0001-9118-7381			Biodiversity & Conservation; Environmental Sciences & Ecology; Zoology; Anatomy & Morphology; Nutrition & Dietetics; Reproductive Biology; Developmental Biology; Forestry	0022-541X		Conservation; Conservation measures; Biometrics; Nutrition; Reproduction; Reproductive productivity; Life cycle and development; Development; Growth; Ecology; Habitat utilization; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA	Myiarchus cinerascens; Thryomanes bewickii [Habitat management /  / Riparian forest postfire nesting habitat preference significance] [Weight / Fledging mass / Wildfire burned & unburned site comparisons] [Feeding rate /  / ] [Fledgeing success / Nesting success / Riparian forest wildfire relationship; significance for habitat management] [Growth rate /  / ] [Habitat preference /  / Vegetation structure & composition of postfire succession] [Forest and woodland / Riparian forest / Nest box selection; burned & un-burned plot comparisons] [Riparian habitat /  / ] [Fire / Forest wildfire / Riparian forest nesting success relationship] [New Mexico / Valencia & Socorro counties, Middle Rio Grande / Riparian forest postfire nesting habitat preference; habitat management significance]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Passeriformes, Troglodytidae, Tyrannidae	Thryomanes bewickii (Troglodytidae). Myiarchus cinerascens (Tyrannidae). 	10.2193/2005-781	ZOOREC:ZOOR14310062056					2019-04-10
J	ZOOR14308051394	Article	Designing suburban greenways to provide habitat for forest-breeding birds.		Mason, Jamie; Moorman, Christopher; Hess, George; Sinclair, Kristen				Landscape and Urban Planning	80	1-2		153-164	March 28 2007	2007				English	3	70	Appropriately designed, greenways may provide habitat for neotropical migrants, insectivores, and forest-interior specialist birds that decrease in diversity and abundance as a result of suburban development. We investigated the effects of width of the forested corridor containing a greenway, adjacent land use and cover, and the composition and vegetation structure within the greenway on breeding bird abundance and community composition in suburban greenways in Raleigh and Cary, North Carolina, USA. Using 50 m fixed-radius point counts, we surveyed breeding bird communities for 2 years at 34 study sites, located at the center of 300-m-long greenway segments. Percent coverage of managed area within the greenway, such as trail and other mowed or maintained surfaces, was a predictor for all development-sensitive bird groupings. Abundance and richness of development-sensitive species were lowest in greenway segments containing more managed area. Richness and abundance of development-sensitive species also decreased as percent cover of pavement and bare earth adjacent to greenways increased. Urban adaptors and edge-dwelling birds, such as Mourning Dove, House Wren, House Finch, and European Starling, were most common in greenways less than 100 m wide. Conversely, forest-interior species were not recorded in greenways narrower than 50 m. Some forest-interior species, such as Acadian Flycatcher, Hairy Woodpecker, and Wood Thrush, were recorded primarily in greenways wider than 100 m. Others, including ground nesters such as Black-and-white Warbler, Louisiana Waterthrush, and Ovenbird, were recorded only in greenways wider than 300 m. Landscape and urban planners can facilitate conservation of development-sensitive birds in greenways by minimizing the width of the trail and associated mowed and landscaped surfaces adjacent to the trail, locating trails near the edge of greenway forest corridors, and giving priority to the protection of greenway corridors at least 100 m wide with low levels of impervious surface (pavement, buildings) and bare earth in the adjacent landscape. [copyright] 2006 Elsevier B.V. All rights reserved.	Moorman, Christopher; N Carolina State Univ, Dept Forestry and Environm Resources, Campus Box 8003, Raleigh, NC 27695, USA, USA.	chris_moorman@ncsu.edu					Environmental Sciences & Ecology; Zoology; Biodiversity & Conservation; Forestry	0169-2046		Conservation; Conservation measures; Ecology; Population dynamics; Habitat; Terrestrial habitat; Man made habitat; Land zones; Nearctic region; North America; USA	Aves [Habitat management /  / Suburban greenways design for forest-breeding species] [Community structure /  / ] [Population density /  / ] [Distribution within habitat /  / ] [Forest and woodland /  / ] [Urban habitat /  / ] [North Carolina / Cary & Raleigh / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 	10.1016/j.landurbplan.2006.07.002	ZOOREC:ZOOR14308051394					2019-04-10
J	ZOOR14309056287	Article	The importance of breeding groups for territory occupancy in a declining population of a farmland passerine bird.		Vepsalainen, Ville; Pakkala, Timo; Piha, Markus; Tiainen, Juha				Annales Zoologici Fennici	44	1		8-19	March 15 2007	2007				English	0	11	We studied the relationships between the occupancy of territory sites and environmental and behaviour-related factors in a declining farmland bird, the ortolan bunting Emberiza hortulana, in southern Finland in 1984-2003. We investigated the dependence of different factors on population density. The surrounding breeding group positively affected the occupation frequency of territory sites before and after the population crash. Bush- or tree-covered ditches and springtime non-vegetated fields also had positive effect on territory site occupancy. We suggest that large breeding groups, and obvious conspecific attraction, give indications of favourable breeding locations. Habitat deterioration may have pronounced consequences for local populations, in which the breeding group tends to be the unit of population dynamics. The results suggest that for conservation of the ortolan bunting, the maintenance and improvement of structurally and biologically diverse habitats is vital, since tendency to breed in groups apparently makes the species more sensitive to habitat changes than many other farmland species.	Vepsalainen, Ville; Univ Helsinki, Finnish Museum Nat Hist, POB 26, FI-00014 Helsinki, Finland, Finland.	ville.vepsalainen@helsinki.fi		Piha, Markus/0000-0002-8482-6162			Environmental Sciences & Ecology; Biodiversity & Conservation; Zoology; Reproductive Biology; Behavioral Sciences	0003-455X		Conservation; Conservation measures; Reproduction; Behaviour; Habitat; Man made habitat; Land zones; Palaearctic region; Eurasia; Europe	Emberiza hortulana [Habitat management /  / breeding groups & habitat influence on territory occupancy implications] [Reproductive behaviour / Group breeding / Breeding groups influence on territory occupancy; implications for conservation] [Territoriality / Territory sites occupancy / Influence of breeding groups & habitat] [Cultivated land habitat / Farmland / Breeding groups & habitat influence on territory occupancy] [Finland / Lammi / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Passeriformes, Emberizidae	Emberiza hortulana (Emberizidae). 		ZOOREC:ZOOR14309056287					2019-04-10
J	ZOOR14306038672	Article	Roads, fire and aggressive competitors: determinants of bird distribution in subtropical production forests.		Maron, Martine; Kennedy, Simon				Forest Ecology and Management	240	1-3		24-31	March 15 2007	2007				English	1	26	Forestry practices such as fuel-reduction burning and maintenance of road networks can negatively impact avian assemblages, both directly by changing habitat structure and indirectly by creating conditions favorable for predators or competitors. The Brigalow Belt forests include some of the largest contiguous areas of native forest in the temperate and sub-humid zones of eastern Australia. Over I million ha of these forests are proposed to be converted from forestry to conservation tenure, yet the impacts on the avifauna of current and potential future forest management practices are not known. We investigated the influence of road edges and habitat type and structure on the avifauna of a 356 000 ha forest. Survey sites were either 50 m or >300 m from a road, and in either cypress pine Callitris glaucophylla forest, spotted gum Corymbia citriodora forest with a regenerating cypress pine/buloke Allocasuarina luehmannii understorey or spotted gum forest with an open understorey due to fuel-reduction burning. The avifauma differed significantly among vegetation types but not with proximity to a road, with the greatest differences between cypress pine and both types of spotted gum forest. The noisy miner Manorina melanocephala, an aggressive avian competitor, appears to be the factor mediating these assemblage-level differences. Noisy miners were rare in cypress pine forest but were three times more numerous than any other species in spotted gum forest. Spotted gum forest with a regenerating understorey had fewer noisy miners. Although total bird abundance was highest in open spotted gum forest, the species richness and abundance of passerines smaller than noisy miners was significantly lower in this forest type. Abundance of small passerines was eight times higher in sites where 3 noisy miners were recorded. Only one species, the eastern yellow robin, was influenced by proximity to a road edge. Cypress pine forest is potentially an important refuge for smaller birds. The results suggest that burning regimes that reduce regeneration of the cypress pine and buloke subcanopy in spotted gum forest potentially are exacerbating the problem of noisy miner domination of the avifauna. [copyright] 2006 Elsevier B.V. All rights reserved.	Maron, Martine; Univ So Queensland, Fac Sci, Toowoomba, Qld 4350, Australia, Australia.	maron@usq.edu.au	Maron, Martine/D-9699-2011	Maron, Martine/0000-0002-5563-5789			Forestry; Zoology; Environmental Sciences & Ecology	0378-1127		Animals and man; Disturbance by man; Commercial activities; Ecology; Community structure; Competition; Habitat; Terrestrial habitat; Man made habitat; Abiotic factors; Physical factors; Land zones; Australasian region; Australasia; Australia	Aves [Forestry / Prescribed burning & road edge maintenance / Distribution & species diversity effects] [Species diversity /  / effect of roads; fire & aggressive competitors] [Interspecific competition /  / ] [Distribution within habitat /  / ] [Forest and woodland / Subtropical production forest / Distribution & diversity] [Roadside habitat / Forestry road edge maintenance / ] [Fire / Prescribed burning / ] [Queensland / Barakula State Forest / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 	10.1016/j.foreco.2006.11.017	ZOOREC:ZOOR14306038672					2019-04-10
J	ZOOR14308049628	Article	Avian species richness and reproduction in short-rotation coppice habitats in central and western New York.		Dhondt, Andre A.; Wrege, Peter H.; Cerretani, Jacqueline; Sydenstricker, Keila V.				Bird Study	54	1		12-22	March 2007	2007				English	0	18	Capsule Species richness and density increase rapidly with coppice age, and are similar to estimates from early successional habitats. Aim To investigate avian species richness, density and breeding success in short-rotation woody crops (SRWC) planted as potential source of renewable bioenergy. Methods We carried out regular bird censuses and systematic nest searches in dense plantations of fast-growing willow and poplar clones coppiced at three- to five-year intervals in New York, USA. Results Thirty-nine species regularly used SRWC plantations; of these at least 21 were confirmed breeding on study plots. A total of 63% of the variation in bird species richness was explained by the number of years since coppicing and plot area together. Both the richness and overall density of avian species in SRWC plots was similar to estimates obtained from the Breeding Bird Census for more typical shrublands and successional habitats (e.g. abandoned fields, second-growth forest, regenerating clearcuts). Nesting success for the most common species was within the range of values from published studies in alternative nesting habitats, although often at the lower end of the range. Brood parasitism by Brown-headed Cowbirds Molothrus ater, often an important factor in nesting success, was extremely low on the study plots. Conclusion If planted on a fairly large scale with staggered coppicing schedules, SRWC plantations would help to maintain breeding populations of birds that range from open-habitat species to woodland species. There is no evidence that conversion of substantial land area to SRWC would result in an 'ecological trap' for species common in the farmland-small woodland landscapes of the northeastern USA.	Dhondt, Andre A.; Laboratory of Ornithology, Cornell University, 159 Sapsucker Woods Road, Ithaca, NY 14850, USA, USA.	aad4@cornell.edu	Dhondt, Andre/A-8292-2008	Dhondt, Andre/0000-0002-4946-1401			Forestry; Zoology; Biodiversity & Conservation; Environmental Sciences & Ecology	0006-3657		Animals and man; Disturbance by man; Commercial activities; Conservation; Conservation measures; Parasites diseases and disorders; Ecology; Community structure; Population dynamics; Habitat; Terrestrial habitat; Land zones; Nearctic region; North America; USA	Aves [Forestry / Short-rotation coppice woodland coppicing schedule / Breeding population maintenance assurance] [Habitat management /  / ] [Nest parasitism / Molothrus ater (Aves) / Comparative scarcity] [Species diversity /  / ] [Population density /  / ] [Forest and woodland / Short-rotation coppice woodland / Species diversity & density] [New York / Central & west / ]. Molothrus ater [Nest parasitism / Aves / Comparative scarcity] [Forest and woodland / Short-rotation coppice woodland / Nest parasitism comparative scarcity] [New York / Central & west / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Passeriformes, Icteridae	Aves (Vertebrata). Molothrus ater (Icteridae). 	10.1080/00063650709461452	ZOOREC:ZOOR14308049628					2019-04-10
J	ZOOR14309060822	Article	Forest bird response to partial cutting in lodgepole pine forests on caribou winter range in west-central British Columbia.		Waterhouse, Michaela J.; Armleder, Harold M.				British Columbia Journal of Ecosystems and Management	8	1		75-91	Spring 2007	2007	http://www.forrex.org/jem/default.asp			English	0	1	Breeding birds were surveyed 1 year pre-harvest (1995) and 4 years post-harvest (1996-2001) to measure the response to partial cutting in old lodgepole pine (Pinus contorta Dougl.) forests on the Chilcotin Plateau of British Columbia. The irregular group shelterwood and group selection systems recommended to manage northern caribou (Rangifer tarandus caribou Gmelin) habitat did not negatively affect the breeding bird community. In some years within the post-harvest period, dark-eyed juncos (Junco hyemalis L.), red crossbills (Loxia curvirostra L.), yellow-rumped warblers (Dendroica coronata L.), and gray jays (Perisoreus canadensis L.) showed significant ([alpha] = 0.05) increases in use of the partial-cutting treatments compared with the no-harvest treatment. No species decreased significantly in any of the partial-cutting treatments. The increased observations of mostly common species resulted in significantly ([alpha] = 0.05) higher species richness, and increased frequency of observations for the bird community in some years in the partial cuts. Partial cutting of caribou habitat will maintain bird communities typical of mature to older lodgepole pine forests.	Waterhouse, Michaela J.; Silvicultural Systems Researcher, B.C. Ministry of Forests and Range, Suite 200-640 Borland Street, Williams Lake, BC V2G 4T1, Canada, Canada.	Michaela.Waterhouse@gov.bc.ca					Forestry; Zoology; Environmental Sciences & Ecology; Biodiversity & Conservation	1488-4674		Animals and man; Disturbance by man; Commercial activities; Conservation; Conservation measures; Ecology; Habitat; Terrestrial habitat; Land zones; Nearctic region; North America; Canada	Aves [Forestry / Partial cutting of forest / Community structure & habitat use effect; habitat management implications; forest] [Habitat management /  / Community structure & habitat use response to partial cutting of forest significance] [Community structure /  / Partial cutting of forest effect] [Habitat utilization /  / ] [Forest and woodland /  / Community structure & habitat use; influence of partial cutting of forest; conservation implications] [British Columbia / Chilcotin Plateau / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 		ZOOREC:ZOOR14309060822					2019-04-10
J	ZOOR14309056547	Article	Avifaunal responses to fire in southwestern montane forests along a burn severity gradient.		Kotliar, Natasha B.; Kennedy, Patricia L.; Ferree, Kimberly				Ecological Applications	17	2		491-507	March 2007	2007				English	0	31	The effects of burn severity on avian communities are poorly understood, yet this information is crucial to. re management programs. To quantify avian response patterns along a burn severity gradient, we sampled 49 random plots ( 2001 - 2002) at the 17351- ha Cerro Grande Fire ( 2000) in New Mexico, USA. Additionally, pre-. re avian surveys ( 1986 1988, 1990) created a unique opportunity to quantify avifaunal changes in 13 pre-. re transects ( resampled in 2002) and to compare two designs for analyzing the effects of unplanned disturbances: after- only analysis and before - after comparisons. Distance analysis was used to calculate densities. We analyzed after- only densities for 21 species using gradient analysis, which detected a broad range of responses to increasing burn severity: (I) large significant declines, (II) weak, but signi. cant declines, (III) no signi. cant density changes, (IV) peak densities in low- or moderate- severity patches, (V) weak, but signi. cant increases, and (VI) large signi. cant increases. Overall, 71% of the species included in the after- only gradient analysis exhibited either positive or neutral density responses to. re effects across all or portions of the severity gradient ( responses III - VI). We used pre/ post pairs analysis to quantify density changes for 15 species using before - after comparisons; spatiotemporal variation in densities was large and confounded. re effects for most species. Only four species demonstrated signi. cant effects of burn severity, and their densities were all higher in burned compared to unburned forests. Pre- and post-. re community similarity was high except in high- severity areas. Species richness was similar pre- and post-. re across all burn severities. Thus, ecosystem restoration programs based on the assumption that recent severe. res in Southwestern ponderosa pine forests have overriding negative ecological effects are not supported by our study of post-. re avian communities. This study illustrates the importance of quantifying burn severity and controlling confounding sources of spatiotemporal variation in studies of. re effects. After- only gradient analysis can be an efficient tool for quantifying. re effects. This analysis can also augment historical data sets that have small samples sizes coupled with high non- process variation, which limits the power of before - after comparisons.	Kotliar, Natasha B.; US Geol Survey, 2150 Cent Ave, Bldg C, Ft Collins, CO 80526, USA, USA.	kotliart@usgs.gov	Kennedy, Patricia/I-4902-2015	Kennedy, Patricia/0000-0002-2090-1821			Environmental Sciences & Ecology; Zoology; Forestry	1051-0761		Ecology; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA	Aves [Community structure /  / Avifaunal responses to fire along burn severity gradient; conservation implications] [Forest and woodland / Montane forests / ] [Mountain habitat /  / ] [Fire /  / Avifaunal responses along burn severity gradient] [New Mexico / North-central, Jemez Mountains & Pajarito Plateau / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 	10.1890/06-0253	ZOOREC:ZOOR14309056547	17489255				2019-04-10
J	ZOOR14305032581	Article	Characteristics of urban natural areas influencing winter bird use in southern Ontario, Canada.		Smith, Paul G.R.				Environmental Management	39	3		338-352	March 2007	2007				English	3	33	Characteristics of urban natural areas and surrounding landscapes were identified that best explain winter bird use for 28 urban natural areas in southern Ontario, Canada. The research confirms for winter birds the importance of area (size) and natural vegetation, rather than managed, horticultural parkland, within urban natural areas as well as percent urban land use and natural habitat in surrounding landscapes. Alien bird density and percent ground feeding species increased with percent surrounding urban land use. Higher percent forest cover was associated with higher percentages of forest, bark feeding, small (20 g) and insectivorous species. Natural area size (ha) was related to higher species richness, lower evenness and higher percentages of insectivorous, forest interior, area-sensitive, upper canopy, bark feeding, and non-resident species. Higher number of habitat types within natural areas and percent natural habitat in surrounding landscapes were also associated with higher species richness. Common, resident bird species dominated small areas (6.5 ha), while less common non-residents increased with area, indicative of a nested distribution. Areas at least 6.5 ha and more generally >20 ha start to support some area-sensitive species. Areas similar to rural forests had >25% insectivores, >25% forest interior species, >25% small species, and 5% alien species. Indicator species separated urban natural areas from rural habitats and ordination placed urban natural areas along a gradient between urban development and undisturbed, rural forests. More attention is needed on issues of winter bird conservation in urban landscapes.	Smith, Paul G.R.; Minist Agr Food and Rural Affairs, Environm Policy and Programs Branch, 1 Stone Rd W, 3rd Floor, Guelph, ON N1G 4Y2, Canada, Canada.	paul.gr.smith@ontario.ca					Biodiversity & Conservation; Environmental Sciences & Ecology; Zoology	0364-152X		Conservation; Conservation measures; Ecology; Population dynamics; Habitat; Man made habitat; Land zones; Nearctic region; North America; Canada	Aves [Habitat management /  / Urban natural areas; factors influencing winter use implications] [Trophic structure /  / winter; habitat influences & significance for conservation] [Community structure /  / ] [Population density /  / ] [Habitat utilization /  / ] [Urban habitat /  / Natural areas use] [Ontario / Greater Golden Horseshoe / Urban natural areas use]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 	10.1007/s00267-005-0028-2	ZOOREC:ZOOR14305032581	17203341				2019-04-10
